1.1.1,1.1.1,0.98153853
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,0.99104476
7.1.7,7.1.7,1
7.2.8,7.2.8,1
7.3.9,7.3.9,1
7.4.10,7.4.10,1
7.5.11,7.5.11,1
7.6.12,7.6.12,0.8801905
7.7.13,7.7.13,0.92222226
8.1.14,8.1.14,1
9.1.15,9.1.15,1
9.2.16,9.2.16,1
9.3.17,9.3.17,1
9.4.18,9.4.18,1
9.5.19,9.5.19,1
9.6.20,9.6.20,1
9.7.21,9.7.21,1
9.8.22,9.8.22,0.88703644
9.9.23,9.9.23,0.91904765
10.1.24,10.1.24,1
11.1.25,11.1.25,1
11.2.26,11.2.26,1
11.3.27,11.3.27,0.9463539
12.1.28,12.1.28,1
12.2.29,12.2.29,1
12.3.30,12.3.30,1
12.4.31,12.4.31,1
12.5.32,12.5.32,1
12.6.33,12.6.33,0.92941177
13.1.34,13.1.34,1
14.1.35,14.1.35,1
14.2.36,14.2.36,1
14.3.37,14.3.37,1
14.4.38,14.4.38,0.8177813
14.5.39,14.4.38,0.5665139
14.5.39,14.5.39,0.86485374
14.6.40,14.6.40,0.852
15.1.41,15.1.41,1
16.1.42,16.1.42,1
16.2.43,16.2.43,1
16.3.44,16.3.44,0.844612
16.4.45,16.4.45,0.88974357
17.1.46,17.1.46,1
18.1.47,18.1.47,1
19.1.48,19.1.48,1
19.2.49,19.2.49,1
19.3.50,19.3.50,1
19.4.51,19.4.51,0.91064894
19.5.52,19.5.52,1
19.6.53,19.6.53,0.86946
19.7.54,19.7.54,0.8609756
19.7.54,16.4.45,0.580025
20.1.55,20.1.55,1
21.1.56,21.1.56,1
22.1.57,22.1.57,0.9573976
22.2.58,22.2.58,0.9530429
22.3.59,22.3.59,1
22.4.60,22.4.60,0.96880686
22.5.61,22.5.61,0.96518975
