_,7.1.20,0
_,8.1.21,0
_,9.1.22,0
_,9.3.24,0
_,9.4.25,0
_,9.5.26,0
_,9.6.27,0
_,9.7.28,0
_,9.8.29,0
_,9.9.30,0
_,9.10.31,0
_,9.11.32,0
_,9.12.33,0
_,9.13.34,0
_,9.14.35,0
_,9.15.36,0
_,9.17.38,0
_,10.1.39,0
_,10.2.40,0
_,10.3.41,0
_,10.4.42,0
_,10.5.43,0
_,10.6.44,0
_,10.7.45,0
_,10.8.46,0
_,10.9.47,0
_,10.10.48,0
_,10.11.49,0
_,11.1.50,0
_,12.1.51,0
_,14.1.53,0
_,16.5.59,0
_,17.1.60,0
_,17.3.62,0
_,17.4.63,0
_,17.5.64,0
_,17.6.65,0
_,17.7.66,0
_,17.8.67,0
_,17.9.68,0
_,17.10.69,0
_,17.11.70,0
_,17.12.71,0
_,17.13.72,0
_,17.14.73,0
_,17.15.74,0
_,17.16.75,0
_,20.1.78,0
_,22.1.80,0
_,23.1.81,0
_,24.1.82,0
1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
4.2.5,4.2.5,1
4.3.6,4.3.6,1
4.4.7,4.4.7,1
4.5.8,4.5.8,1
4.6.9,4.6.9,1
4.7.10,4.7.10,1
5.1.11,5.1.11,1
6.1.12,6.1.12,1
6.2.13,6.2.13,1
6.3.14,6.3.14,1
6.4.15,6.4.15,0.9706328
6.5.16,6.5.16,0.97383547
6.6.17,6.6.17,1
6.7.18,6.7.18,0.75507724
6.8.19,6.8.19,0.7144797
6.9.20,9.2.23,1
7.1.21,13.1.52,0.7149392
8.1.22,_,0
8.2.23,9.16.37,1
8.3.24,_,0
9.1.25,15.1.54,1
10.1.26,16.1.55,1
10.2.27,16.2.56,1
10.3.28,16.3.57,0.728831
10.4.29,16.4.58,1
10.5.30,17.2.61,1
10.6.31,18.1.76,0.6025356
11.1.32,19.1.77,1
12.1.33,21.1.79,0.67575276
12.2.34,_,0
12.3.35,18.1.76,0.6536701
13.1.36,25.1.83,1
14.1.37,26.1.84,1
15.1.38,27.1.85,1
16.1.39,28.1.86,1
17.1.40,29.1.87,1
17.2.41,29.2.88,1
17.3.42,29.3.89,1
