1.1.1,_,0
2.1.2,1.1.1,1
3.1.3,2.1.2,1
4.1.4,3.1.3,1
5.1.5,4.1.4,1
6.1.6,5.1.5,1
7.1.7,6.1.6,1
8.1.8,7.1.7,1
9.1.9,8.1.8,1
10.1.10,9.1.9,1
11.1.11,10.1.10,1
12.1.12,11.1.11,1
13.1.13,12.1.12,1
14.1.14,13.1.13,1
14.2.15,13.2.14,1
14.3.16,13.3.15,1
14.4.17,13.4.16,1
14.5.18,13.5.17,1
15.1.19,14.1.18,1
15.2.20,14.2.19,1
15.3.21,14.3.20,1
16.1.22,15.1.21,1
17.1.23,16.1.22,1
18.1.24,17.1.23,1
19.1.25,18.1.24,1
20.1.26,19.1.25,1
21.1.27,20.1.26,1
22.1.28,21.1.27,1
23.1.29,22.1.28,1
24.1.30,23.1.29,1
25.1.31,24.1.30,1
26.1.32,25.1.31,1
27.1.33,26.1.32,1
28.1.34,27.1.33,1
29.1.35,28.1.34,1
30.1.36,29.1.35,1
31.1.37,30.1.36,1
32.1.38,31.1.37,1
33.1.39,32.1.38,1
34.1.40,33.1.39,1
35.1.41,34.1.40,1
36.1.42,35.1.41,1
37.1.43,36.1.42,1
38.1.44,37.1.43,1
39.1.45,38.1.44,1
40.1.46,39.1.45,1
40.2.47,39.2.46,1
41.1.48,40.1.47,1
42.1.49,41.1.48,1
42.2.50,41.2.49,1
43.1.51,42.1.50,1
44.1.52,43.1.51,1
45.1.53,44.1.52,1
46.1.54,45.1.53,1
46.2.55,45.2.54,1
