_,11.1.19,0
_,11.2.20,0
_,12.1.21,0
_,12.2.22,0
_,12.4.24,0
_,12.5.25,0
_,12.6.26,0
_,18.1.42,0
_,20.5.54,0
1.1.1,1.1.1,0.98153853
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,0.919612
5.3.7,5.3.7,1
5.4.8,5.4.8,0.73655593
5.5.9,5.5.9,1
6.1.10,6.1.10,1
6.2.11,6.2.11,1
6.3.12,6.3.12,1
7.1.13,7.1.13,1
8.1.14,8.1.14,1
8.2.15,8.2.15,1
8.3.16,8.3.16,1
9.1.17,9.1.17,1
10.1.18,10.1.18,0.9313817
10.2.19,14.2.29,1
10.3.20,13.1.27,0.7072788
11.1.21,14.1.28,0.5940695
11.2.22,14.3.30,1
11.3.23,14.4.31,0.878651
11.4.24,14.5.32,1
11.5.25,14.6.33,0.83614063
11.5.25,12.3.23,0.62944275
12.1.26,15.1.34,0.7169056
13.1.27,16.1.35,1
13.2.28,16.2.36,0.6999471
13.3.29,16.3.37,1
13.4.30,16.4.38,0.5806816
13.5.31,16.5.39,0.79449874
13.6.32,16.6.40,1
14.1.33,17.1.41,1
15.1.34,_,0
16.1.35,19.1.43,1
16.2.36,19.2.44,1
16.3.37,19.3.45,1
16.4.38,19.4.46,1
16.5.39,19.5.47,1
16.6.40,19.6.48,1
16.7.41,19.7.49,0.9200001
17.1.42,20.1.50,1
17.2.43,20.2.51,1
17.3.44,20.3.52,1
17.4.45,20.4.53,1
17.5.46,_,0
17.6.47,20.6.55,0.7889569
17.7.48,20.7.56,0.8823943
18.1.49,21.1.57,1
18.2.50,21.2.58,1
18.3.51,21.3.59,1
