1.1.1,_,0
2.1.2,1.1.1,1
3.1.3,2.1.2,1
4.1.4,3.1.3,1
5.1.5,4.1.4,1
5.2.6,4.2.5,1
5.3.7,4.3.6,1
5.4.8,4.4.7,1
5.5.9,4.5.8,1
6.1.10,5.1.9,1
7.1.11,6.1.10,1
7.2.12,6.2.11,1
7.3.13,6.3.12,1
7.4.14,6.4.13,1
7.5.15,6.5.14,1
7.6.16,6.6.15,1
7.7.17,6.7.16,1
7.8.18,6.8.17,1
7.9.19,6.9.18,1
8.1.20,7.1.19,1
8.2.21,7.2.20,1
8.3.22,7.3.21,1
9.1.23,8.1.22,1
10.1.24,9.1.23,1
10.2.25,9.2.24,1
10.3.26,9.3.25,1
11.1.27,10.1.26,1
12.1.28,11.1.27,1
13.1.29,12.1.28,1
14.1.30,13.1.29,1
14.2.31,13.2.30,1
14.3.32,13.3.31,1
15.1.33,14.1.32,1
16.1.34,15.1.33,1
17.1.35,16.1.34,1
18.1.36,17.1.35,1
19.1.37,18.1.36,1
20.1.38,19.1.37,1
20.2.39,19.2.38,1
20.3.40,19.3.39,1
20.4.41,19.4.40,1
20.5.42,19.5.41,1
20.6.43,19.6.42,1
20.7.44,19.7.43,1
20.8.45,19.8.44,1
20.9.46,19.9.45,1
20.10.47,19.10.46,1
21.1.48,20.1.47,1
22.1.49,21.1.48,1
23.1.50,22.1.49,1
23.2.51,22.2.50,1
23.3.52,22.3.51,1
23.4.53,22.4.52,1
23.5.54,22.5.53,1
23.6.55,22.6.54,1
23.7.56,22.7.55,1
23.8.57,22.8.56,1
23.9.58,22.9.57,1
23.10.59,22.10.58,1
24.1.60,23.1.59,1
25.1.61,24.1.60,1
25.2.62,24.2.61,1
25.3.63,24.3.62,1
25.4.64,24.4.63,1
25.5.65,24.5.64,1
25.6.66,24.6.65,1
25.7.67,24.7.66,1
25.8.68,24.8.67,1
25.9.69,24.9.68,1
25.10.70,24.10.69,1
26.1.71,25.1.70,1
27.1.72,26.1.71,1
28.1.73,27.1.72,1
29.1.74,28.1.73,1
29.2.75,28.2.74,1
29.3.76,28.3.75,1
29.4.77,28.4.76,1
29.5.78,28.5.77,1
29.6.79,28.6.78,1
29.7.80,28.7.79,1
29.8.81,28.8.80,1
29.9.82,28.9.81,1
29.10.83,28.10.82,1
29.11.84,28.11.83,1
29.12.85,28.12.84,1
30.1.86,29.1.85,1
31.1.87,30.1.86,1
31.2.88,30.2.87,1
31.3.89,30.3.88,1
31.4.90,30.4.89,1
31.5.91,30.5.90,1
31.6.92,30.6.91,1
31.7.93,30.7.92,1
31.8.94,30.8.93,1
31.9.95,30.9.94,1
31.10.96,30.10.95,1
31.11.97,30.11.96,1
31.12.98,30.12.97,1
32.1.99,31.1.98,1
33.1.100,32.1.99,1
33.2.101,32.2.100,1
33.3.102,32.3.101,1
33.4.103,32.4.102,1
33.5.104,32.5.103,1
33.6.105,32.6.104,1
33.7.106,32.7.105,1
33.8.107,32.8.106,1
33.9.108,32.9.107,1
33.10.109,32.10.108,1
33.11.110,32.11.109,1
33.12.111,32.12.110,1
33.13.112,32.13.111,1
33.14.113,32.14.112,1
33.15.114,32.15.113,1
33.16.115,32.16.114,1
33.17.116,32.17.115,1
33.18.117,32.18.116,1
33.19.118,32.19.117,1
34.1.119,33.1.118,1
35.1.120,34.1.119,1
35.2.121,34.2.120,1
35.3.122,34.3.121,1
35.4.123,34.4.122,1
35.5.124,34.5.123,1
35.6.125,34.6.124,1
35.7.126,34.7.125,1
35.8.127,34.8.126,1
35.9.128,34.9.127,1
35.10.129,34.10.128,1
35.11.130,34.11.129,1
35.12.131,34.12.130,1
36.1.132,35.1.131,1
37.1.133,36.1.132,1
37.2.134,36.2.133,1
37.3.135,36.3.134,1
37.4.136,36.4.135,1
37.5.137,36.5.136,1
37.6.138,36.6.137,1
