1.1.1,1.1.1,0.98153853
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
6.1.7,6.1.7,1
7.1.8,7.1.8,1
7.2.9,7.2.9,1
7.3.10,7.3.10,1
7.4.11,7.4.11,1
8.1.12,8.1.12,1
9.1.13,9.1.13,1
9.2.14,9.2.14,1
9.3.15,9.3.15,1
9.4.16,9.4.16,1
9.5.17,9.5.17,1
9.6.18,9.6.18,1
10.1.19,10.1.19,1
10.2.20,10.2.20,1
10.3.21,10.3.21,1
10.4.22,10.4.22,1
10.5.23,10.5.23,1
10.6.24,_,0
10.7.25,11.1.24,1
10.8.26,11.2.25,1
10.9.27,11.3.26,1
10.10.28,11.4.27,1
10.11.29,11.5.28,1
10.12.30,11.6.29,1
10.13.31,11.7.30,1
10.14.32,11.8.31,1
10.15.33,11.9.32,1
10.16.34,11.10.33,1
10.17.35,11.11.34,1
10.18.36,11.12.35,1
10.19.37,11.13.36,1
10.20.38,11.14.37,1
10.21.39,11.15.38,1
10.22.40,11.16.39,1
10.23.41,11.17.40,1
10.24.42,11.18.41,1
11.1.43,12.1.42,1
12.1.44,13.1.43,1
13.1.45,14.1.44,1
13.2.46,14.2.45,1
13.3.47,14.3.46,1
13.4.48,14.4.47,1
13.5.49,14.5.48,1
13.6.50,14.6.49,1
13.7.51,14.7.50,1
13.8.52,14.8.51,1
13.9.53,14.9.52,1
14.1.54,15.1.53,1
15.1.55,16.1.54,1
15.2.56,16.2.55,1
15.3.57,16.3.56,1
15.4.58,16.4.57,1
15.5.59,16.5.58,1
15.6.60,16.6.59,1
15.7.61,16.7.60,1
15.8.62,16.8.61,1
15.9.63,16.9.62,1
15.10.64,16.10.63,1
15.11.65,16.11.64,1
16.1.66,17.1.65,1
16.2.67,17.2.66,1
16.3.68,17.3.67,1
16.4.69,17.4.68,1
16.5.70,17.5.69,1
17.1.71,18.1.70,1
18.1.72,19.1.71,1
18.2.73,19.2.72,1
18.3.74,19.3.73,1
18.4.75,19.4.74,1
18.5.76,19.5.75,1
18.6.77,19.6.76,1
18.7.78,19.7.77,1
18.8.79,19.8.78,1
18.9.80,19.9.79,1
18.10.81,19.10.80,1
19.1.82,20.1.81,1
20.1.83,21.1.82,1
21.1.84,22.1.83,1
21.2.85,22.2.84,1
21.3.86,22.3.85,1
22.1.87,23.1.86,1
23.1.88,24.1.87,1
23.2.89,24.2.88,1
23.3.90,24.3.89,1
23.4.91,24.4.90,1
23.5.92,24.5.91,1
23.6.93,24.6.92,1
23.7.94,24.7.93,1
24.1.95,25.1.94,1
25.1.96,26.1.95,1
25.2.97,26.2.96,1
25.3.98,26.3.97,1
25.4.99,26.4.98,1
25.5.100,26.5.99,1
25.6.101,26.6.100,1
25.7.102,26.7.101,1
25.8.103,26.8.102,1
25.9.104,26.9.103,1
26.1.105,27.1.104,1
27.1.106,28.1.105,1
27.2.107,28.2.106,1
27.3.108,28.3.107,1
27.4.109,28.4.108,1
27.5.110,28.5.109,1
27.6.111,28.6.110,1
27.7.112,28.7.111,1
27.8.113,28.8.112,1
27.9.114,28.9.113,1
27.10.115,28.10.114,1
28.1.116,29.1.115,1
29.1.117,30.1.116,1
29.2.118,30.2.117,1
29.3.119,30.3.118,1
29.4.120,30.4.119,1
29.5.121,30.5.120,1
29.6.122,30.6.121,1
29.7.123,30.7.122,1
29.8.124,30.8.123,1
29.9.125,30.9.124,1
29.10.126,30.10.125,1
30.1.127,31.1.126,1
31.1.128,32.1.127,1
31.2.129,32.2.128,1
31.3.130,32.3.129,1
31.4.131,32.4.130,1
31.5.132,32.5.131,1
31.6.133,32.6.132,1
31.7.134,32.7.133,1
31.8.135,32.8.134,1
31.9.136,32.9.135,1
31.10.137,32.10.136,1
31.11.138,32.11.137,0.8973657
31.12.139,_,0
31.13.140,_,0
32.1.141,33.1.138,1
33.1.142,34.1.139,0.88189256
33.2.143,34.2.140,1
33.3.144,34.3.141,1
33.4.145,34.4.142,1
33.5.146,34.5.143,1
34.1.147,35.1.144,1
35.1.148,36.1.145,1
35.2.149,36.2.146,1
35.3.150,36.3.147,1
35.4.151,36.4.148,1
35.5.152,36.5.149,1
35.6.153,36.6.150,1
36.1.154,37.1.151,1
37.1.155,38.1.152,1
37.2.156,38.2.153,1
37.3.157,38.3.154,1
37.4.158,38.4.155,1
37.5.159,38.5.156,1
37.6.160,38.6.157,1
37.7.161,38.7.158,1
38.1.162,39.1.159,1
38.2.163,39.2.160,1
38.3.164,39.3.161,1
39.1.165,40.1.162,1
40.1.166,41.1.163,1
41.1.167,42.1.164,1
41.2.168,42.2.165,1
41.3.169,42.3.166,1
41.4.170,42.4.167,1
41.5.171,42.5.168,1
41.6.172,42.6.169,1
41.7.173,42.7.170,1
41.8.174,42.8.171,1
41.9.175,42.9.172,1
41.10.176,42.10.173,1
41.11.177,42.11.174,1
41.12.178,42.12.175,1
41.13.179,42.13.176,1
41.14.180,42.14.177,1
41.15.181,42.15.178,1
41.16.182,42.16.179,1
41.17.183,42.17.180,1
41.18.184,42.18.181,1
41.19.185,42.19.182,1
41.20.186,42.20.183,1
41.21.187,42.21.184,1
41.22.188,42.22.185,1
41.23.189,42.23.186,1
41.24.190,42.24.187,1
41.25.191,42.25.188,1
42.1.192,43.1.189,1
43.1.193,44.1.190,1
44.1.194,45.1.191,1
44.2.195,45.2.192,1
44.3.196,45.3.193,1
44.4.197,45.4.194,1
44.5.198,45.5.195,1
44.6.199,45.6.196,1
44.7.200,45.7.197,1
44.8.201,45.8.198,1
44.9.202,45.9.199,1
44.10.203,45.10.200,1
44.11.204,45.11.201,1
44.12.205,45.12.202,1
44.13.206,45.13.203,1
44.14.207,45.14.204,1
44.15.208,45.15.205,1
44.16.209,45.16.206,1
44.17.210,45.17.207,1
44.18.211,45.18.208,1
44.19.212,45.19.209,1
44.20.213,45.20.210,1
44.21.214,45.21.211,1
44.22.215,45.22.212,1
44.23.216,45.23.213,1
44.24.217,45.24.214,1
