1.1.1,_,0
2.1.2,1.1.1,1
3.1.3,2.1.2,1
4.1.4,3.1.3,1
4.2.5,3.2.4,1
4.3.6,3.3.5,1
4.4.7,3.4.6,1
4.5.8,3.5.7,1
5.1.9,4.1.8,1
6.1.10,5.1.9,1
7.1.11,6.1.10,1
7.2.12,6.2.11,1
7.3.13,6.3.12,1
7.4.14,6.4.13,1
7.5.15,6.5.14,1
7.6.16,6.6.15,1
7.7.17,6.7.16,1
7.8.18,6.8.17,1
7.9.19,6.9.18,1
7.10.20,6.10.19,1
8.1.21,7.1.20,1
8.2.22,7.2.21,1
8.3.23,7.3.22,1
8.4.24,7.4.23,1
8.5.25,7.5.24,1
8.6.26,7.6.25,1
8.7.27,7.7.26,1
8.8.28,7.8.27,1
8.9.29,7.9.28,1
8.10.30,7.10.29,1
8.11.31,7.11.30,1
8.12.32,7.12.31,1
8.13.33,7.13.32,1
8.14.34,7.14.33,1
9.1.35,8.1.34,1
10.1.36,9.1.35,1
10.2.37,9.2.36,1
10.3.38,9.3.37,1
10.4.39,9.4.38,1
11.1.40,10.1.39,1
12.1.41,11.1.40,1
12.2.42,11.2.41,1
12.3.43,11.3.42,1
12.4.44,11.4.43,1
12.5.45,11.5.44,1
12.6.46,11.6.45,1
12.7.47,11.7.46,1
12.8.48,11.8.47,1
12.9.49,11.9.48,1
12.10.50,11.10.49,1
12.11.51,11.11.50,1
12.12.52,11.12.51,1
12.13.53,11.13.52,1
12.14.54,11.14.53,1
12.15.55,11.15.54,1
12.16.56,11.16.55,1
12.17.57,11.17.56,1
12.18.58,11.18.57,1
12.19.59,11.19.58,1
12.20.60,11.20.59,1
12.21.61,11.21.60,1
12.22.62,11.22.61,1
12.23.63,11.23.62,1
12.24.64,11.24.63,1
12.25.65,11.25.64,1
12.26.66,11.26.65,1
12.27.67,11.27.66,1
12.28.68,11.28.67,1
13.1.69,12.1.68,1
14.1.70,13.1.69,1
15.1.71,14.1.70,1
15.2.72,14.2.71,1
15.3.73,14.3.72,1
15.4.74,14.4.73,1
15.5.75,14.5.74,1
15.6.76,14.6.75,1
15.7.77,14.7.76,1
15.8.78,14.8.77,1
16.1.79,15.1.78,1
16.2.80,15.2.79,1
16.3.81,15.3.80,1
16.4.82,15.4.81,1
16.5.83,15.5.82,1
17.1.84,16.1.83,1
18.1.85,17.1.84,1
18.2.86,17.2.85,1
18.3.87,17.3.86,1
19.1.88,18.1.87,1
20.1.89,19.1.88,1
21.1.90,20.1.89,1
22.1.91,21.1.90,1
22.2.92,21.2.91,1
22.3.93,21.3.92,1
22.4.94,21.4.93,1
22.5.95,21.5.94,1
22.6.96,21.6.95,1
23.1.97,22.1.96,1
23.2.98,22.2.97,1
23.3.99,22.3.98,1
23.4.100,22.4.99,1
23.5.101,22.5.100,1
23.6.102,22.6.101,1
23.7.103,22.7.102,1
23.8.104,22.8.103,1
23.9.105,22.9.104,1
23.10.106,22.10.105,1
23.11.107,22.11.106,1
23.12.108,22.12.107,1
23.13.109,22.13.108,1
24.1.110,23.1.109,1
25.1.111,24.1.110,1
26.1.112,25.1.111,1
27.1.113,26.1.112,1
27.2.114,26.2.113,1
27.3.115,26.3.114,1
27.4.116,26.4.115,1
28.1.117,27.1.116,1
28.2.118,27.2.117,1
29.1.119,28.1.118,1
29.2.120,28.2.119,1
29.3.121,28.3.120,1
29.4.122,28.4.121,1
29.5.123,28.5.122,1
29.6.124,28.6.123,1
29.7.125,28.7.124,1
29.8.126,28.8.125,1
29.9.127,28.9.126,1
29.10.128,28.10.127,1
29.11.129,28.11.128,1
29.12.130,28.12.129,1
29.13.131,28.13.130,1
29.14.132,28.14.131,1
29.15.133,28.15.132,1
29.16.134,28.16.133,1
29.17.135,28.17.134,1
29.18.136,28.18.135,1
29.19.137,28.19.136,1
29.20.138,28.20.137,1
