_,6.4.14,0
_,11.4.26,0
_,11.6.28,0
_,27.1.60,0
_,27.2.61,0
_,27.6.65,0
_,27.10.69,0
_,28.2.71,0
1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,_,0
4.1.4,3.1.3,1
5.1.5,4.1.4,1
5.2.6,4.2.5,1
5.3.7,4.3.6,1
5.4.8,4.4.7,1
5.5.9,4.5.8,1
5.6.10,4.6.9,1
6.1.11,5.1.10,1
7.1.12,6.1.11,1
7.2.13,6.2.12,1
7.3.14,6.3.13,0.7583915
7.4.15,_,0
8.1.16,_,0
8.2.17,7.1.15,0.6388043
8.3.18,7.2.16,1
8.4.19,7.3.17,1
8.5.20,7.4.18,1
9.1.21,8.1.19,1
9.2.22,8.2.20,1
10.1.23,9.1.21,1
11.1.24,10.1.22,1
12.1.25,_,0
12.2.26,11.1.23,1
12.3.27,11.2.24,1
12.4.28,11.3.25,1
12.5.29,_,0
12.6.30,11.5.27,1
12.7.31,_,0
12.8.32,11.7.29,0.5880965
13.1.33,12.1.30,1
13.2.34,12.2.31,1
13.3.35,12.3.32,1
14.1.36,13.1.33,1
14.2.37,13.2.34,1
15.1.38,14.1.35,1
16.1.39,15.1.36,1
17.1.40,16.1.37,1
17.2.41,16.2.38,1
17.3.42,16.3.39,1
17.4.43,16.4.40,1
17.5.44,16.5.41,1
18.1.45,17.1.42,0.9818182
19.1.46,18.1.43,1
20.1.47,19.1.44,1
21.1.48,20.1.45,1
22.1.49,21.1.46,1
23.1.50,22.1.47,1
24.1.51,23.1.48,1
25.1.52,24.1.49,1
25.2.53,24.2.50,1
25.3.54,24.3.51,1
25.4.55,24.4.52,1
25.5.56,24.5.53,1
26.1.57,25.1.54,1
26.2.58,25.2.55,1
26.3.59,25.3.56,1
26.4.60,25.4.57,1
26.5.61,25.5.58,1
27.1.62,26.1.59,1
28.1.63,_,0
28.2.64,_,0
28.3.65,27.3.62,0.78641003
28.4.66,27.4.63,0.6278844
28.5.67,28.3.72,0.6934199
28.6.68,27.5.64,1
28.7.69,27.7.66,1
28.8.70,27.8.67,0.6742722
28.9.71,27.9.68,1
28.10.72,_,0
29.1.73,28.4.73,1
29.2.74,28.5.74,0.6963835
29.3.75,28.6.75,1
29.4.76,28.7.76,1
29.5.77,28.8.77,1
29.6.78,28.9.78,1
29.7.79,28.10.79,1
29.8.80,28.11.80,1
29.9.81,28.12.81,1
29.10.82,28.13.82,1
30.1.83,29.1.83,1
31.1.84,30.1.84,1
32.1.85,31.1.85,1
32.2.86,31.2.86,1
32.3.87,31.3.87,1
32.4.88,31.4.88,1
32.5.89,31.5.89,1
33.1.90,32.1.90,1
34.1.91,_,0
35.1.92,_,0
35.2.93,_,0
35.3.94,_,0
35.4.95,_,0
35.5.96,_,0
35.6.97,_,0
35.7.98,_,0
35.8.99,_,0
35.9.100,_,0
36.1.101,_,0
36.2.102,28.1.70,0.5208741
36.3.103,_,0
36.4.104,28.3.72,0.72049284
37.1.105,28.3.72,0.7239861
37.2.106,_,0
37.3.107,_,0
38.1.108,_,0
38.2.109,_,0
39.1.110,_,0
39.2.111,_,0
40.1.112,_,0
41.1.113,_,0
42.1.114,33.1.91,0.6712678
43.1.115,34.1.92,0.60564804
44.1.116,35.1.93,1
45.1.117,36.1.94,1
46.1.118,_,0
47.1.119,_,0
