1.1.1,_,0
2.1.2,1.1.1,1
3.1.3,2.1.2,1
4.1.4,3.1.3,1
4.2.5,3.2.4,1
4.3.6,3.3.5,1
4.4.7,3.4.6,1
4.5.8,3.5.7,1
4.6.9,3.6.8,1
4.7.10,3.7.9,1
4.8.11,3.8.10,1
4.9.12,3.9.11,1
4.10.13,3.10.12,1
4.11.14,3.11.13,1
5.1.15,4.1.14,1
5.2.16,4.2.15,1
5.3.17,4.3.16,1
5.4.18,4.4.17,1
5.5.19,4.5.18,1
6.1.20,5.1.19,1
6.2.21,5.2.20,1
7.1.22,6.1.21,1
8.1.23,7.1.22,1
9.1.24,8.1.23,1
9.2.25,8.2.24,1
9.3.26,8.3.25,1
10.1.27,9.1.26,1
11.1.28,10.1.27,1
11.2.29,10.2.28,1
11.3.30,10.3.29,1
11.4.31,10.4.30,1
11.5.32,10.5.31,1
11.6.33,10.6.32,1
12.1.34,11.1.33,1
13.1.35,12.1.34,1
14.1.36,13.1.35,1
14.2.37,13.2.36,1
14.3.38,13.3.37,1
14.4.39,13.4.38,1
14.5.40,13.5.39,1
15.1.41,14.1.40,1
16.1.42,15.1.41,1
17.1.43,16.1.42,1
17.2.44,16.2.43,1
17.3.45,16.3.44,1
17.4.46,16.4.45,1
17.5.47,16.5.46,1
17.6.48,16.6.47,1
17.7.49,16.7.48,1
17.8.50,16.8.49,1
17.9.51,16.9.50,1
17.10.52,16.10.51,1
17.11.53,16.11.52,1
17.12.54,16.12.53,1
17.13.55,16.13.54,1
17.14.56,16.14.55,1
17.15.57,16.15.56,1
17.16.58,16.16.57,1
18.1.59,17.1.58,1
18.2.60,17.2.59,1
18.3.61,17.3.60,1
18.4.62,17.4.61,1
18.5.63,17.5.62,1
18.6.64,17.6.63,1
18.7.65,17.7.64,1
18.8.66,17.8.65,1
18.9.67,17.9.66,1
18.10.68,17.10.67,1
18.11.69,17.11.68,1
18.12.70,17.12.69,1
18.13.71,17.13.70,1
18.14.72,17.14.71,1
18.15.73,17.15.72,1
18.16.74,17.16.73,1
18.17.75,17.17.74,1
18.18.76,17.18.75,1
18.19.77,17.19.76,1
18.20.78,17.20.77,1
18.21.79,17.21.78,1
19.1.80,18.1.79,1
20.1.81,19.1.80,1
21.1.82,20.1.81,1
21.2.83,20.2.82,1
21.3.84,20.3.83,1
21.4.85,20.4.84,1
21.5.86,20.5.85,1
21.6.87,20.6.86,1
21.7.88,20.7.87,1
21.8.89,20.8.88,1
21.9.90,20.9.89,1
21.10.91,20.10.90,1
21.11.92,20.11.91,1
22.1.93,21.1.92,1
23.1.94,22.1.93,1
23.2.95,22.2.94,1
23.3.96,22.3.95,1
23.4.97,22.4.96,1
23.5.98,22.5.97,1
23.6.99,22.6.98,1
23.7.100,22.7.99,1
23.8.101,22.8.100,1
23.9.102,22.9.101,1
23.10.103,22.10.102,1
24.1.104,23.1.103,1
25.1.105,24.1.104,1
25.2.106,24.2.105,1
25.3.107,24.3.106,1
25.4.108,24.4.107,1
25.5.109,24.5.108,1
25.6.110,24.6.109,1
25.7.111,24.7.110,1
25.8.112,24.8.111,1
26.1.113,25.1.112,1
26.2.114,25.2.113,1
26.3.115,25.3.114,1
26.4.116,25.4.115,1
26.5.117,25.5.116,1
26.6.118,25.6.117,1
26.7.119,25.7.118,1
26.8.120,25.8.119,1
26.9.121,25.9.120,1
26.10.122,25.10.121,1
26.11.123,25.11.122,1
26.12.124,25.12.123,1
26.13.125,25.13.124,1
26.14.126,25.14.125,1
26.15.127,25.15.126,1
26.16.128,25.16.127,1
26.17.129,25.17.128,1
26.18.130,25.18.129,1
26.19.131,25.19.130,1
26.20.132,25.20.131,1
26.21.133,25.21.132,1
26.22.134,25.22.133,1
26.23.135,25.23.134,1
26.24.136,25.24.135,1
26.25.137,25.25.136,1
26.26.138,25.26.137,1
