_,46.1.79,0
_,47.1.80,0
_,48.1.81,0
_,49.1.82,0
1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,0.8145695
3.2.4,3.2.4,1
3.3.5,3.3.5,1
3.4.6,3.4.6,1
3.5.7,3.5.7,0.77212524
3.6.8,3.6.8,1
3.7.9,3.7.9,1
3.8.10,3.8.10,1
3.9.11,3.9.11,0.92361295
3.10.12,3.10.12,1
3.11.13,3.11.13,0.974725
3.12.14,3.12.14,1
3.13.15,3.13.15,1
4.1.16,4.1.16,1
5.1.17,5.1.17,1
6.1.18,6.1.18,0.88893306
6.2.19,6.2.19,1
6.3.20,6.3.20,1
7.1.21,7.1.21,1
8.1.22,9.1.23,0.91608924
9.1.23,8.1.22,1
10.1.24,10.1.24,0.900463
11.1.25,11.1.25,0.81845486
11.2.26,11.2.26,1
11.3.27,11.3.27,1
11.4.28,11.4.28,1
11.5.29,11.5.29,0.91543055
11.6.30,11.6.30,1
11.7.31,11.7.31,1
11.8.32,11.8.32,1
12.1.33,12.1.33,1
13.1.34,13.1.34,1
14.1.35,14.1.35,1
15.1.36,15.1.36,1
16.1.37,16.1.37,1
17.1.38,17.1.38,1
18.1.39,18.1.39,0.79
19.1.40,19.1.40,1
20.1.41,20.1.41,1
21.1.42,21.1.42,1
22.1.43,22.1.43,1
23.1.44,23.1.44,1
23.2.45,23.2.45,1
23.3.46,23.3.46,1
24.1.47,24.1.47,1
25.1.48,25.1.48,1
26.1.49,26.1.49,1
27.1.50,27.1.50,1
28.1.51,28.1.51,1
28.2.52,28.2.52,1
28.3.53,28.3.53,1
29.1.54,29.1.54,1
30.1.55,30.1.55,1
31.1.56,31.1.56,1
32.1.57,32.1.57,1
33.1.58,33.1.58,1
34.1.59,34.1.59,1
35.1.60,35.1.60,1
36.1.61,36.1.61,1
37.1.62,37.1.62,1
38.1.63,38.1.63,1
39.1.64,39.1.64,1
39.2.65,39.2.65,1
39.3.66,39.3.66,1
40.1.67,40.1.67,1
40.2.68,40.2.68,1
40.3.69,40.3.69,1
40.4.70,40.4.70,1
40.5.71,40.5.71,1
41.1.72,41.1.72,1
41.2.73,41.2.73,1
41.3.74,41.3.74,1
42.1.75,42.1.75,1
43.1.76,43.1.76,1
44.1.77,44.1.77,1
45.1.78,45.1.78,1
46.1.79,50.1.83,1
47.1.80,51.1.84,1
48.1.81,52.1.85,1
49.1.82,53.1.86,1
49.2.83,53.2.87,1
49.3.84,53.3.88,1
49.4.85,53.4.89,1
49.5.86,53.5.90,1
49.6.87,53.6.91,1
49.7.88,53.7.92,1
49.8.89,53.8.93,1
49.9.90,53.9.94,1
49.10.91,53.10.95,1
49.11.92,53.11.96,1
49.12.93,53.12.97,1
49.13.94,53.13.98,1
49.14.95,53.14.99,1
50.1.96,54.1.100,1
51.1.97,55.1.101,1
52.1.98,56.1.102,1
52.2.99,56.2.103,1
52.3.100,56.3.104,1
52.4.101,56.4.105,1
52.5.102,56.5.106,1
53.1.103,57.1.107,1
54.1.104,58.1.108,1
54.2.105,58.2.109,1
54.3.106,58.3.110,1
54.4.107,58.4.111,1
54.5.108,58.5.112,1
54.6.109,58.6.113,1
54.7.110,58.7.114,1
54.8.111,58.8.115,1
54.9.112,58.9.116,1
55.1.113,59.1.117,1
56.1.114,60.1.118,1
57.1.115,61.1.119,1
58.1.116,62.1.120,1
59.1.117,63.1.121,1
60.1.118,64.1.122,1
61.1.119,65.1.123,1
61.2.120,65.2.124,1
61.3.121,65.3.125,1
61.4.122,65.4.126,1
61.5.123,65.5.127,1
61.6.124,65.6.128,1
62.1.125,66.1.129,1
63.1.126,67.1.130,1
64.1.127,68.1.131,1
65.1.128,69.1.132,1
66.1.129,70.1.133,1
67.1.130,71.1.134,1
68.1.131,72.1.135,1
69.1.132,73.1.136,1
