1.1.1,_,0
2.1.2,1.1.1,0.71192
3.1.3,2.1.2,1
4.1.4,3.1.3,1
5.1.5,4.1.4,1
6.1.6,5.1.5,1
6.2.7,5.2.6,1
6.3.8,5.3.7,1
7.1.9,6.1.8,1
7.2.10,6.2.9,1
7.3.11,6.3.10,1
7.4.12,6.4.11,1
7.5.13,6.5.12,1
7.6.14,6.6.13,1
7.7.15,6.7.14,1
7.8.16,6.8.15,1
7.9.17,6.9.16,1
7.10.18,6.10.17,1
8.1.19,7.1.18,1
8.2.20,7.2.19,1
8.3.21,7.3.20,1
8.4.22,7.4.21,1
9.1.23,8.1.22,1
9.2.24,8.2.23,1
9.3.25,8.3.24,1
9.4.26,8.4.25,1
10.1.27,9.1.26,1
10.2.28,9.2.27,1
10.3.29,9.3.28,1
10.4.30,9.4.29,1
10.5.31,9.5.30,1
10.6.32,9.6.31,1
10.7.33,9.7.32,1
10.8.34,9.8.33,1
10.9.35,9.9.34,1
11.1.36,10.1.35,1
11.2.37,10.2.36,1
11.3.38,10.3.37,1
12.1.39,11.1.38,1
12.2.40,11.2.39,1
12.3.41,11.3.40,1
13.1.42,12.1.41,1
14.1.43,13.1.42,1
15.1.44,14.1.43,1
16.1.45,15.1.44,1
17.1.46,16.1.45,1
17.2.47,16.2.46,1
17.3.48,16.3.47,1
17.4.49,16.4.48,1
17.5.50,16.5.49,1
17.6.51,16.6.50,1
17.7.52,16.7.51,1
17.8.53,16.8.52,1
17.9.54,16.9.53,1
17.10.55,16.10.54,1
17.11.56,16.11.55,1
18.1.57,17.1.56,1
19.1.58,18.1.57,1
20.1.59,19.1.58,1
20.2.60,19.2.59,1
20.3.61,19.3.60,1
20.4.62,19.4.61,1
21.1.63,20.1.62,1
22.1.64,21.1.63,1
23.1.65,22.1.64,1
24.1.66,23.1.65,1
24.2.67,23.2.66,1
25.1.68,24.1.67,1
25.2.69,24.2.68,1
25.3.70,24.3.69,1
25.4.71,24.4.70,1
26.1.72,25.1.71,1
26.2.73,25.2.72,1
26.3.74,25.3.73,1
26.4.75,25.4.74,1
26.5.76,25.5.75,1
27.1.77,26.1.76,1
28.1.78,27.1.77,1
29.1.79,28.1.78,1
29.2.80,28.2.79,1
29.3.81,28.3.80,1
29.4.82,28.4.81,1
29.5.83,28.5.82,1
