_,19.1.33,0
_,19.2.34,0
_,19.3.35,0
_,23.2.42,0
_,31.1.57,0
_,32.1.58,0
_,33.1.59,0
_,34.1.60,0
_,34.2.61,0
_,35.1.62,0
_,35.2.63,0
_,36.1.64,0
1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,1
6.1.10,6.1.10,1
7.1.11,7.1.11,0.771847
7.2.12,_,0
7.3.13,_,0
8.1.14,8.1.12,1
9.1.15,9.1.13,1
9.2.16,9.2.14,1
9.3.17,9.3.15,1
10.1.18,10.1.16,1
11.1.19,11.1.17,1
11.2.20,11.2.18,1
11.3.21,11.3.19,1
11.4.22,11.4.20,1
11.5.23,11.5.21,1
11.6.24,11.6.22,1
12.1.25,12.1.23,1
12.2.26,12.2.24,1
12.3.27,12.3.25,1
12.4.28,12.4.26,1
13.1.29,13.1.27,0.79095024
14.1.30,14.1.28,1
15.1.31,15.1.29,1
16.1.32,16.1.30,1
17.1.33,17.1.31,1
18.1.34,18.1.32,0.7284123
19.1.35,19.4.36,0.8126457
20.1.36,20.1.37,1
21.1.37,21.1.38,1
22.1.38,22.1.39,1
22.2.39,22.2.40,1
23.1.40,23.1.41,0.7049775
23.2.41,23.3.43,1
24.1.42,24.1.44,1
24.2.43,24.2.45,1
25.1.44,25.1.46,0.7390127
25.2.45,25.2.47,1
25.3.46,25.3.48,1
25.4.47,25.4.49,1
25.5.48,25.5.50,1
26.1.49,26.1.51,1
27.1.50,27.1.52,1
28.1.51,28.1.53,1
28.2.52,28.2.54,1
29.1.53,29.1.55,1
30.1.54,30.1.56,1
31.1.55,37.1.65,1
32.1.56,38.1.66,0.7066022
33.1.57,39.1.67,1
33.2.58,39.2.68,1
33.3.59,39.3.69,1
33.4.60,39.4.70,1
33.5.61,39.5.71,1
33.6.62,39.6.72,1
34.1.63,40.1.73,1
35.1.64,41.1.74,1
36.1.65,42.1.75,1
37.1.66,43.1.76,1
37.2.67,43.2.77,1
