_,6.5.16,0
_,18.1.40,0
_,20.3.44,0
_,21.1.45,0
_,22.1.46,0
_,23.1.47,0
_,23.2.48,0
_,23.3.49,0
_,24.1.50,0
_,25.1.51,0
_,25.2.52,0
_,25.3.53,0
_,26.1.54,0
_,26.2.55,0
_,26.3.56,0
_,26.4.57,0
_,26.5.58,0
_,27.1.59,0
_,27.2.60,0
_,27.3.61,0
_,28.1.62,0
_,29.1.63,0
_,30.1.64,0
_,31.1.65,0
_,32.1.66,0
_,33.1.67,0
_,34.1.68,0
1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
3.2.4,3.2.4,1
3.3.5,3.3.5,1
3.4.6,3.4.6,1
3.5.7,3.5.7,1
4.1.8,4.1.8,1
4.2.9,4.2.9,1
4.3.10,4.3.10,1
5.1.11,5.1.11,1
6.1.12,6.1.12,0.88210785
6.2.13,6.2.13,1
6.3.14,6.3.14,1
7.1.15,7.1.17,1
8.1.16,8.1.18,1
9.1.17,9.1.19,0.8845773
10.1.18,10.1.20,0.9050207
11.1.19,11.1.21,1
12.1.20,12.1.22,1
13.1.21,13.1.23,1
14.1.22,14.1.24,1
15.1.23,15.1.25,0.8753846
15.2.24,15.2.26,1
15.3.25,15.3.27,1
15.4.26,15.4.28,1
15.5.27,15.5.29,1
15.6.28,15.6.30,1
15.7.29,15.7.31,0.69484794
16.1.30,19.1.41,0.8268788
17.1.31,20.1.42,0.7582376
17.2.32,20.2.43,0.8257426
17.2.32,6.4.15,0.71940446
17.3.33,_,0
18.1.34,_,0
19.1.35,_,0
20.1.36,_,0
21.1.37,_,0
22.1.38,16.1.32,1
23.1.39,17.1.33,0.78258574
23.2.40,17.2.34,1
23.3.41,17.3.35,1
23.4.42,17.4.36,1
23.5.43,17.5.37,0.91247505
23.6.44,17.6.38,1
23.7.45,17.7.39,1
