_,1.1.1,0
_,1.2.2,0
_,1.3.3,0
_,1.4.4,0
_,1.5.5,0
1.1.1,_,0
2.1.2,2.1.6,1
3.1.3,3.1.7,1
4.1.4,4.1.8,0.8862386
5.1.5,5.1.9,1
6.1.6,6.1.10,1
6.2.7,6.2.11,1
6.3.8,6.3.12,1
6.4.9,6.4.13,0.99076927
7.1.10,7.1.14,1
7.2.11,7.2.15,1
8.1.12,8.1.16,1
8.2.13,8.2.17,1
8.3.14,8.3.18,1
8.4.15,8.4.19,1
8.5.16,8.5.20,1
8.6.17,8.6.21,1
8.7.18,8.7.22,1
9.1.19,9.1.23,1
9.2.20,9.2.24,1
9.3.21,9.3.25,1
9.4.22,9.4.26,1
9.5.23,9.5.27,1
10.1.24,10.1.28,1
11.1.25,11.1.29,1
12.1.26,12.1.30,1
13.1.27,13.1.31,1
13.2.28,13.2.32,1
13.3.29,13.3.33,1
13.4.30,13.4.34,1
13.5.31,13.5.35,1
13.6.32,13.6.36,1
14.1.33,14.1.37,1
15.1.34,15.1.38,0.99220777
16.1.35,16.1.39,1
17.1.36,17.1.40,1
17.2.37,17.2.41,1
17.3.38,17.3.42,1
17.4.39,17.4.43,1
17.5.40,17.5.44,1
17.6.41,17.6.45,1
17.7.42,17.7.46,1
18.1.43,18.1.47,1
19.1.44,19.1.48,0.9690461
20.1.45,20.1.49,1
21.1.46,21.1.50,0.9601307
22.1.47,22.1.51,1
23.1.48,23.1.52,0.9841259
24.1.49,24.1.53,1
25.1.50,25.1.54,1
25.2.51,25.2.55,1
25.3.52,25.3.56,1
25.4.53,25.4.57,1
26.1.54,26.1.58,1
26.2.55,26.2.59,0.9909091
27.1.56,27.1.60,1
28.1.57,28.1.61,1
28.2.58,28.2.62,1
28.3.59,28.3.63,1
28.4.60,28.4.64,1
29.1.61,29.1.65,1
30.1.62,30.1.66,1
30.2.63,30.2.67,0.98520005
31.1.64,31.1.68,1
32.1.65,32.1.69,0.9836899
33.1.66,33.1.70,1
33.2.67,33.2.71,1
34.1.68,34.1.72,1
35.1.69,35.1.73,1
