_,13.12.35,0
_,18.1.41,0
_,19.1.42,0
_,19.2.43,0
_,19.3.44,0
1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
3.2.4,3.2.4,1
4.1.5,4.1.5,1
5.1.6,5.1.6,1
6.1.7,6.1.7,1
7.1.8,7.1.8,1
8.1.9,8.1.9,1
8.2.10,8.2.10,1
8.3.11,8.3.11,1
9.1.12,9.2.13,0.86395663
10.1.13,10.2.15,1
11.1.14,11.1.16,1
12.1.15,12.1.17,1
12.2.16,12.2.18,1
12.3.17,12.3.19,0.65071046
12.4.18,_,0
12.5.19,_,0
12.6.20,_,0
12.7.21,_,0
12.8.22,12.4.20,1
12.9.23,12.5.21,1
12.10.24,12.6.22,1
12.11.25,12.7.23,1
13.1.26,13.1.24,1
13.2.27,13.2.25,1
13.3.28,13.3.26,1
13.4.29,13.4.27,1
13.5.30,13.5.28,1
13.6.31,13.6.29,0.46804106
13.7.32,_,0
13.8.33,_,0
13.9.34,_,0
13.10.35,_,0
13.11.36,_,0
13.12.37,9.1.12,0.54153085
13.13.38,10.1.14,0.57345784
13.14.39,_,0
13.15.40,13.7.30,1
13.16.41,13.8.31,0.7521222
13.17.42,13.9.32,0.8229134
13.18.43,13.10.33,0.8492919
13.19.44,13.11.34,1
13.20.45,_,0
14.1.46,14.1.36,1
15.1.47,15.1.37,1
15.2.48,15.2.38,1
16.1.49,16.1.39,1
17.1.50,17.1.40,1
18.1.51,20.1.45,0.6897062
19.1.52,21.1.46,1
19.2.53,21.2.47,1
19.3.54,21.3.48,1
19.4.55,21.4.49,1
19.5.56,21.5.50,1
19.6.57,21.6.51,1
20.1.58,22.1.52,1
20.2.59,22.2.53,1
20.3.60,22.3.54,1
20.4.61,22.4.55,1
20.5.62,22.5.56,1
20.6.63,22.6.57,1
20.7.64,22.7.58,1
20.8.65,22.8.59,1
21.1.66,_,0
21.2.67,_,0
21.3.68,_,0
22.1.69,_,0
22.2.70,_,0
22.3.71,_,0
