1.1.1,1.1.1,0.97538984
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,_,0
5.2.6,5.1.5,1
5.3.7,5.2.6,0.9510772
5.4.8,_,0
6.1.9,6.1.7,1
7.1.10,7.1.8,1
8.1.11,8.1.9,1
8.2.12,8.2.10,0.8521712
8.3.13,8.3.11,0.98401713
8.4.14,8.4.12,1
8.5.15,8.5.13,1
8.6.16,8.6.14,1
9.1.17,9.1.15,1
10.1.18,10.1.16,0.9875864
11.1.19,11.1.17,1
11.2.20,11.2.18,0.9164356
12.1.21,12.1.19,1
13.1.22,13.1.20,0.97927976
14.1.23,14.1.21,1
14.2.24,14.2.22,1
14.3.25,14.3.23,1
14.4.26,14.4.24,1
14.5.27,14.5.25,1
15.1.28,15.1.26,1
15.2.29,15.2.27,1
15.3.30,15.3.28,1
15.4.31,15.4.29,1
16.1.32,16.1.30,1
17.1.33,17.1.31,1
18.1.34,18.1.32,1
19.1.35,19.1.33,1
20.1.36,20.1.34,1
20.2.37,20.2.35,1
20.3.38,20.3.36,1
20.4.39,20.4.37,1
20.5.40,20.5.38,1
20.6.41,20.6.39,1
20.7.42,20.7.40,1
20.8.43,20.8.41,1
20.9.44,20.9.42,1
20.10.45,20.10.43,1
21.1.46,21.1.44,1
22.1.47,22.1.45,1
22.2.48,22.2.46,1
22.3.49,22.3.47,0.9929435
22.4.50,22.4.48,1
22.5.51,22.5.49,1
22.6.52,22.6.50,1
22.7.53,22.7.51,0.9922466
