1.1.1,1.1.1,0.97361696
2.1.2,2.1.2,0.9684262
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,1
6.2.7,6.2.7,1
6.3.8,6.3.8,1
6.4.9,6.4.9,1
6.5.10,6.5.10,0.8543689
7.1.11,7.1.11,1
7.2.12,7.2.12,1
7.3.13,7.3.13,1
7.4.14,7.4.14,1
7.5.15,7.5.15,1
8.1.16,8.1.16,1
8.2.17,8.2.17,1
8.3.18,8.3.18,1
8.4.19,8.4.19,1
8.5.20,8.5.20,1
8.6.21,8.6.21,1
8.7.22,8.7.22,0.7870804
8.7.22,8.8.23,0.4745311
8.8.23,10.7.36,0.5541115
8.8.23,8.8.23,0.79307604
8.9.24,10.8.37,0.5886268
8.9.24,8.9.24,0.8759871
9.1.25,9.1.25,1
9.2.26,9.2.26,1
9.3.27,9.3.27,1
9.4.28,9.4.28,1
9.5.29,9.5.29,1
10.1.30,10.1.30,1
10.2.31,10.2.31,1
10.3.32,10.3.32,1
10.4.33,10.4.33,0.9289626
10.5.34,10.5.34,1
10.6.35,10.6.35,0.8387405
10.6.35,10.7.36,0.74882734
10.7.36,10.6.35,0.48739028
10.7.36,10.7.36,0.8371693
10.8.37,10.8.37,0.9007625
11.1.38,11.1.38,1
12.1.39,12.1.39,1
13.1.40,13.1.40,1
14.1.41,14.1.41,1
14.2.42,14.2.42,1
14.3.43,14.3.43,1
14.4.44,14.4.44,1
14.5.45,14.5.45,1
14.6.46,14.6.46,1
14.7.47,14.7.47,1
15.1.48,15.1.48,1
16.1.49,16.1.49,1
16.2.50,16.2.50,1
16.3.51,16.3.51,1
16.4.52,16.4.52,1
16.5.53,16.5.53,1
16.6.54,16.6.54,0.9273648
16.7.55,16.7.55,1
16.8.56,16.6.54,0.7385175
16.8.56,16.8.56,0.9162237
17.1.57,17.1.57,1
17.2.58,17.2.58,1
17.3.59,17.3.59,1
17.4.60,17.4.60,1
17.5.61,17.5.61,0.9268695
17.6.62,17.6.62,1
17.7.63,17.5.61,0.5391283
17.7.63,17.7.63,0.9090115
18.1.64,18.1.64,1
