_,15.1.21,0
_,16.1.22,0
_,17.1.23,0
_,17.2.24,0
_,17.3.25,0
_,18.1.26,0
_,19.1.27,0
_,20.1.28,0
_,20.2.29,0
_,20.3.30,0
_,20.4.31,0
_,20.5.32,0
_,20.6.33,0
_,20.7.34,0
_,21.1.35,0
_,22.1.36,0
_,22.2.37,0
_,22.3.38,0
_,23.1.39,0
_,24.1.40,0
_,24.2.41,0
_,24.3.42,0
_,24.4.43,0
_,24.5.44,0
_,24.6.45,0
_,24.7.46,0
_,24.8.47,0
_,24.9.48,0
_,25.1.49,0
_,26.1.50,0
_,26.2.51,0
_,26.3.52,0
_,27.1.53,0
_,27.2.54,0
_,27.3.55,0
_,27.4.56,0
_,27.5.57,0
_,27.6.58,0
_,27.7.59,0
_,27.8.60,0
_,27.9.61,0
_,27.10.62,0
_,27.11.63,0
_,27.12.64,0
_,27.13.65,0
_,27.14.66,0
_,27.15.67,0
_,27.16.68,0
1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
6.1.8,6.1.8,1
6.2.9,6.2.9,1
6.3.10,6.3.10,0.98956525
7.1.11,7.1.11,1
8.1.12,8.1.12,1
8.2.13,8.2.13,1
8.3.14,8.3.14,1
9.1.15,9.1.15,1
10.1.16,10.1.16,1
11.1.17,11.1.17,1
12.1.18,12.1.18,1
13.1.19,13.1.19,1
14.1.20,14.1.20,1
