1.1.1,1.1.1,0.9809524
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
4.2.5,4.2.5,1
4.3.6,4.3.6,1
4.4.7,4.4.7,1
4.5.8,4.5.8,1
4.6.9,4.6.9,1
5.1.10,5.1.10,1
5.2.11,5.2.11,1
5.3.12,5.3.12,1
5.4.13,5.4.13,1
6.1.14,6.1.14,1
7.1.15,7.1.15,1
7.2.16,7.2.16,1
7.3.17,7.3.17,1
7.4.18,7.4.18,1
8.1.19,8.1.19,1
9.1.20,9.1.20,1
9.2.21,9.2.21,1
9.3.22,9.3.22,1
9.4.23,9.4.23,1
9.5.24,9.5.24,1
9.6.25,9.6.25,1
9.7.26,9.7.26,1
9.8.27,9.8.27,1
9.9.28,9.9.28,1
9.10.29,9.10.29,1
9.11.30,9.11.30,1
9.12.31,9.12.31,1
9.13.32,9.13.32,1
9.14.33,9.14.33,1
9.15.34,9.15.34,1
9.16.35,9.16.35,1
9.17.36,9.17.36,1
9.18.37,9.18.37,1
10.1.38,10.1.38,1
10.2.39,10.2.39,1
10.3.40,10.3.40,1
11.1.41,11.1.41,1
11.2.42,11.2.42,1
11.3.43,11.3.43,1
11.4.44,11.4.44,1
12.1.45,12.1.45,1
13.1.46,13.1.46,1
14.1.47,14.1.47,1
15.1.48,15.1.48,1
15.2.49,15.2.49,1
15.3.50,15.3.50,1
16.1.51,16.1.51,1
17.1.52,17.1.52,1
18.1.53,18.1.53,1
18.2.54,18.2.54,1
18.3.55,18.3.55,1
18.4.56,18.4.56,1
18.5.57,18.5.57,1
19.1.58,19.1.58,1
19.2.59,19.2.59,1
19.3.60,19.3.60,1
20.1.61,20.1.61,1
20.2.62,20.2.62,1
20.3.63,20.3.63,1
21.1.64,21.1.64,1
22.1.65,22.1.65,1
22.2.66,22.2.66,1
22.3.67,22.3.67,1
23.1.68,23.1.68,1
23.2.69,23.2.69,1
23.3.70,23.3.70,1
23.4.71,23.4.71,1
23.5.72,23.5.72,1
23.6.73,23.6.73,1
23.7.74,23.7.74,1
23.8.75,23.8.75,1
23.9.76,23.9.76,1
23.10.77,23.10.77,1
23.11.78,23.11.78,1
23.12.79,23.12.79,1
23.13.80,23.13.80,1
23.14.81,23.14.81,1
23.15.82,23.15.82,1
23.16.83,23.16.83,1
23.17.84,23.17.84,1
23.18.85,23.18.85,1
23.19.86,23.19.86,1
23.20.87,23.20.87,1
23.21.88,23.21.88,1
23.22.89,23.22.89,1
23.23.90,23.23.90,1
23.24.91,23.24.91,1
23.25.92,23.25.92,1
23.26.93,23.26.93,1
23.27.94,23.27.94,1
23.28.95,23.28.95,1
23.29.96,23.29.96,1
23.30.97,23.30.97,1
23.31.98,23.31.98,1
24.1.99,24.1.99,1
24.2.100,24.2.100,1
24.3.101,24.3.101,1
24.4.102,24.4.102,1
24.5.103,24.5.103,1
24.6.104,24.6.104,1
25.1.105,25.1.105,1
26.1.106,26.1.106,1
26.2.107,26.2.107,1
26.3.108,26.3.108,1
26.4.109,26.4.109,1
27.1.110,27.1.110,1
28.1.111,28.1.111,1
29.1.112,29.1.112,1
30.1.113,30.1.113,1
31.1.114,31.1.114,1
31.2.115,31.2.115,1
31.3.116,31.3.116,1
31.4.117,31.4.117,1
31.5.118,31.5.118,1
31.6.119,31.6.119,1
31.7.120,31.7.120,1
31.8.121,31.8.121,1
31.9.122,31.9.122,1
31.10.123,31.10.123,1
31.11.124,31.11.124,1
31.12.125,31.12.125,1
31.13.126,31.13.126,1
31.14.127,31.14.127,1
32.1.128,32.1.128,1
33.1.129,33.1.129,1
33.2.130,33.2.130,1
33.3.131,33.3.131,1
34.1.132,34.1.132,1
34.2.133,34.2.133,1
34.3.134,34.3.134,1
34.4.135,34.4.135,1
34.5.136,34.5.136,1
34.6.137,34.6.137,1
34.7.138,34.7.138,1
34.8.139,34.8.139,1
34.9.140,34.9.140,1
34.10.141,34.10.141,1
34.11.142,34.11.142,1
34.12.143,34.12.143,1
34.13.144,34.13.144,1
35.1.145,35.1.145,1
35.2.146,35.2.146,1
35.3.147,35.3.147,1
35.4.148,35.4.148,1
35.5.149,35.5.149,1
35.6.150,35.6.150,1
