1.1.1,1.1.1,0.9809524
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,1
7.1.7,7.1.7,1
8.1.8,8.1.8,1
9.1.9,9.1.9,1
10.1.10,10.1.10,1
11.1.11,11.1.11,1
12.1.12,12.1.12,1
13.1.13,13.1.13,1
14.1.14,14.1.14,1
14.2.15,14.2.15,1
14.3.16,14.3.16,1
14.4.17,14.4.17,1
14.5.18,14.5.18,1
15.1.19,15.1.19,1
15.2.20,15.2.20,1
15.3.21,15.3.21,1
16.1.22,16.1.22,1
17.1.23,17.1.23,1
18.1.24,18.1.24,1
19.1.25,19.1.25,1
20.1.26,20.1.26,1
21.1.27,21.1.27,1
22.1.28,22.1.28,1
23.1.29,23.1.29,1
24.1.30,24.1.30,1
25.1.31,25.1.31,1
26.1.32,26.1.32,1
27.1.33,27.1.33,1
28.1.34,28.1.34,1
29.1.35,29.1.35,1
30.1.36,30.1.36,1
31.1.37,31.1.37,1
32.1.38,32.1.38,1
33.1.39,33.1.39,1
34.1.40,34.1.40,1
35.1.41,35.1.41,1
36.1.42,36.1.42,1
37.1.43,37.1.43,1
38.1.44,38.1.44,1
39.1.45,39.1.45,1
40.1.46,40.1.46,1
40.2.47,40.2.47,1
41.1.48,41.1.48,1
42.1.49,42.1.49,1
42.2.50,42.2.50,1
43.1.51,43.1.51,1
44.1.52,44.1.52,1
45.1.53,45.1.53,1
46.1.54,46.1.54,1
46.2.55,46.2.55,1
