1.1.1,_,0
2.1.2,1.1.1,1
3.1.3,2.1.2,1
4.1.4,3.1.3,1
5.1.5,4.1.4,1
5.2.6,4.2.5,1
5.3.7,4.3.6,1
6.1.8,5.1.7,1
7.1.9,6.1.8,1
8.1.10,7.1.9,1
8.2.11,7.2.10,1
8.3.12,7.3.11,1
9.1.13,8.1.12,1
9.2.14,8.2.13,1
10.1.15,9.1.14,1
11.1.16,10.1.15,1
12.1.17,11.1.16,1
13.1.18,12.1.17,1
14.1.19,13.1.18,1
15.1.20,14.1.19,1
15.2.21,14.2.20,1
15.3.22,14.3.21,1
15.4.23,14.4.22,1
15.5.24,14.5.23,1
16.1.25,15.1.24,1
17.1.26,16.1.25,1
18.1.27,17.1.26,1
19.1.28,18.1.27,1
19.2.29,18.2.28,1
19.3.30,18.3.29,1
20.1.31,19.1.30,1
21.1.32,20.1.31,1
22.1.33,21.1.32,1
23.1.34,22.1.33,1
24.1.35,23.1.34,1
24.2.36,23.2.35,1
24.3.37,23.3.36,1
24.4.38,23.4.37,1
24.5.39,23.5.38,1
25.1.40,24.1.39,1
26.1.41,25.1.40,1
26.2.42,25.2.41,1
26.3.43,25.3.42,1
26.4.44,25.4.43,1
26.5.45,25.5.44,1
26.6.46,25.6.45,1
26.7.47,25.7.46,1
26.8.48,25.8.47,1
27.1.49,26.1.48,1
28.1.50,27.1.49,1
28.2.51,27.2.50,1
28.3.52,27.3.51,1
28.4.53,27.4.52,1
28.5.54,27.5.53,1
28.6.55,27.6.54,1
28.7.56,27.7.55,1
28.8.57,27.8.56,1
29.1.58,28.1.57,1
30.1.59,29.1.58,1
31.1.60,30.1.59,1
31.2.61,30.2.60,1
31.3.62,30.3.61,1
32.1.63,31.1.62,1
33.1.64,32.1.63,1
33.2.65,32.2.64,1
33.3.66,32.3.65,1
33.4.67,32.4.66,1
33.5.68,32.5.67,1
33.6.69,32.6.68,1
33.7.70,32.7.69,1
34.1.71,33.1.70,1
35.1.72,34.1.71,1
35.2.73,34.2.72,1
35.3.74,34.3.73,1
35.4.75,34.4.74,1
35.5.76,34.5.75,1
35.6.77,34.6.76,1
35.7.78,34.7.77,1
35.8.79,34.8.78,1
35.9.80,34.9.79,1
36.1.81,35.1.80,1
37.1.82,36.1.81,1
37.2.83,36.2.82,1
37.3.84,36.3.83,1
37.4.85,36.4.84,1
37.5.86,36.5.85,1
37.6.87,36.6.86,1
37.7.88,36.7.87,1
38.1.89,37.1.88,1
39.1.90,38.1.89,1
