1.1.1,_,0
2.1.2,1.1.1,1
3.1.3,2.1.2,1
4.1.4,3.1.3,1
4.2.5,3.2.4,1
4.3.6,3.3.5,1
5.1.7,4.1.6,1
6.1.8,5.1.7,1
7.1.9,6.1.8,1
7.2.10,6.2.9,1
8.1.11,7.1.10,1
9.1.12,8.1.11,1
10.1.13,9.1.12,1
11.1.14,10.1.13,1
12.1.15,11.1.14,1
13.1.16,12.1.15,1
14.1.17,13.1.16,1
15.1.18,14.1.17,1
16.1.19,15.1.18,1
17.1.20,16.1.19,1
18.1.21,17.1.20,1
19.1.22,18.1.21,1
20.1.23,19.1.22,1
21.1.24,20.1.23,1
22.1.25,21.1.24,1
23.1.26,22.1.25,1
24.1.27,23.1.26,1
25.1.28,24.1.27,1
26.1.29,25.1.28,1
27.1.30,26.1.29,1
28.1.31,27.1.30,1
28.2.32,27.2.31,1
28.3.33,27.3.32,1
28.4.34,27.4.33,1
28.5.35,27.5.34,1
28.6.36,27.6.35,1
29.1.37,28.1.36,1
30.1.38,29.1.37,1
31.1.39,30.1.38,1
32.1.40,31.1.39,1
33.1.41,32.1.40,1
34.1.42,33.1.41,1
35.1.43,34.1.42,1
35.2.44,34.2.43,1
35.3.45,34.3.44,1
35.4.46,34.4.45,1
35.5.47,34.5.46,1
35.6.48,34.6.47,1
35.7.49,34.7.48,1
36.1.50,35.1.49,1
37.1.51,36.1.50,1
38.1.52,37.1.51,1
39.1.53,38.1.52,1
40.1.54,39.1.53,1
