_,12.1.34,0
1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,1
5.2.10,5.2.10,1
6.1.11,6.1.11,1
7.1.12,7.1.12,1
8.1.13,8.1.13,1
8.2.14,8.2.14,1
8.3.15,8.3.15,1
8.4.16,8.4.16,1
8.5.17,8.5.17,1
8.6.18,8.6.18,1
9.1.19,9.1.19,1
10.1.20,10.1.20,1
11.1.21,11.1.21,1
11.2.22,11.2.22,1
11.3.23,11.3.23,1
11.4.24,11.4.24,1
11.5.25,_,0
11.6.26,11.5.25,1
11.7.27,11.6.26,1
11.8.28,_,0
11.9.29,11.7.27,1
11.10.30,11.8.28,1
11.11.31,11.9.29,1
11.12.32,11.10.30,1
11.13.33,11.11.31,1
11.14.34,11.12.32,1
11.15.35,11.13.33,1
12.1.36,_,0
12.2.37,_,0
12.3.38,_,0
12.4.39,_,0
12.5.40,_,0
12.6.41,_,0
12.7.42,_,0
13.1.43,_,0
13.2.44,_,0
13.3.45,_,0
13.4.46,_,0
13.5.47,_,0
13.6.48,_,0
13.7.49,_,0
13.8.50,_,0
13.9.51,_,0
13.10.52,_,0
14.1.53,_,0
14.2.54,12.2.35,1
14.3.55,12.3.36,0.8403557
14.4.56,12.4.37,0.86552435
15.1.57,13.1.38,1
16.1.58,14.1.39,1
16.2.59,14.2.40,1
16.3.60,14.3.41,1
16.4.61,14.4.42,1
16.5.62,14.5.43,1
17.1.63,15.1.44,1
17.2.64,15.2.45,1
17.3.65,15.3.46,1
17.4.66,15.4.47,1
18.1.67,16.1.48,1
19.1.68,17.1.49,1
20.1.69,18.1.50,1
21.1.70,19.1.51,1
22.1.71,20.1.52,1
22.2.72,20.2.53,1
22.3.73,20.3.54,1
22.4.74,20.4.55,1
22.5.75,20.5.56,1
22.6.76,20.6.57,1
22.7.77,20.7.58,1
22.8.78,20.8.59,1
22.9.79,20.9.60,1
22.10.80,20.10.61,1
22.11.81,20.11.62,1
23.1.82,21.1.63,1
24.1.83,22.1.64,1
24.2.84,22.2.65,1
24.3.85,22.3.66,1
25.1.86,23.1.67,1
25.2.87,23.2.68,1
25.3.88,23.3.69,1
25.4.89,23.4.70,1
25.5.90,23.5.71,1
26.1.91,24.1.72,1
26.2.92,24.2.73,1
26.3.93,24.3.74,1
