_,48.2.129,0
_,48.5.132,0
_,48.9.136,0
1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,1
6.1.10,6.1.10,1
6.2.11,6.2.11,1
6.3.12,6.3.12,1
6.4.13,6.4.13,1
7.1.14,7.1.14,1
7.2.15,7.2.15,1
7.3.16,7.3.16,1
7.4.17,7.4.17,1
7.5.18,7.5.18,1
7.6.19,7.6.19,1
7.7.20,7.7.20,1
7.8.21,7.8.21,1
8.1.22,8.1.22,1
9.1.23,9.1.23,1
10.1.24,10.1.24,1
10.2.25,10.2.25,1
10.3.26,10.3.26,1
10.4.27,10.4.27,1
10.5.28,10.5.28,1
10.6.29,10.6.29,1
10.7.30,10.7.30,1
10.8.31,10.8.31,1
10.9.32,10.9.32,1
10.10.33,10.10.33,1
11.1.34,11.1.34,1
12.1.35,12.1.35,1
12.2.36,12.2.36,1
12.3.37,12.3.37,1
12.4.38,12.4.38,1
12.5.39,12.5.39,1
12.6.40,12.6.40,1
13.1.41,13.1.41,1
13.2.42,13.2.42,1
13.3.43,13.3.43,1
14.1.44,14.1.44,1
14.2.45,14.2.45,1
15.1.46,15.1.46,1
15.2.47,15.2.47,1
16.1.48,16.1.48,1
17.1.49,17.1.49,1
18.1.50,18.1.50,1
18.2.51,18.2.51,1
19.1.52,19.1.52,1
19.2.53,19.2.53,1
19.3.54,19.3.54,1
19.4.55,19.4.55,1
19.5.56,19.5.56,1
19.6.57,19.6.57,1
20.1.58,20.1.58,1
21.1.59,21.1.59,1
21.2.60,21.2.60,1
21.3.61,21.3.61,1
22.1.62,22.1.62,1
22.2.63,22.2.63,1
22.3.64,22.3.64,1
22.4.65,22.4.65,1
22.5.66,22.5.66,1
22.6.67,22.6.67,1
22.7.68,22.7.68,1
22.8.69,22.8.69,1
22.9.70,22.9.70,1
23.1.71,23.1.71,1
24.1.72,24.1.72,1
25.1.73,25.1.73,1
25.2.74,25.2.74,1
25.3.75,25.3.75,1
25.4.76,25.4.76,1
25.5.77,25.5.77,1
25.6.78,25.6.78,1
25.7.79,25.7.79,1
25.8.80,25.8.80,1
25.9.81,25.9.81,1
26.1.82,26.1.82,1
27.1.83,27.1.83,1
27.2.84,27.2.84,1
27.3.85,27.3.85,1
27.4.86,27.4.86,1
27.5.87,27.5.87,1
27.6.88,27.6.88,1
27.7.89,27.7.89,1
27.8.90,27.8.90,1
28.1.91,28.1.91,1
29.1.92,29.1.92,1
30.1.93,30.1.93,1
31.1.94,31.1.94,1
32.1.95,32.1.95,1
33.1.96,33.1.96,1
34.1.97,34.1.97,1
35.1.98,35.1.98,1
36.1.99,36.1.99,1
36.2.100,36.2.100,1
36.3.101,36.3.101,1
36.4.102,36.4.102,1
36.5.103,36.5.103,1
36.6.104,36.6.104,1
36.7.105,36.7.105,1
36.8.106,36.8.106,1
36.9.107,36.9.107,1
36.10.108,36.10.108,1
36.11.109,36.11.109,1
36.12.110,36.12.110,1
36.13.111,36.13.111,1
36.14.112,36.14.112,1
36.15.113,36.15.113,1
36.16.114,36.16.114,1
36.17.115,36.17.115,1
36.18.116,36.18.116,1
37.1.117,37.1.117,1
38.1.118,38.1.118,1
39.1.119,39.1.119,1
40.1.120,40.1.120,1
41.1.121,41.1.121,1
42.1.122,42.1.122,1
43.1.123,43.1.123,1
44.1.124,44.1.124,1
45.1.125,45.1.125,1
46.1.126,46.1.126,1
47.1.127,47.1.127,1
48.1.128,48.1.128,1
48.2.129,48.3.130,0.6904255
48.3.130,48.4.131,1
48.4.131,48.6.133,1
48.5.132,48.7.134,1
48.6.133,48.8.135,1
48.7.134,48.10.137,1
48.8.135,48.11.138,1
48.9.136,48.12.139,1
49.1.137,49.1.140,1
50.1.138,50.1.141,1
51.1.139,51.1.142,1
52.1.140,52.1.143,1
52.2.141,52.2.144,1
52.3.142,52.3.145,1
52.4.143,52.4.146,1
52.5.144,52.5.147,1
52.6.145,52.6.148,1
52.7.146,52.7.149,1
52.8.147,52.8.150,1
52.9.148,52.9.151,1
52.10.149,52.10.152,1
52.11.150,52.11.153,1
52.12.151,52.12.154,1
52.13.152,52.13.155,1
52.14.153,52.14.156,1
52.15.154,52.15.157,1
52.16.155,52.16.158,1
