_,4.3.6,0
1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,0.94172466
4.2.5,4.2.5,1
4.3.6,4.5.8,0.9222888
5.1.7,5.1.9,0.926062
6.1.8,6.1.10,0.647854
6.2.9,_,0
6.3.10,_,0
6.4.11,4.4.7,1
6.5.12,_,0
6.6.13,_,0
6.7.14,_,0
6.8.15,_,0
6.9.16,_,0
6.10.17,6.2.11,1
6.11.18,6.3.12,0.9298094
6.12.19,6.4.13,1
6.13.20,6.5.14,1
6.14.21,6.6.15,1
6.15.22,6.7.16,1
6.16.23,6.8.17,1
6.17.24,6.9.18,0.9928862
6.18.25,6.10.19,1
6.19.26,6.11.20,0.99655914
7.1.27,7.1.21,1
7.2.28,7.2.22,1
7.3.29,7.3.23,1
8.1.30,8.1.24,1
8.2.31,8.2.25,1
8.3.32,8.3.26,1
8.4.33,8.4.27,1
8.5.34,8.5.28,1
8.6.35,8.6.29,1
8.7.36,8.7.30,1
8.8.37,8.8.31,1
8.9.38,8.9.32,1
8.10.39,8.10.33,1
8.11.40,8.11.34,1
8.12.41,8.12.35,1
8.13.42,8.13.36,1
8.14.43,8.14.37,1
8.15.44,8.15.38,1
8.16.45,8.16.39,1
8.17.46,8.17.40,1
8.18.47,8.18.41,1
8.19.48,8.19.42,1
8.20.49,8.20.43,1
8.21.50,8.21.44,1
8.22.51,8.22.45,1
8.23.52,8.23.46,1
8.24.53,8.24.47,1
8.25.54,8.25.48,1
8.26.55,8.26.49,1
8.27.56,8.27.50,1
8.28.57,8.28.51,1
8.29.58,8.29.52,1
8.30.59,8.30.53,1
8.31.60,8.31.54,1
8.32.61,8.32.55,1
8.33.62,8.33.56,1
8.34.63,8.34.57,1
8.35.64,8.35.58,1
8.36.65,8.36.59,1
8.37.66,8.37.60,1
8.38.67,8.38.61,1
8.39.68,8.39.62,1
8.40.69,8.40.63,1
8.41.70,8.41.64,1
9.1.71,9.1.65,1
10.1.72,10.1.66,1
11.1.73,11.1.67,1
12.1.74,12.1.68,1
12.2.75,12.2.69,1
12.3.76,12.3.70,1
12.4.77,12.4.71,1
12.5.78,12.5.72,1
12.6.79,12.6.73,1
12.7.80,12.7.74,1
12.8.81,12.8.75,0.9903226
12.9.82,12.9.76,1
12.10.83,12.10.77,1
12.11.84,12.11.78,1
12.12.85,12.12.79,1
12.13.86,12.13.80,1
12.14.87,12.14.81,1
12.15.88,12.15.82,1
12.16.89,12.16.83,1
12.17.90,12.17.84,1
12.18.91,12.18.85,1
12.19.92,12.19.86,1
12.20.93,12.20.87,1
12.21.94,12.21.88,1
12.22.95,12.22.89,0.9815341
12.23.96,12.23.90,1
12.24.97,12.24.91,1
12.25.98,12.25.92,1
12.26.99,12.26.93,0.9733076
12.27.100,12.27.94,1
12.28.101,12.28.95,1
12.29.102,12.29.96,1
12.30.103,12.30.97,1
12.31.104,12.31.98,1
12.32.105,12.32.99,1
12.33.106,12.33.100,1
12.34.107,12.34.101,1
12.35.108,12.35.102,1
12.36.109,12.36.103,1
12.37.110,12.37.104,1
12.38.111,12.38.105,0.9814683
12.39.112,12.39.106,1
12.40.113,12.40.107,0.9698758
12.41.114,12.41.108,1
12.42.115,12.42.109,1
12.43.116,12.43.110,1
12.44.117,12.44.111,1
12.45.118,12.45.112,1
12.46.119,12.46.113,1
12.47.120,12.47.114,1
12.48.121,12.48.115,1
12.49.122,12.49.116,1
12.50.123,12.50.117,1
12.51.124,12.51.118,1
12.52.125,12.52.119,1
12.53.126,12.53.120,1
12.54.127,12.54.121,1
12.55.128,12.55.122,1
12.56.129,12.56.123,1
12.57.130,12.57.124,0.99
12.58.131,12.58.125,1
12.59.132,12.59.126,1
12.60.133,12.60.127,1
12.61.134,12.61.128,1
12.62.135,12.62.129,1
12.63.136,12.63.130,1
12.64.137,12.64.131,1
13.1.138,13.1.132,1
14.1.139,14.1.133,1
14.2.140,14.2.134,1
14.3.141,14.3.135,1
14.4.142,14.4.136,1
14.5.143,14.5.137,1
14.6.144,14.6.138,1
14.7.145,14.7.139,1
14.8.146,14.8.140,1
14.9.147,14.9.141,1
14.10.148,14.10.142,1
14.11.149,14.11.143,1
14.12.150,14.12.144,0.9898305
14.13.151,14.13.145,1
14.14.152,14.14.146,1
14.15.153,14.15.147,1
14.16.154,14.16.148,1
14.17.155,14.17.149,1
14.18.156,14.18.150,1
14.19.157,14.19.151,1
14.20.158,14.20.152,1
14.21.159,14.21.153,1
14.22.160,14.22.154,1
14.23.161,14.23.155,1
14.24.162,14.24.156,1
14.25.163,14.25.157,1
14.26.164,14.26.158,1
14.27.165,14.27.159,1
14.28.166,14.28.160,0.99076927
14.29.167,14.29.161,1
14.30.168,14.30.162,1
14.31.169,14.31.163,1
14.32.170,14.32.164,1
14.33.171,14.33.165,1
14.34.172,14.34.166,1
14.35.173,14.35.167,1
14.36.174,14.36.168,1
14.37.175,14.37.169,1
14.38.176,14.38.170,1
14.39.177,14.39.171,1
14.40.178,14.40.172,0.94857144
14.41.179,14.41.173,0.97943234
14.42.180,14.42.174,1
14.43.181,14.43.175,1
14.44.182,14.44.176,1
14.45.183,14.45.177,1
