id,filename,current_commit,parent_commit,status
b42f37d4e455e7cbba8a3334a63902a4c2a4443d#0,w2/w2-s5-c2-presentation.ipynb,b42f37d4e455e7cbba8a3334a63902a4c2a4443d,90e30b645f0500339ceea97b6fae326aae1457f2,success
4db1a11a6ff7417ed3341bcba34ce82033b71207#0,w1/w1-s2-c1-installer-python.ipynb,4db1a11a6ff7417ed3341bcba34ce82033b71207,7c521c8538cfcb7dbf504c36736adb30e02ab036,diff-error
4db1a11a6ff7417ed3341bcba34ce82033b71207#1,w1/w1-s2-c2-lecture.ipynb,4db1a11a6ff7417ed3341bcba34ce82033b71207,7c521c8538cfcb7dbf504c36736adb30e02ab036,success
4db1a11a6ff7417ed3341bcba34ce82033b71207#2,w1/w1-s5-c1-noms-de-variables.ipynb,4db1a11a6ff7417ed3341bcba34ce82033b71207,7c521c8538cfcb7dbf504c36736adb30e02ab036,diff-error
4db1a11a6ff7417ed3341bcba34ce82033b71207#3,w2/w2-s1-c1-accents.ipynb,4db1a11a6ff7417ed3341bcba34ce82033b71207,7c521c8538cfcb7dbf504c36736adb30e02ab036,diff-error
4db1a11a6ff7417ed3341bcba34ce82033b71207#4,w2/w2-s2-c4-expressions-regulieres.ipynb,4db1a11a6ff7417ed3341bcba34ce82033b71207,7c521c8538cfcb7dbf504c36736adb30e02ab036,success
4db1a11a6ff7417ed3341bcba34ce82033b71207#5,w2/w2-s5-c2-presentation.ipynb,4db1a11a6ff7417ed3341bcba34ce82033b71207,7c521c8538cfcb7dbf504c36736adb30e02ab036,success
4db1a11a6ff7417ed3341bcba34ce82033b71207#6,w3/w3-s7-c2-references-circulaires.ipynb,4db1a11a6ff7417ed3341bcba34ce82033b71207,7c521c8538cfcb7dbf504c36736adb30e02ab036,diff-error
4db1a11a6ff7417ed3341bcba34ce82033b71207#7,w7/w7-s09-c1-TimeSeries.ipynb,4db1a11a6ff7417ed3341bcba34ce82033b71207,7c521c8538cfcb7dbf504c36736adb30e02ab036,diff-error
4db1a11a6ff7417ed3341bcba34ce82033b71207#8,w7/w7-s10-c1-matplotlib-2d.ipynb,4db1a11a6ff7417ed3341bcba34ce82033b71207,7c521c8538cfcb7dbf504c36736adb30e02ab036,diff-error
