_,1.9.9,0
_,2.8.18,0
_,2.9.19,0
_,2.10.20,0
_,2.11.21,0
_,2.12.22,0
_,4.1.34,0
_,7.1.37,0
_,7.3.39,0
_,7.4.40,0
_,7.5.41,0
_,7.6.42,0
_,7.7.43,0
_,7.8.44,0
_,7.9.45,0
_,7.10.46,0
_,7.11.47,0
_,7.12.48,0
_,7.13.49,0
_,7.14.50,0
_,7.15.51,0
_,8.2.53,0
_,13.1.67,0
_,14.1.68,0
_,14.2.69,0
_,15.1.70,0
_,15.2.71,0
_,15.3.72,0
_,15.4.73,0
_,15.5.74,0
_,15.6.75,0
_,15.7.76,0
_,15.8.77,0
_,15.9.78,0
_,15.10.79,0
_,15.11.80,0
_,15.12.81,0
_,15.13.82,0
_,15.14.83,0
_,16.1.84,0
_,16.2.85,0
_,16.3.86,0
_,21.1.98,0
_,21.2.99,0
_,21.3.100,0
_,21.4.101,0
_,21.5.102,0
_,21.6.103,0
_,21.7.104,0
_,21.8.105,0
_,21.9.106,0
_,21.10.107,0
_,21.11.108,0
_,21.12.109,0
_,21.13.110,0
_,21.14.111,0
_,23.1.115,0
_,23.2.116,0
_,23.3.117,0
_,23.4.118,0
_,25.1.120,0
1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
1.6.6,1.6.6,1
1.7.7,1.7.7,1
1.8.8,1.8.8,0.82029855
1.9.9,1.10.10,1
2.1.10,2.1.11,1
2.2.11,2.2.12,1
2.3.12,2.3.13,1
2.4.13,2.4.14,1
2.5.14,2.5.15,1
2.6.15,2.6.16,1
2.7.16,2.7.17,0.69764256
2.8.17,2.13.23,1
2.9.18,2.14.24,1
2.10.19,2.15.25,1
2.11.20,2.16.26,1
2.12.21,2.17.27,1
2.13.22,2.18.28,1
2.14.23,2.19.29,1
3.1.24,3.1.30,1
3.2.25,3.2.31,1
3.3.26,3.3.32,0.8637979
3.4.27,3.4.33,0.92710924
4.1.28,5.1.35,1
5.1.29,6.1.36,1
6.1.30,8.1.52,1
6.2.31,7.2.38,0.6336948
6.3.32,8.3.54,1
7.1.33,9.1.55,1
8.1.34,10.1.56,1
9.1.35,11.1.57,1
9.2.36,11.2.58,1
9.3.37,11.3.59,1
9.4.38,11.4.60,1
9.5.39,11.5.61,1
10.1.40,12.1.62,1
10.2.41,12.2.63,1
10.3.42,12.3.64,1
10.4.43,12.4.65,1
10.5.44,12.5.66,1
11.1.45,17.1.87,0.89663243
12.1.46,18.1.88,1
12.2.47,18.2.89,1
12.3.48,18.3.90,1
12.4.49,18.4.91,1
12.5.50,18.5.92,1
12.6.51,18.6.93,1
12.7.52,18.7.94,1
12.8.53,18.8.95,1
13.1.54,19.1.96,1
14.1.55,22.1.112,1
14.2.56,22.2.113,1
14.3.57,22.3.114,0.668304
15.1.58,20.1.97,0.76495725
16.1.59,_,0
16.2.60,_,0
16.3.61,_,0
17.1.62,24.1.119,0.65726036
18.1.63,_,0
19.1.64,26.1.121,0.7787641
20.1.65,27.1.122,1
20.2.66,27.2.123,1
20.3.67,27.3.124,1
20.4.68,27.4.125,1
20.5.69,27.5.126,0.97073174
