1.1.1,_,0
2.1.2,1.1.1,1
2.2.3,1.2.2,1
2.3.4,1.3.3,1
3.1.5,2.1.4,1
4.1.6,3.1.5,1
4.2.7,3.2.6,1
4.3.8,3.3.7,1
4.4.9,3.4.8,1
4.5.10,3.5.9,1
5.1.11,4.1.10,1
5.2.12,4.2.11,1
6.1.13,5.1.12,1
6.2.14,5.2.13,1
6.3.15,5.3.14,1
7.1.16,6.1.15,1
8.1.17,7.1.16,1
8.2.18,7.2.17,1
8.3.19,7.3.18,1
8.4.20,7.4.19,1
8.5.21,7.5.20,1
8.6.22,7.6.21,1
8.7.23,7.7.22,1
9.1.24,8.1.23,1
9.2.25,8.2.24,1
9.3.26,8.3.25,1
9.4.27,8.4.26,1
10.1.28,9.1.27,1
10.2.29,9.2.28,1
10.3.30,9.3.29,1
10.4.31,9.4.30,1
10.5.32,9.5.31,1
10.6.33,9.6.32,1
10.7.34,9.7.33,1
11.1.35,10.1.34,1
11.2.36,10.2.35,1
11.3.37,10.3.36,1
12.1.38,11.1.37,1
13.1.39,12.1.38,1
13.2.40,12.2.39,1
13.3.41,12.3.40,1
14.1.42,13.1.41,1
15.1.43,14.1.42,1
15.2.44,14.2.43,1
15.3.45,14.3.44,1
15.4.46,14.4.45,1
15.5.47,14.5.46,1
15.6.48,14.6.47,1
16.1.49,15.1.48,1
17.1.50,16.1.49,1
17.2.51,16.2.50,1
17.3.52,16.3.51,1
17.4.53,16.4.52,1
17.5.54,16.5.53,1
17.6.55,16.6.54,1
18.1.56,17.1.55,1
18.2.57,17.2.56,1
18.3.58,17.3.57,1
18.4.59,17.4.58,1
18.5.60,17.5.59,1
18.6.61,17.6.60,1
19.1.62,18.1.61,1
19.2.63,18.2.62,1
20.1.64,19.1.63,1
20.2.65,19.2.64,1
21.1.66,20.1.65,1
21.2.67,20.2.66,1
21.3.68,20.3.67,1
21.4.69,20.4.68,1
21.5.70,20.5.69,1
21.6.71,20.6.70,1
21.7.72,20.7.71,1
21.8.73,20.8.72,1
21.9.74,20.9.73,1
21.10.75,20.10.74,1
21.11.76,20.11.75,1
21.12.77,20.12.76,1
22.1.78,21.1.77,1
23.1.79,22.1.78,1
23.2.80,22.2.79,1
23.3.81,22.3.80,1
24.1.82,23.1.81,1
25.1.83,24.1.82,1
25.2.84,24.2.83,1
25.3.85,24.3.84,1
25.4.86,24.4.85,1
26.1.87,25.1.86,1
27.1.88,26.1.87,1
28.1.89,27.1.88,1
29.1.90,28.1.89,1
30.1.91,29.1.90,1
31.1.92,30.1.91,1
32.1.93,31.1.92,1
32.2.94,31.2.93,1
32.3.95,31.3.94,1
33.1.96,32.1.95,1
33.2.97,32.2.96,1
33.3.98,32.3.97,1
34.1.99,33.1.98,1
35.1.100,34.1.99,1
35.2.101,34.2.100,1
35.3.102,34.3.101,1
35.4.103,34.4.102,1
35.5.104,34.5.103,1
36.1.105,35.1.104,1
36.2.106,35.2.105,1
36.3.107,35.3.106,1
36.4.108,35.4.107,1
36.5.109,35.5.108,1
36.6.110,35.6.109,1
36.7.111,35.7.110,1
36.8.112,35.8.111,1
36.9.113,35.9.112,1
37.1.114,36.1.113,1
37.2.115,36.2.114,1
37.3.116,36.3.115,1
37.4.117,36.4.116,1
37.5.118,36.5.117,1
37.6.119,36.6.118,1
37.7.120,36.7.119,1
37.8.121,36.8.120,1
37.9.122,36.9.121,1
37.10.123,36.10.122,1
37.11.124,36.11.123,1
37.12.125,36.12.124,1
37.13.126,36.13.125,1
37.14.127,36.14.126,1
37.15.128,36.15.127,1
37.16.129,36.16.128,1
37.17.130,36.17.129,1
37.18.131,36.18.130,1
37.19.132,36.19.131,1
37.20.133,36.20.132,1
37.21.134,36.21.133,1
37.22.135,36.22.134,1
37.23.136,36.23.135,1
38.1.137,37.1.136,1
38.2.138,37.2.137,1
39.1.139,38.1.138,1
40.1.140,39.1.139,1
41.1.141,40.1.140,1
42.1.142,41.1.141,1
42.2.143,41.2.142,1
43.1.144,42.1.143,1
44.1.145,43.1.144,1
45.1.146,44.1.145,1
47.1.147,46.1.146,1
48.1.148,47.1.147,1
48.2.149,47.2.148,1
48.3.150,47.3.149,1
49.1.151,48.1.150,1
50.1.152,49.1.151,1
51.1.153,50.1.152,1
51.2.154,50.2.153,1
51.3.155,50.3.154,1
53.1.156,52.1.155,1
