_,12.2.31,0
_,12.3.32,0
1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
2.2.7,2.2.7,1
3.1.8,3.1.8,1
4.1.9,4.1.9,1
5.1.10,5.1.10,1
6.1.11,6.1.11,1
6.2.12,6.2.12,1
6.3.13,6.3.13,1
6.4.14,6.4.14,1
6.5.15,6.5.15,1
6.6.16,6.6.16,1
6.7.17,6.7.17,1
7.1.18,7.1.18,1
7.2.19,7.2.19,1
8.1.20,8.1.20,1
8.2.21,8.2.21,1
9.1.22,9.1.22,1
9.2.23,9.2.23,1
9.3.24,9.3.24,1
9.4.25,9.4.25,1
9.5.26,9.5.26,1
10.1.27,10.1.27,1
10.2.28,10.2.28,1
11.1.29,11.1.29,1
12.1.30,12.1.30,0.7136688
13.1.31,13.1.33,1
14.1.32,14.1.34,1
14.2.33,14.2.35,1
14.3.34,14.3.36,0.8074826
14.4.35,14.4.37,0.8343715
15.1.36,15.1.38,1
15.2.37,15.2.39,1
15.3.38,15.3.40,1
15.4.39,15.4.41,1
15.5.40,15.5.42,1
15.6.41,15.6.43,1
15.7.42,15.7.44,1
16.1.43,16.1.45,1
16.2.44,16.2.46,1
16.3.45,16.3.47,1
16.4.46,16.4.48,1
16.5.47,16.5.49,1
17.1.48,17.1.50,1
