1.1.1,_,0
2.1.2,1.1.1,1
3.1.3,2.1.2,1
4.1.4,3.1.3,1
4.2.5,3.2.4,1
4.3.6,3.3.5,1
5.1.7,4.1.6,1
6.1.8,5.1.7,1
7.1.9,6.1.8,1
7.2.10,6.2.9,1
7.3.11,6.3.10,1
7.4.12,6.4.11,1
7.5.13,6.5.12,1
8.1.14,7.1.13,1
9.1.15,8.1.14,1
10.1.16,9.1.15,1
11.1.17,10.1.16,1
12.1.18,11.1.17,1
12.2.19,11.2.18,1
12.3.20,11.3.19,1
12.4.21,11.4.20,1
12.5.22,11.5.21,1
12.6.23,11.6.22,1
12.7.24,11.7.23,1
12.8.25,11.8.24,1
13.1.26,12.1.25,1
13.2.27,12.2.26,1
13.3.28,12.3.27,1
14.1.29,13.1.28,1
14.2.30,13.2.29,1
14.3.31,13.3.30,1
15.1.32,14.1.31,1
15.2.33,14.2.32,1
15.3.34,14.3.33,1
15.4.35,14.4.34,1
15.5.36,14.5.35,1
16.1.37,15.1.36,1
17.1.38,16.1.37,1
18.1.39,17.1.38,1
18.2.40,17.2.39,1
19.1.41,18.1.40,1
20.1.42,19.1.41,1
20.2.43,19.2.42,1
20.3.44,19.3.43,1
21.1.45,20.1.44,1
21.2.46,20.2.45,1
21.3.47,20.3.46,1
21.4.48,20.4.47,1
21.5.49,20.5.48,1
21.6.50,20.6.49,1
21.7.51,20.7.50,1
21.8.52,20.8.51,1
21.9.53,20.9.52,1
21.10.54,20.10.53,1
21.11.55,20.11.54,1
21.12.56,20.12.55,1
21.13.57,20.13.56,1
21.14.58,20.14.57,1
21.15.59,20.15.58,1
22.1.60,21.1.59,1
22.2.61,21.2.60,1
22.3.62,21.3.61,1
22.4.63,21.4.62,1
22.5.64,21.5.63,1
22.6.65,21.6.64,1
22.7.66,21.7.65,1
22.8.67,21.8.66,1
22.9.68,21.9.67,1
22.10.69,21.10.68,1
22.11.70,21.11.69,1
23.1.71,22.1.70,1
24.1.72,23.1.71,1
24.2.73,23.2.72,1
25.1.74,24.1.73,1
26.1.75,25.1.74,1
27.1.76,26.1.75,1
28.1.77,27.1.76,1
29.1.78,28.1.77,1
30.1.79,29.1.78,1
30.2.80,29.2.79,1
31.1.81,30.1.80,1
32.1.82,31.1.81,1
32.2.83,31.2.82,1
32.3.84,31.3.83,1
32.4.85,31.4.84,1
32.5.86,31.5.85,1
32.6.87,31.6.86,1
32.7.88,31.7.87,1
33.1.89,32.1.88,1
34.1.90,33.1.89,1
34.2.91,33.2.90,1
34.3.92,33.3.91,1
34.4.93,33.4.92,1
34.5.94,33.5.93,1
34.6.95,33.6.94,1
34.7.96,33.7.95,1
34.8.97,33.8.96,1
35.1.98,34.1.97,1
36.1.99,35.1.98,1
36.2.100,35.2.99,1
37.1.101,36.1.100,1
38.1.102,37.1.101,1
39.1.103,38.1.102,1
40.1.104,39.1.103,1
40.2.105,39.2.104,1
40.3.106,39.3.105,1
40.4.107,39.4.106,1
40.5.108,39.5.107,1
40.6.109,39.6.108,1
40.7.110,39.7.109,1
40.8.111,39.8.110,1
41.1.112,40.1.111,1
41.2.113,40.2.112,1
41.3.114,40.3.113,1
41.4.115,40.4.114,1
41.5.116,40.5.115,1
41.6.117,40.6.116,1
41.7.118,40.7.117,1
41.8.119,40.8.118,1
42.1.120,41.1.119,1
43.1.121,42.1.120,1
