_,23.1.38,0
_,24.1.39,0
_,25.1.40,0
_,26.1.41,0
_,27.1.42,0
_,28.1.43,0
_,29.1.44,0
_,30.1.45,0
_,31.1.46,0
_,32.1.47,0
_,32.2.48,0
_,32.3.49,0
_,32.4.50,0
_,32.5.51,0
_,32.6.52,0
_,32.7.53,0
_,32.8.54,0
_,32.9.55,0
_,32.10.56,0
_,38.1.67,0
_,46.1.84,0
_,47.1.85,0
_,48.1.86,0
_,49.1.87,0
_,50.1.88,0
_,51.1.89,0
_,52.1.90,0
_,52.2.91,0
_,52.3.92,0
_,52.4.93,0
_,52.5.94,0
_,52.6.95,0
_,52.7.96,0
_,53.1.97,0
_,54.1.98,0
_,55.1.99,0
1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,0.82000005
4.1.8,4.1.8,1
4.2.9,4.2.9,1
4.3.10,4.3.10,1
5.1.11,5.1.11,1
6.1.12,6.1.12,1
7.1.13,7.1.13,0.95261717
7.2.14,7.2.14,1
7.3.15,7.3.15,1
8.1.16,8.1.16,1
9.1.17,9.1.17,0.89538336
10.1.18,_,0
11.1.19,10.1.18,1
11.2.20,10.2.19,1
11.3.21,10.3.20,1
11.4.22,10.4.21,1
11.5.23,10.5.22,1
12.1.24,11.1.23,1
12.2.25,11.2.24,1
12.3.26,11.3.25,1
12.4.27,11.4.26,1
13.1.28,12.1.27,1
14.1.29,13.1.28,1
15.1.30,14.1.29,1
16.1.31,15.1.30,1
17.1.32,16.1.31,1
18.1.33,17.1.32,1
19.1.34,18.1.33,1
20.1.35,19.1.34,1
21.1.36,20.1.35,1
22.1.37,21.1.36,1
23.1.38,22.1.37,1
24.1.39,33.1.57,1
25.1.40,34.1.58,1
26.1.41,35.1.59,1
26.2.42,35.2.60,1
26.3.43,_,0
27.1.44,36.1.62,1
27.2.45,36.2.63,1
27.3.46,36.3.64,1
28.1.47,35.3.61,0.63390136
29.1.48,37.1.65,1
29.2.49,37.2.66,1
30.1.50,_,0
30.2.51,_,0
31.1.52,39.1.68,1
32.1.53,40.1.69,0.9755235
33.1.54,41.1.70,1
33.2.55,41.2.71,1
33.3.56,41.3.72,1
33.4.57,41.4.73,1
33.5.58,41.5.74,1
34.1.59,42.1.75,1
34.2.60,42.2.76,0.81847394
34.3.61,_,0
34.4.62,_,0
34.5.63,42.3.77,1
34.6.64,42.4.78,1
34.7.65,42.5.79,1
35.1.66,43.1.80,1
36.1.67,44.1.81,1
36.2.68,44.2.82,0.6328223
37.1.69,45.1.83,1
38.1.70,_,0
39.1.71,_,0
39.2.72,44.2.82,0.595598
40.1.73,56.1.100,1
41.1.74,57.1.101,1
