1.1.1,_,0
2.1.2,1.1.1,1
3.1.3,2.1.2,1
4.1.4,3.1.3,1
4.2.5,3.2.4,1
4.3.6,3.3.5,1
5.1.7,4.1.6,1
5.2.8,4.2.7,1
6.1.9,5.1.8,1
7.1.10,6.1.9,1
7.2.11,6.2.10,1
7.3.12,6.3.11,1
7.4.13,6.4.12,1
7.5.14,6.5.13,1
8.1.15,7.1.14,1
9.1.16,8.1.15,1
9.2.17,8.2.16,1
9.3.18,8.3.17,1
10.1.19,9.1.18,1
10.2.20,9.2.19,1
10.3.21,9.3.20,1
11.1.22,10.1.21,1
12.1.23,11.1.22,1
13.1.24,12.1.23,1
13.2.25,12.2.24,1
13.3.26,12.3.25,1
13.4.27,12.4.26,1
13.5.28,12.5.27,1
13.6.29,12.6.28,1
13.7.30,12.7.29,1
13.8.31,12.8.30,1
13.9.32,12.9.31,1
14.1.33,13.1.32,1
14.2.34,13.2.33,1
14.3.35,13.3.34,1
15.1.36,14.1.35,1
16.1.37,15.1.36,1
17.1.38,16.1.37,1
18.1.39,17.1.38,1
18.2.40,17.2.39,1
18.3.41,17.3.40,1
19.1.42,18.1.41,1
20.1.43,19.1.42,1
20.2.44,19.2.43,1
20.3.45,19.3.44,1
20.4.46,19.4.45,1
20.5.47,19.5.46,1
20.6.48,19.6.47,1
20.7.49,19.7.48,1
20.8.50,19.8.49,1
21.1.51,20.1.50,1
22.1.52,21.1.51,1
23.1.53,22.1.52,1
24.1.54,23.1.53,1
25.1.55,24.1.54,1
26.1.56,25.1.55,1
26.2.57,25.2.56,1
26.3.58,25.3.57,1
27.1.59,26.1.58,1
27.2.60,26.2.59,1
27.3.61,26.3.60,1
27.4.62,26.4.61,1
27.5.63,26.5.62,1
27.6.64,26.6.63,1
27.7.65,26.7.64,1
27.8.66,26.8.65,1
27.9.67,26.9.66,1
27.10.68,26.10.67,1
27.11.69,26.11.68,1
27.12.70,26.12.69,1
27.13.71,26.13.70,1
27.14.72,26.14.71,1
27.15.73,26.15.72,1
27.16.74,26.16.73,1
27.17.75,26.17.74,1
27.18.76,26.18.75,1
27.19.77,26.19.76,1
27.20.78,26.20.77,1
27.21.79,26.21.78,1
27.22.80,26.22.79,1
27.23.81,26.23.80,1
27.24.82,26.24.81,1
28.1.83,27.1.82,1
29.1.84,28.1.83,1
29.2.85,28.2.84,1
29.3.86,28.3.85,1
29.4.87,28.4.86,1
29.5.88,28.5.87,1
29.6.89,28.6.88,1
29.7.90,28.7.89,1
29.8.91,28.8.90,1
29.9.92,28.9.91,1
29.10.93,28.10.92,1
29.11.94,28.11.93,1
29.12.95,28.12.94,1
29.13.96,28.13.95,1
29.14.97,28.14.96,1
29.15.98,28.15.97,1
29.16.99,28.16.98,1
29.17.100,28.17.99,1
29.18.101,28.18.100,1
29.19.102,28.19.101,1
29.20.103,28.20.102,1
29.21.104,28.21.103,1
29.22.105,28.22.104,1
30.1.106,29.1.105,1
31.1.107,30.1.106,1
31.2.108,30.2.107,1
31.3.109,30.3.108,1
31.4.110,30.4.109,1
31.5.111,30.5.110,1
31.6.112,30.6.111,1
32.1.113,31.1.112,1
33.1.114,32.1.113,1
34.1.115,33.1.114,1
35.1.116,34.1.115,1
36.1.117,35.1.116,1
36.2.118,35.2.117,1
36.3.119,35.3.118,1
37.1.120,36.1.119,1
37.2.121,36.2.120,1
38.1.122,37.1.121,1
39.1.123,38.1.122,1
40.1.124,39.1.123,1
40.2.125,39.2.124,1
40.3.126,39.3.125,1
40.4.127,39.4.126,1
40.5.128,39.5.127,1
41.1.129,40.1.128,1
42.1.130,41.1.129,1
42.2.131,41.2.130,1
42.3.132,41.3.131,1
42.4.133,41.4.132,1
