_,33.4.82,0
1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,0.97861826
5.1.9,5.1.9,1
6.1.10,6.1.10,0.987973
7.1.11,7.1.11,1
7.2.12,7.2.12,1
7.3.13,7.3.13,1
7.4.14,7.4.14,1
8.1.15,8.1.15,1
9.1.16,9.1.16,0.9482881
9.2.17,9.2.17,0.96958655
9.3.18,9.3.18,0.9684807
9.4.19,9.4.19,0.9619701
10.1.20,10.1.20,0.9553292
11.1.21,11.1.21,1
11.2.22,11.2.22,1
11.3.23,11.3.23,1
11.4.24,11.4.24,1
12.1.25,12.1.25,1
12.2.26,12.2.26,1
12.3.27,12.3.27,1
12.4.28,12.4.28,0.8151949
12.5.29,12.5.29,1
13.1.30,13.1.30,0.9717391
13.2.31,13.2.31,0.9508691
13.3.32,13.3.32,1
13.4.33,13.4.33,1
13.5.34,13.5.34,0.99235547
14.1.35,14.1.35,1
15.1.36,15.1.36,1
16.1.37,16.1.37,1
17.1.38,17.1.38,1
18.1.39,18.1.39,1
18.2.40,18.2.40,1
19.1.41,19.1.41,1
20.1.42,20.1.42,0.9701049
20.2.43,20.2.43,1
20.3.44,20.3.44,1
20.4.45,20.4.45,1
20.5.46,20.5.46,0.9620095
20.6.47,20.6.47,1
20.7.48,20.7.48,1
20.8.49,20.8.49,0.9655173
20.9.50,20.9.50,1
20.10.51,20.10.51,1
21.1.52,21.1.52,1
22.1.53,22.1.53,1
23.1.54,23.1.54,0.97970057
24.1.55,24.1.55,1
25.1.56,25.1.56,0.9724064
26.1.57,26.1.57,0.9623798
26.2.58,26.2.58,0.9589007
27.1.59,27.1.59,0.8303623
27.2.60,27.2.60,1
27.3.61,27.3.61,0.7943258
27.4.62,27.4.62,1
28.1.63,28.1.63,1
28.2.64,28.2.64,1
28.3.65,28.3.65,1
29.1.66,29.1.66,1
30.1.67,30.1.67,0.988889
31.1.68,31.1.68,1
31.2.69,31.2.69,1
31.3.70,31.3.70,1
31.4.71,31.4.71,1
31.5.72,31.5.72,1
31.6.73,31.6.73,1
31.7.74,31.7.74,1
32.1.75,32.1.75,0.918239
32.2.76,32.2.76,1
32.3.77,32.3.77,1
32.4.78,32.4.78,1
33.1.79,33.1.79,0.9234157
33.2.80,33.2.80,1
33.3.81,33.3.81,0.92211795
33.4.82,_,0
33.5.83,33.5.83,0.95541304
33.6.84,33.6.84,0.9592036
34.1.85,34.1.85,1
35.1.86,35.1.86,1
35.2.87,35.2.87,1
35.3.88,35.3.88,0.99027413
36.1.89,36.1.89,1
37.1.90,37.1.90,1
38.1.91,38.1.91,0.99385095
39.1.92,39.1.92,1
39.2.93,39.2.93,1
39.3.94,39.3.94,1
39.4.95,39.4.95,1
40.1.96,40.1.96,0.96961623
40.2.97,40.2.97,0.9770409
40.3.98,40.3.98,1
41.1.99,41.1.99,0.9784962
41.2.100,41.2.100,0.96782464
41.3.101,41.3.101,0.9856616
42.1.102,42.1.102,1
42.2.103,42.2.103,1
42.3.104,42.3.104,1
42.4.105,42.4.105,1
42.5.106,42.5.106,1
42.6.107,42.6.107,1
42.7.108,42.7.108,1
43.1.109,43.1.109,0.9789008
43.2.110,43.2.110,1
43.3.111,43.3.111,0.9467033
43.4.112,43.4.112,1
43.5.113,43.5.113,1
43.6.114,43.6.114,1
43.7.115,43.7.115,1
43.8.116,43.8.116,1
43.9.117,43.9.117,1
44.1.118,44.1.118,0.9815321
45.1.119,45.1.119,0.97810876
45.2.120,45.2.120,1
45.3.121,45.3.121,1
46.1.122,46.1.122,1
46.2.123,46.2.123,1
46.3.124,46.3.124,1
46.4.125,46.4.125,1
46.5.126,46.5.126,1
47.1.127,47.1.127,0.9588652
48.1.128,48.1.128,1
49.1.129,49.1.129,0.96389484
49.2.130,49.2.130,1
49.3.131,49.3.131,1
