1.1.1,_,0
2.1.2,1.1.1,1
3.1.3,2.1.2,1
4.1.4,3.1.3,1
5.1.5,4.1.4,1
5.2.6,4.2.5,1
6.1.7,5.1.6,1
7.1.8,6.1.7,1
8.1.9,7.1.8,1
8.2.10,7.2.9,1
8.3.11,7.3.10,1
8.4.12,7.4.11,1
8.5.13,7.5.12,1
8.6.14,7.6.13,1
9.1.15,8.1.14,1
10.1.16,9.1.15,1
11.1.17,10.1.16,1
11.2.18,10.2.17,1
12.1.19,11.1.18,1
13.1.20,12.1.19,1
14.1.21,13.1.20,1
14.2.22,13.2.21,1
14.3.23,13.3.22,1
14.4.24,13.4.23,1
14.5.25,13.5.24,1
15.1.26,14.1.25,1
15.2.27,14.2.26,1
15.3.28,14.3.27,1
15.4.29,14.4.28,1
16.1.30,15.1.29,1
17.1.31,16.1.30,1
18.1.32,17.1.31,1
19.1.33,18.1.32,1
20.1.34,19.1.33,1
20.2.35,19.2.34,1
20.3.36,19.3.35,1
20.4.37,19.4.36,1
20.5.38,19.5.37,1
20.6.39,19.6.38,1
20.7.40,19.7.39,1
20.8.41,19.8.40,1
20.9.42,19.9.41,1
20.10.43,19.10.42,1
21.1.44,20.1.43,1
22.1.45,21.1.44,1
22.2.46,21.2.45,1
22.3.47,21.3.46,1
22.4.48,21.4.47,1
22.5.49,21.5.48,1
22.6.50,21.6.49,1
22.7.51,21.7.50,1
