_,8.3.10,0
_,12.1.17,0
_,23.3.31,0
1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,1
7.1.7,7.1.7,1
8.1.8,8.1.8,1
8.2.9,_,0
8.3.10,8.2.9,1
8.4.11,_,0
8.5.12,8.4.11,0.7002008
8.6.13,8.5.12,0.7181204
8.7.14,8.6.13,1
9.1.15,9.1.14,0.91534543
10.1.16,10.1.15,1
11.1.17,11.1.16,1
12.1.18,_,0
13.1.19,13.1.18,1
14.1.20,14.1.19,1
15.1.21,15.1.20,0.89103717
16.1.22,16.1.21,1
17.1.23,17.1.22,1
18.1.24,18.1.23,1
19.1.25,19.1.24,1
20.1.26,20.1.25,1
20.2.27,20.2.26,1
21.1.28,21.1.27,1
22.1.29,22.1.28,1
23.1.30,23.1.29,1
23.2.31,23.2.30,1
23.3.32,_,0
24.1.33,24.1.32,1
24.2.34,24.2.33,0.88348675
24.3.35,24.3.34,1
24.4.36,24.4.35,0.90234435
24.4.36,24.6.37,0.7898324
24.5.37,24.5.36,1
24.6.38,24.6.37,0.9524741
25.1.39,25.1.38,1
26.1.40,26.1.39,1
27.1.41,27.1.40,1
28.1.42,28.1.41,1
29.1.43,29.1.42,1
30.1.44,30.1.43,1
31.1.45,31.1.44,1
32.1.46,32.1.45,1
32.2.47,32.2.46,1
33.1.48,33.1.47,1
34.1.49,34.1.48,1
35.1.50,35.1.49,1
35.2.51,35.2.50,1
35.3.52,_,0
35.4.53,35.3.51,0.8996458
35.5.54,35.4.52,1
35.6.55,35.5.53,1
35.7.56,35.6.54,1
35.8.57,35.7.55,0.683412
35.9.58,35.8.56,0.9218086
35.10.59,35.9.57,0.8923644
35.11.60,_,0
35.12.61,35.10.58,1
35.13.62,35.11.59,1
35.14.63,35.12.60,1
35.15.64,35.13.61,1
36.1.65,_,0
36.2.66,36.1.62,1
36.3.67,_,0
36.4.68,36.2.63,1
36.5.69,36.3.64,1
36.6.70,36.4.65,0.86038136
36.7.71,36.5.66,1
36.8.72,36.6.67,1
37.1.73,37.1.68,1
38.1.74,38.1.69,1
38.2.75,38.2.70,1
38.3.76,38.3.71,1
39.1.77,39.1.72,1
40.1.78,40.1.73,1
41.1.79,41.1.74,1
42.1.80,42.1.75,1
43.1.81,43.1.76,1
44.1.82,44.1.77,1
45.1.83,45.1.78,1
46.1.84,46.1.79,1
47.1.85,47.1.80,1
