1.1.1,_,0
2.1.2,1.1.1,1
3.1.3,2.1.2,1
4.1.4,3.1.3,1
5.1.5,4.1.4,1
6.1.6,5.1.5,1
6.2.7,5.2.6,1
6.3.8,5.3.7,1
6.4.9,5.4.8,1
6.5.10,5.5.9,1
6.6.11,5.6.10,1
6.7.12,5.7.11,1
6.8.13,5.8.12,1
7.1.14,6.1.13,1
7.2.15,6.2.14,1
8.1.16,7.1.15,1
9.1.17,8.1.16,1
9.2.18,8.2.17,1
9.3.19,8.3.18,1
9.4.20,8.4.19,1
9.5.21,8.5.20,1
9.6.22,8.6.21,1
10.1.23,9.1.22,1
11.1.24,10.1.23,1
12.1.25,11.1.24,1
13.1.26,12.1.25,1
13.2.27,12.2.26,1
13.3.28,12.3.27,1
13.4.29,12.4.28,1
13.5.30,12.5.29,1
13.6.31,12.6.30,1
13.7.32,12.7.31,1
13.8.33,12.8.32,1
14.1.34,13.1.33,1
15.1.35,14.1.34,1
15.2.36,14.2.35,1
16.1.37,15.1.36,1
17.1.38,16.1.37,1
17.2.39,16.2.38,1
17.3.40,16.3.39,1
18.1.41,17.1.40,1
19.1.42,18.1.41,1
19.2.43,18.2.42,1
19.3.44,18.3.43,1
20.1.45,19.1.44,1
21.1.46,20.1.45,1
22.1.47,21.1.46,1
22.2.48,21.2.47,1
22.3.49,21.3.48,1
22.4.50,21.4.49,1
22.5.51,21.5.50,1
22.6.52,21.6.51,1
22.7.53,21.7.52,1
22.8.54,21.8.53,1
23.1.55,22.1.54,1
24.1.56,23.1.55,1
25.1.57,24.1.56,1
25.2.58,24.2.57,1
25.3.59,24.3.58,1
25.4.60,24.4.59,1
25.5.61,24.5.60,1
25.6.62,24.6.61,1
25.7.63,24.7.62,1
25.8.64,24.8.63,1
26.1.65,25.1.64,1
27.1.66,26.1.65,1
28.1.67,27.1.66,1
28.2.68,27.2.67,1
28.3.69,27.3.68,1
29.1.70,28.1.69,1
30.1.71,29.1.70,1
30.2.72,29.2.71,1
30.3.73,29.3.72,1
30.4.74,29.4.73,1
30.5.75,29.5.74,1
30.6.76,29.6.75,1
30.7.77,29.7.76,1
31.1.78,30.1.77,1
32.1.79,31.1.78,1
