1.1.1,_,0
2.1.2,1.1.1,1
3.1.3,2.1.2,1
4.1.4,3.1.3,1
5.1.5,4.1.4,1
6.1.6,5.1.5,1
7.1.7,6.1.6,1
7.2.8,6.2.7,1
8.1.9,7.1.8,1
9.1.10,8.1.9,1
9.2.11,8.2.10,1
9.3.12,8.3.11,1
9.4.13,8.4.12,1
9.5.14,8.5.13,1
9.6.15,8.6.14,1
9.7.16,8.7.15,1
9.8.17,8.8.16,1
9.9.18,8.9.17,1
9.10.19,8.10.18,1
9.11.20,8.11.19,1
10.1.21,9.1.20,1
11.1.22,10.1.21,1
11.2.23,10.2.22,1
11.3.24,10.3.23,1
11.4.25,10.4.24,1
11.5.26,10.5.25,1
11.6.27,10.6.26,1
11.7.28,10.7.27,1
11.8.29,10.8.28,1
11.9.30,10.9.29,1
12.1.31,11.1.30,1
13.1.32,12.1.31,1
14.1.33,13.1.32,1
15.1.34,14.1.33,1
16.1.35,15.1.34,1
17.1.36,16.1.35,1
18.1.37,17.1.36,1
19.1.38,18.1.37,1
19.2.39,18.2.38,1
20.1.40,19.1.39,1
21.1.41,20.1.40,1
22.1.42,21.1.41,1
22.2.43,21.2.42,1
23.1.44,22.1.43,1
24.1.45,23.1.44,1
24.2.46,23.2.45,1
25.1.47,24.1.46,1
26.1.48,25.1.47,1
26.2.49,25.2.48,1
26.3.50,25.3.49,1
26.4.51,25.4.50,1
26.5.52,25.5.51,1
26.6.53,25.6.52,1
26.7.54,25.7.53,1
26.8.55,25.8.54,1
26.9.56,25.9.55,1
26.10.57,25.10.56,1
26.11.58,25.11.57,1
26.12.59,25.12.58,1
27.1.60,26.1.59,1
28.1.61,27.1.60,1
29.1.62,28.1.61,1
30.1.63,29.1.62,1
30.2.64,29.2.63,1
30.3.65,29.3.64,1
30.4.66,29.4.65,1
30.5.67,29.5.66,1
31.1.68,30.1.67,1
31.2.69,30.2.68,1
31.3.70,30.3.69,1
31.4.71,30.4.70,1
31.5.72,30.5.71,1
32.1.73,31.1.72,1
33.1.74,32.1.73,1
34.1.75,33.1.74,1
34.2.76,33.2.75,1
