_,1.1.1,0
1.1.1,_,0
1.2.2,_,0
1.3.3,_,0
1.4.4,_,0
1.5.5,_,0
2.1.6,2.1.2,1
3.1.7,3.1.3,1
4.1.8,4.1.4,1
5.1.9,5.1.5,1
6.1.10,6.1.6,1
6.2.11,6.2.7,1
6.3.12,6.3.8,1
6.4.13,6.4.9,1
6.5.14,6.5.10,1
6.6.15,6.6.11,1
6.7.16,6.7.12,1
6.8.17,6.8.13,1
6.9.18,6.9.14,1
6.10.19,6.10.15,1
6.11.20,6.11.16,1
6.12.21,6.12.17,1
7.1.22,7.1.18,1
7.2.23,7.2.19,1
7.3.24,7.3.20,1
7.4.25,7.4.21,1
7.5.26,7.5.22,1
7.6.27,7.6.23,1
8.1.28,8.1.24,1
8.2.29,8.2.25,1
8.3.30,8.3.26,1
8.4.31,8.4.27,1
8.5.32,8.5.28,1
9.1.33,9.1.29,1
10.1.34,10.1.30,1
11.1.35,11.1.31,1
11.2.36,11.2.32,1
11.3.37,11.3.33,1
12.1.38,12.1.34,1
12.2.39,12.2.35,1
12.3.40,12.3.36,1
12.4.41,12.4.37,1
12.5.42,12.5.38,1
12.6.43,12.6.39,1
13.1.44,13.1.40,1
13.2.45,13.2.41,1
13.3.46,13.3.42,1
14.1.47,14.1.43,1
14.2.48,14.2.44,1
14.3.49,14.3.45,1
14.4.50,14.4.46,1
14.5.51,14.5.47,1
14.6.52,14.6.48,0.8169492
14.7.53,14.7.49,1
14.8.54,14.8.50,1
14.9.55,14.9.51,1
14.10.56,14.10.52,1
14.11.57,14.11.53,1
14.12.58,14.12.54,1
14.13.59,14.13.55,1
14.14.60,14.14.56,1
14.15.61,14.15.57,1
14.16.62,14.16.58,1
14.17.63,14.17.59,1
14.18.64,14.18.60,1
14.19.65,14.19.61,1
14.20.66,14.20.62,1
14.21.67,14.21.63,1
15.1.68,15.1.64,1
15.2.69,15.2.65,0.8
15.3.70,15.3.66,1
