1.1.1,_,0
2.1.2,1.1.1,1
3.1.3,2.1.2,1
4.1.4,3.1.3,1
5.1.5,4.1.4,1
6.1.6,5.1.5,1
7.1.7,6.1.6,1
8.1.8,7.1.7,1
8.2.9,7.2.8,1
9.1.10,8.1.9,1
9.2.11,8.2.10,1
9.3.12,8.3.11,1
9.4.13,8.4.12,1
9.5.14,8.5.13,1
9.6.15,8.6.14,1
9.7.16,8.7.15,1
10.1.17,9.1.16,1
11.1.18,10.1.17,1
12.1.19,11.1.18,1
12.2.20,11.2.19,1
12.3.21,11.3.20,1
12.4.22,11.4.21,1
13.1.23,12.1.22,1
14.1.24,13.1.23,1
15.1.25,14.1.24,1
15.2.26,14.2.25,1
15.3.27,14.3.26,1
15.4.28,14.4.27,1
15.5.29,14.5.28,1
15.6.30,14.6.29,1
15.7.31,14.7.30,1
15.8.32,14.8.31,1
15.9.33,14.9.32,1
15.10.34,14.10.33,1
15.11.35,14.11.34,1
15.12.36,14.12.35,1
15.13.37,14.13.36,1
16.1.38,15.1.37,1
16.2.39,15.2.38,1
16.3.40,15.3.39,1
16.4.41,15.4.40,1
16.5.42,15.5.41,1
16.6.43,15.6.42,1
16.7.44,15.7.43,1
16.8.45,15.8.44,1
16.9.46,15.9.45,1
