_,3.581.598,0
_,3.582.599,0
_,3.583.600,0
_,3.584.601,0
_,3.585.602,0
_,3.586.603,0
_,3.587.604,0
_,3.588.605,0
_,3.590.607,0
_,3.592.609,0
_,3.593.610,0
_,3.594.611,0
_,3.595.612,0
_,3.596.613,0
_,3.597.614,0
_,3.598.615,0
_,3.599.616,0
_,3.600.617,0
_,3.601.618,0
_,3.602.619,0
_,3.603.620,0
_,3.604.621,0
_,3.607.624,0
_,3.608.625,0
_,3.609.626,0
_,3.610.627,0
_,7.1.631,0
_,9.1.633,0
_,13.1.637,0
1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
2.1.4,2.1.4,1
2.2.5,2.2.5,1
2.3.6,2.3.6,1
2.4.7,2.4.7,1
2.5.8,2.5.8,1
2.6.9,2.6.9,1
2.7.10,2.7.10,1
2.8.11,2.8.11,1
2.9.12,2.9.12,1
2.10.13,2.10.13,1
2.11.14,2.11.14,1
2.12.15,2.12.15,1
2.13.16,2.13.16,1
2.14.17,2.14.17,1
3.1.18,3.1.18,1
3.2.19,3.2.19,1
3.3.20,3.3.20,1
3.4.21,3.4.21,1
3.5.22,3.5.22,1
3.6.23,3.6.23,1
3.7.24,3.7.24,1
3.8.25,3.8.25,1
3.9.26,3.9.26,1
3.10.27,3.10.27,1
3.11.28,3.11.28,1
3.12.29,3.12.29,1
3.13.30,3.13.30,1
3.14.31,3.14.31,1
3.15.32,3.15.32,1
3.16.33,3.16.33,1
3.17.34,3.17.34,1
3.18.35,3.18.35,1
3.19.36,3.19.36,1
3.20.37,3.20.37,1
3.21.38,3.21.38,1
3.22.39,3.22.39,1
3.23.40,3.23.40,1
3.24.41,3.24.41,1
3.25.42,3.25.42,1
3.26.43,3.26.43,1
3.27.44,3.27.44,1
3.28.45,3.28.45,1
3.29.46,3.29.46,1
3.30.47,3.30.47,1
3.31.48,3.31.48,1
3.32.49,3.32.49,1
3.33.50,3.33.50,1
3.34.51,3.34.51,1
3.35.52,3.35.52,1
3.36.53,3.36.53,1
3.37.54,3.37.54,1
3.38.55,3.38.55,1
3.39.56,3.39.56,1
3.40.57,3.40.57,1
3.41.58,3.41.58,1
3.42.59,3.42.59,1
3.43.60,3.43.60,1
3.44.61,3.44.61,1
3.45.62,3.45.62,1
3.46.63,3.46.63,1
3.47.64,3.47.64,1
3.48.65,3.48.65,1
3.49.66,3.49.66,1
3.50.67,3.50.67,1
3.51.68,3.51.68,1
3.52.69,3.52.69,1
3.53.70,3.53.70,1
3.54.71,3.54.71,1
3.55.72,3.55.72,1
3.56.73,3.56.73,1
3.57.74,3.57.74,1
3.58.75,3.58.75,1
3.59.76,3.59.76,1
3.60.77,3.60.77,1
3.61.78,3.61.78,1
3.62.79,3.62.79,1
3.63.80,3.63.80,1
3.64.81,3.64.81,1
3.65.82,3.65.82,1
3.66.83,3.66.83,1
3.67.84,3.67.84,1
3.68.85,3.68.85,1
3.69.86,3.69.86,1
3.70.87,3.70.87,1
3.71.88,3.71.88,1
3.72.89,3.72.89,1
3.73.90,3.73.90,1
3.74.91,3.74.91,1
3.75.92,3.75.92,1
3.76.93,3.76.93,1
3.77.94,3.77.94,1
3.78.95,3.78.95,1
3.79.96,3.79.96,1
3.80.97,3.80.97,1
3.81.98,3.81.98,1
3.82.99,3.82.99,1
3.83.100,3.83.100,1
3.84.101,3.84.101,1
3.85.102,3.85.102,1
3.86.103,3.86.103,1
3.87.104,3.87.104,1
3.88.105,3.88.105,1
3.89.106,3.89.106,1
3.90.107,3.90.107,1
3.91.108,3.91.108,1
3.92.109,3.92.109,1
3.93.110,3.93.110,1
3.94.111,3.94.111,1
3.95.112,3.95.112,1
3.96.113,3.96.113,1
3.97.114,3.97.114,1
3.98.115,3.98.115,1
3.99.116,3.99.116,1
3.100.117,3.100.117,0.8810924
3.101.118,3.101.118,1
3.102.119,3.102.119,0.9159092
3.103.120,3.103.120,1
3.104.121,3.104.121,1
3.105.122,3.105.122,1
3.106.123,3.106.123,1
3.107.124,3.107.124,1
3.108.125,3.108.125,1
3.109.126,3.109.126,1
3.110.127,3.110.127,1
3.111.128,3.111.128,1
3.112.129,3.112.129,1
3.113.130,3.113.130,1
3.114.131,3.114.131,1
3.115.132,3.115.132,1
3.116.133,3.116.133,1
3.117.134,3.117.134,1
3.118.135,3.118.135,1
3.119.136,3.119.136,1
3.120.137,3.120.137,1
3.121.138,3.121.138,1
3.122.139,3.122.139,1
3.123.140,3.123.140,1
3.124.141,3.124.141,1
3.125.142,3.125.142,1
3.126.143,3.126.143,1
3.127.144,3.127.144,1
3.128.145,3.128.145,1
3.129.146,3.129.146,1
3.130.147,3.130.147,1
3.131.148,3.131.148,1
3.132.149,3.132.149,1
3.133.150,3.133.150,1
3.134.151,3.134.151,1
3.135.152,3.135.152,1
3.136.153,3.136.153,1
3.137.154,3.137.154,1
3.138.155,3.138.155,1
3.139.156,3.139.156,1
3.140.157,3.140.157,1
3.141.158,3.141.158,1
3.142.159,3.142.159,1
3.143.160,3.143.160,1
3.144.161,3.144.161,1
3.145.162,3.145.162,1
3.146.163,3.146.163,1
3.147.164,3.147.164,1
3.148.165,3.148.165,1
3.149.166,3.149.166,1
3.150.167,3.150.167,1
3.151.168,3.151.168,1
3.152.169,3.152.169,1
3.153.170,3.153.170,1
3.154.171,3.154.171,1
3.155.172,3.155.172,1
3.156.173,3.156.173,1
3.157.174,3.157.174,1
3.158.175,3.158.175,1
3.159.176,3.159.176,1
3.160.177,3.160.177,1
3.161.178,3.161.178,1
