1.1.1,1.1.1,0.9261364
1.2.2,1.2.2,1
1.3.3,1.3.3,0.9469978
2.1.4,2.1.4,1
2.2.5,2.2.5,1
2.3.6,2.3.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
4.2.9,4.2.9,1
4.3.10,4.3.10,1
4.4.11,4.4.11,1
4.5.12,4.5.12,1
4.6.13,4.6.13,1
4.7.14,4.7.14,1
4.8.15,4.8.15,1
4.9.16,4.9.16,1
4.10.17,4.10.17,1
4.11.18,4.11.18,1
4.12.19,4.12.19,1
4.13.20,4.13.20,1
4.14.21,4.14.21,1
4.15.22,4.15.22,1
4.16.23,4.16.23,1
4.17.24,4.17.24,1
5.1.25,5.1.25,1
5.2.26,5.2.26,1
6.1.27,6.1.27,1
6.2.28,6.2.28,1
6.3.29,6.3.29,1
7.1.30,7.1.30,1
7.2.31,7.2.31,1
7.3.32,7.3.32,1
7.4.33,7.4.33,1
7.5.34,7.5.34,1
7.6.35,7.6.35,1
7.7.36,7.7.36,1
7.8.37,7.8.37,1
7.9.38,7.9.38,1
7.10.39,7.10.39,1
7.11.40,7.11.40,1
7.12.41,7.12.41,1
7.13.42,7.13.42,1
7.14.43,7.14.43,1
7.15.44,7.15.44,1
7.16.45,7.16.45,1
7.17.46,7.17.46,1
7.18.47,7.18.47,1
7.19.48,7.19.48,1
7.20.49,7.20.49,1
7.21.50,7.21.50,1
7.22.51,7.22.51,1
7.23.52,7.23.52,1
7.24.53,7.24.53,1
7.25.54,7.25.54,1
7.26.55,7.26.55,1
7.27.56,7.27.56,1
7.28.57,7.28.57,1
7.29.58,7.29.58,1
7.30.59,7.30.59,1
7.31.60,7.31.60,1
7.32.61,7.32.61,1
7.33.62,7.33.62,1
7.34.63,7.34.63,1
7.35.64,7.35.64,1
7.36.65,7.36.65,1
7.37.66,7.37.66,1
7.38.67,7.38.67,1
7.39.68,7.39.68,1
7.40.69,7.40.69,1
7.41.70,7.41.70,1
7.42.71,7.42.71,1
7.43.72,7.43.72,1
7.44.73,7.44.73,1
7.45.74,7.45.74,1
7.46.75,7.46.75,1
7.47.76,7.47.76,1
7.48.77,7.48.77,1
7.49.78,7.49.78,1
7.50.79,7.50.79,1
7.51.80,7.51.80,1
7.52.81,7.52.81,1
7.53.82,7.53.82,1
7.54.83,7.54.83,1
7.55.84,7.55.84,1
7.56.85,7.56.85,1
7.57.86,7.57.86,1
7.58.87,7.58.87,1
7.59.88,7.59.88,1
7.60.89,7.60.89,1
7.61.90,7.61.90,1
7.62.91,7.62.91,1
7.63.92,7.63.92,1
7.64.93,7.64.93,1
7.65.94,7.65.94,1
7.66.95,7.66.95,1
7.67.96,7.67.96,1
8.1.97,8.1.97,1
8.2.98,8.2.98,1
8.3.99,8.3.99,1
8.4.100,8.4.100,1
8.5.101,8.5.101,1
8.6.102,8.6.102,1
8.7.103,8.7.103,1
9.1.104,9.1.104,1
9.2.105,9.2.105,1
9.3.106,9.3.106,1
9.4.107,9.4.107,1
9.5.108,9.5.108,1
9.6.109,9.6.109,1
9.7.110,9.7.110,1
10.1.111,10.1.111,1
10.2.112,10.2.112,1
10.3.113,10.3.113,1
10.4.114,10.4.114,1
10.5.115,10.5.115,1
10.6.116,10.6.116,1
11.1.117,11.1.117,1
12.1.118,12.1.118,1
12.2.119,12.2.119,1
12.3.120,12.3.120,1
12.4.121,12.4.121,1
12.5.122,12.5.122,1
12.6.123,12.6.123,1
12.7.124,12.7.124,1
12.8.125,12.8.125,1
12.9.126,12.9.126,1
13.1.127,13.1.127,1
14.1.128,14.1.128,1
14.2.129,14.2.129,1
14.3.130,14.3.130,1
14.4.131,14.4.131,1
14.5.132,14.5.132,1
14.6.133,14.6.133,1
14.7.134,14.7.134,1
14.8.135,14.8.135,1
14.9.136,14.9.136,1
14.10.137,14.10.137,1
14.11.138,14.11.138,1
14.12.139,14.12.139,1
14.13.140,14.13.140,1
15.1.141,15.1.141,1
15.2.142,15.2.142,1
15.3.143,15.3.143,1
15.4.144,15.4.144,1
15.5.145,15.5.145,1
15.6.146,15.6.146,1
15.7.147,15.7.147,1
15.8.148,15.8.148,1
15.9.149,15.9.149,1
15.10.150,15.10.150,1
15.11.151,15.11.151,1
15.12.152,15.12.152,1
15.13.153,15.13.153,1
15.14.154,15.14.154,1
15.15.155,15.15.155,1
15.16.156,15.16.156,1
15.17.157,15.17.157,1
15.18.158,15.18.158,1
15.19.159,15.19.159,1
16.1.160,16.1.160,1
17.1.161,17.1.161,1
17.2.162,17.2.162,1
17.3.163,17.3.163,1
18.1.164,18.1.164,1
18.2.165,18.2.165,1
18.3.166,18.3.166,1
18.4.167,18.4.167,1
18.5.168,18.5.168,1
18.6.169,18.6.169,1
18.7.170,18.7.170,1
19.1.171,19.1.171,1
19.2.172,19.2.172,1
19.3.173,19.3.173,1
20.1.174,20.1.174,1
20.2.175,20.2.175,1
20.3.176,20.3.176,1
20.4.177,20.4.177,1
20.5.178,20.5.178,1
20.6.179,20.6.179,1
20.7.180,20.7.180,1
20.8.181,20.8.181,1
20.9.182,20.9.182,1
20.10.183,20.10.183,1
20.11.184,20.11.184,1
20.12.185,20.12.185,1
20.13.186,20.13.186,1
20.14.187,20.14.187,1
20.15.188,20.15.188,1
20.16.189,20.16.189,1
20.17.190,20.17.190,1
21.1.191,21.1.191,1
21.2.192,21.2.192,1
21.3.193,21.3.193,1
21.4.194,21.4.194,1
21.5.195,21.5.195,1
21.6.196,21.6.196,1
21.7.197,21.7.197,1
21.8.198,21.8.198,1
21.9.199,21.9.199,1
21.10.200,21.10.200,1
22.1.201,22.1.201,1
22.2.202,22.2.202,1
22.3.203,22.3.203,1
22.4.204,22.4.204,1
22.5.205,22.5.205,1
22.6.206,22.6.206,1
22.7.207,22.7.207,1
22.8.208,22.8.208,1
22.9.209,22.9.209,1
22.10.210,22.10.210,1
22.11.211,22.11.211,1
23.1.212,23.1.212,1
23.2.213,23.2.213,1
23.3.214,23.3.214,1
23.4.215,23.4.215,1
23.5.216,23.5.216,1
23.6.217,23.6.217,1
23.7.218,23.7.218,1
23.8.219,23.8.219,1
23.9.220,23.9.220,1
23.10.221,23.10.221,1
23.11.222,23.11.222,1
23.12.223,23.12.223,1
