_,24.1.180,0
_,26.3.184,0
_,46.8.263,0
_,46.9.264,0
_,58.1.329,0
_,73.1.367,0
_,73.2.368,0
_,73.3.369,0
_,73.4.370,0
_,73.5.371,0
_,73.6.372,0
_,73.7.373,0
_,73.8.374,0
_,73.9.375,0
_,77.1.391,0
_,77.2.392,0
_,77.3.393,0
_,81.6.404,0
_,87.8.459,0
1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
1.6.6,1.6.6,1
1.7.7,1.7.7,1
1.8.8,1.8.8,1
1.9.9,1.9.9,1
1.10.10,1.10.10,1
1.11.11,1.11.11,1
2.1.12,2.1.12,1
2.2.13,2.2.13,1
2.3.14,2.3.14,1
2.4.15,2.4.15,1
2.5.16,2.5.16,1
2.6.17,2.6.17,1
2.7.18,2.7.18,1
2.8.19,2.8.19,1
2.9.20,2.9.20,1
2.10.21,2.10.21,1
2.11.22,2.11.22,1
2.12.23,2.12.23,1
2.13.24,2.13.24,1
2.14.25,2.14.25,1
2.15.26,2.15.26,1
2.16.27,2.16.27,1
2.17.28,2.17.28,1
2.18.29,2.18.29,1
2.19.30,2.19.30,1
2.20.31,2.20.31,1
2.21.32,2.21.32,1
2.22.33,2.22.33,1
2.23.34,2.23.34,1
3.1.35,3.1.35,1
3.2.36,3.2.36,1
3.3.37,3.3.37,1
3.4.38,3.4.38,1
3.5.39,3.5.39,1
3.6.40,3.6.40,1
3.7.41,3.7.41,1
3.8.42,3.8.42,1
3.9.43,3.9.43,1
3.10.44,3.10.44,1
3.11.45,3.11.45,1
3.12.46,3.12.46,1
3.13.47,3.13.47,1
3.14.48,3.14.48,1
3.15.49,3.15.49,1
3.16.50,3.16.50,1
3.17.51,3.17.51,1
3.18.52,3.18.52,1
3.19.53,3.19.53,1
3.20.54,3.20.54,1
3.21.55,3.21.55,1
3.22.56,3.22.56,1
3.23.57,3.23.57,1
4.1.58,4.1.58,1
4.2.59,4.2.59,1
4.3.60,4.3.60,1
4.4.61,4.4.61,1
4.5.62,4.5.62,1
5.1.63,5.1.63,1
6.1.64,6.1.64,1
6.2.65,6.2.65,1
7.1.66,7.1.66,1
7.2.67,7.2.67,1
7.3.68,7.3.68,1
8.1.69,8.1.69,1
8.2.70,8.2.70,1
8.3.71,8.3.71,1
9.1.72,9.1.72,1
9.2.73,9.2.73,1
9.3.74,9.3.74,1
10.1.75,10.1.75,1
11.1.76,11.1.76,1
11.2.77,11.2.77,1
11.3.78,11.3.78,1
11.4.79,11.4.79,1
12.1.80,12.1.80,1
12.2.81,12.2.81,1
12.3.82,12.3.82,1
13.1.83,13.1.83,1
14.1.84,14.1.84,1
14.2.85,14.2.85,1
14.3.86,14.3.86,1
14.4.87,14.4.87,1
15.1.88,15.1.88,1
16.1.89,16.1.89,1
16.2.90,16.2.90,1
16.3.91,16.3.91,1
16.4.92,16.4.92,1
17.1.93,17.1.93,1
18.1.94,18.1.94,1
19.1.95,19.1.95,1
19.2.96,19.2.96,1
19.3.97,19.3.97,1
19.4.98,19.4.98,1
19.5.99,19.5.99,1
19.6.100,19.6.100,1
19.7.101,19.7.101,1
19.8.102,19.8.102,1
19.9.103,19.9.103,1
19.10.104,19.10.104,1
19.11.105,19.11.105,1
19.12.106,19.12.106,1
19.13.107,19.13.107,1
19.14.108,19.14.108,1
20.1.109,20.1.109,1
20.2.110,20.2.110,1
20.3.111,20.3.111,1
21.1.112,21.1.112,1
21.2.113,21.2.113,1
21.3.114,21.3.114,1
21.4.115,21.4.115,1
21.5.116,21.5.116,1
21.6.117,21.6.117,1
21.7.118,21.7.118,1
21.8.119,21.8.119,1
21.9.120,21.9.120,1
21.10.121,21.10.121,1
21.11.122,21.11.122,1
21.12.123,21.12.123,1
21.13.124,21.13.124,1
21.14.125,21.14.125,1
21.15.126,21.15.126,1
21.16.127,21.16.127,1
21.17.128,21.17.128,1
21.18.129,21.18.129,1
21.19.130,21.19.130,1
21.20.131,21.20.131,1
21.21.132,21.21.132,1
21.22.133,21.22.133,1
21.23.134,21.23.134,1
21.24.135,21.24.135,1
21.25.136,21.25.136,1
21.26.137,21.26.137,1
21.27.138,21.27.138,1
21.28.139,21.28.139,1
21.29.140,21.29.140,1
21.30.141,21.30.141,1
21.31.142,21.31.142,1
21.32.143,21.32.143,1
22.1.144,22.1.144,1
22.2.145,22.2.145,1
22.3.146,22.3.146,1
22.4.147,22.4.147,1
22.5.148,22.5.148,1
22.6.149,22.6.149,1
22.7.150,22.7.150,1
22.8.151,22.8.151,1
22.9.152,22.9.152,1
22.10.153,22.10.153,1
22.11.154,22.11.154,1
22.12.155,22.12.155,1
22.13.156,22.13.156,1
22.14.157,22.14.157,1
22.15.158,22.15.158,1
22.16.159,22.16.159,1
22.17.160,22.17.160,1
22.18.161,22.18.161,1
22.19.162,22.19.162,1
22.20.163,22.20.163,1
22.21.164,22.21.164,1
22.22.165,22.22.165,1
22.23.166,22.23.166,1
22.24.167,22.24.167,1
22.25.168,22.25.168,1
23.1.169,23.1.169,1
23.2.170,23.2.170,1
23.3.171,23.3.171,1
23.4.172,23.4.172,1
23.5.173,23.5.173,1
23.6.174,23.6.174,1
23.7.175,23.7.175,1
23.8.176,23.8.176,1
23.9.177,23.9.177,1
23.10.178,23.10.178,1
23.11.179,23.11.179,1
24.1.180,25.1.181,1
25.1.181,26.1.182,1
25.2.182,26.2.183,0.7820262
25.3.183,_,0
26.1.184,27.1.185,1
26.2.185,27.2.186,1
26.3.186,27.3.187,1
27.1.187,28.1.188,1
27.2.188,28.2.189,1
27.3.189,28.3.190,1
27.4.190,28.4.191,1
27.5.191,28.5.192,1
27.6.192,28.6.193,1
27.7.193,28.7.194,1
28.1.194,29.1.195,1
29.1.195,30.1.196,1
29.2.196,30.2.197,1
30.1.197,31.1.198,1
30.2.198,31.2.199,1
30.3.199,31.3.200,1
31.1.200,32.1.201,1
31.2.201,32.2.202,1
31.3.202,32.3.203,1
31.4.203,32.4.204,1
31.5.204,32.5.205,1
31.6.205,32.6.206,1
31.7.206,32.7.207,1
31.8.207,32.8.208,1
31.9.208,32.9.209,1
31.10.209,32.10.210,0.8481013
31.11.210,32.11.211,1
31.12.211,32.12.212,1
31.13.212,32.13.213,1
31.14.213,32.14.214,1
31.15.214,32.15.215,1
32.1.215,33.1.216,1
32.2.216,33.2.217,1
32.3.217,33.3.218,1
33.1.218,34.1.219,1
33.2.219,34.2.220,1
34.1.220,35.1.221,1
34.2.221,35.2.222,1
34.3.222,35.3.223,1
35.1.223,36.1.224,1
36.1.224,37.1.225,1
37.1.225,38.1.226,1
37.2.226,38.2.227,1
37.3.227,38.3.228,1
38.1.228,39.1.229,1
38.2.229,39.2.230,1
39.1.230,40.1.231,1
39.2.231,40.2.232,1
39.3.232,40.3.233,1
40.1.233,41.1.234,1
40.2.234,41.2.235,1
40.3.235,41.3.236,1
40.4.236,41.4.237,1
40.5.237,41.5.238,1
40.6.238,41.6.239,1
41.1.239,42.1.240,1
42.1.240,43.1.241,1
42.2.241,43.2.242,1
42.3.242,43.3.243,1
42.4.243,43.4.244,1
42.5.244,43.5.245,1
43.1.245,44.1.246,1
44.1.246,45.1.247,1
44.2.247,45.2.248,1
44.3.248,45.3.249,1
44.4.249,45.4.250,1
44.5.250,45.5.251,1
44.6.251,45.6.252,1
44.7.252,45.7.253,1
44.8.253,45.8.254,1
44.9.254,45.9.255,1
45.1.255,_,0
45.2.256,_,0
46.1.257,46.1.256,1
46.2.258,46.2.257,1
46.3.259,46.3.258,1
46.4.260,46.4.259,1
46.5.261,46.5.260,0.8720648
46.6.262,46.6.261,1
46.7.263,46.7.262,1
46.8.264,46.10.265,1
46.9.265,46.11.266,0.85423625
46.10.266,46.12.267,1
46.11.267,46.13.268,0.90500003
46.12.268,46.14.269,1
46.13.269,46.15.270,1
46.14.270,46.16.271,1
46.15.271,46.17.272,1
46.16.272,46.18.273,1
46.17.273,46.19.274,1
46.18.274,46.20.275,1
46.19.275,46.21.276,1
46.20.276,46.22.277,1
46.21.277,46.23.278,1
46.22.278,46.24.279,1
46.23.279,46.25.280,1
46.24.280,46.26.281,1
46.25.281,46.27.282,1
46.26.282,46.28.283,1
46.27.283,46.29.284,1
46.28.284,46.30.285,1
46.29.285,46.31.286,0.8760903
46.30.286,46.32.287,1
46.31.287,46.33.288,1
46.32.288,46.34.289,1
47.1.289,47.1.290,0.90218496
47.1.289,55.1.324,0.73565936
48.1.290,48.1.291,0.91078436
48.1.290,55.1.324,0.75742203
49.1.291,49.1.292,1
50.1.292,50.1.293,1
50.2.293,50.2.294,1
50.3.294,50.3.295,1
51.1.295,51.1.296,1
51.2.296,51.2.297,1
51.3.297,51.3.298,1
51.4.298,51.4.299,1
51.5.299,51.5.300,1
51.6.300,51.6.301,1
51.7.301,51.7.302,1
51.8.302,51.8.303,1
51.9.303,51.9.304,1
51.10.304,51.10.305,1
51.11.305,51.11.306,1
51.12.306,51.12.307,1
51.13.307,51.13.308,1
51.14.308,51.14.309,1
51.15.309,51.15.310,1
51.16.310,51.16.311,1
51.17.311,51.17.312,1
52.1.312,52.1.313,1
53.1.313,53.1.314,1
53.2.314,53.2.315,1
53.3.315,53.3.316,1
53.4.316,53.4.317,1
53.5.317,53.5.318,1
53.6.318,53.6.319,1
53.7.319,53.7.320,1
53.8.320,53.8.321,1
53.9.321,53.9.322,1
54.1.322,54.1.323,1
55.1.323,_,0
56.1.324,_,0
57.1.325,57.1.326,1
57.2.326,57.2.327,1
57.3.327,57.3.328,1
58.1.328,59.1.330,1
58.2.329,59.2.331,1
58.3.330,59.3.332,1
58.4.331,59.4.333,1
58.5.332,59.5.334,1
58.6.333,59.6.335,1
58.7.334,59.7.336,1
59.1.335,60.1.337,1
60.1.336,61.1.338,1
61.1.337,62.1.339,1
62.1.338,63.1.340,1
63.1.339,64.1.341,1
63.2.340,64.2.342,1
64.1.341,65.1.343,1
64.2.342,65.2.344,1
64.3.343,65.3.345,1
64.4.344,65.4.346,1
64.5.345,65.5.347,1
65.1.346,55.1.324,0.67449915
65.1.346,66.1.348,0.930375
66.1.347,56.1.325,0.683365
66.1.347,67.1.349,0.91214675
67.1.348,68.1.350,1
67.2.349,68.2.351,1
67.3.350,68.3.352,1
68.1.351,69.1.353,1
68.2.352,69.2.354,0.9872341
68.3.353,69.3.355,1
69.1.354,70.1.356,1
69.2.355,70.2.357,1
69.3.356,70.3.358,1
70.1.357,71.1.359,1
70.2.358,71.2.360,1
70.3.359,71.3.361,1
70.4.360,71.4.362,1
70.5.361,71.5.363,1
70.6.362,71.6.364,1
70.7.363,71.7.365,1
71.1.364,72.1.366,1
72.1.365,74.1.376,1
72.2.366,74.2.377,1
72.3.367,74.3.378,1
72.4.368,74.4.379,1
72.5.369,74.5.380,1
72.6.370,74.6.381,1
72.7.371,74.7.382,1
72.8.372,74.8.383,1
72.9.373,74.9.384,1
72.10.374,74.10.385,0.93000007
72.11.375,74.11.386,1
72.12.376,74.12.387,1
72.13.377,74.13.388,1
73.1.378,75.1.389,1
74.1.379,76.1.390,1
75.1.380,78.1.394,1
76.1.381,79.1.395,1
77.1.382,80.1.396,1
77.2.383,80.2.397,1
77.3.384,80.3.398,1
78.1.385,_,0
78.2.386,_,0
78.3.387,81.1.399,1
78.4.388,81.2.400,1
78.5.389,81.3.401,1
78.6.390,81.4.402,0.82385397
78.7.391,81.5.403,1
78.8.392,81.7.405,1
78.9.393,81.8.406,1
78.10.394,81.9.407,0.8786429
78.11.395,81.10.408,1
78.12.396,81.11.409,1
78.13.397,81.12.410,1
78.14.398,81.13.411,1
78.15.399,81.14.412,1
78.16.400,81.15.413,1
78.17.401,81.16.414,1
78.18.402,81.17.415,1
78.19.403,81.18.416,1
78.20.404,81.19.417,1
78.21.405,81.20.418,1
78.22.406,81.21.419,1
78.23.407,81.22.420,1
78.24.408,81.23.421,1
78.25.409,81.24.422,1
78.26.410,81.25.423,1
78.27.411,81.26.424,1
78.28.412,81.27.425,1
78.29.413,81.28.426,1
78.30.414,81.29.427,1
78.31.415,81.30.428,1
78.32.416,81.31.429,1
78.33.417,81.32.430,1
78.34.418,81.33.431,1
78.35.419,81.34.432,1
78.36.420,81.35.433,1
78.37.421,81.36.434,1
78.38.422,81.37.435,1
78.39.423,81.38.436,1
78.40.424,81.39.437,1
78.41.425,81.40.438,1
78.42.426,81.41.439,0.78571427
78.43.427,81.42.440,1
78.44.428,81.43.441,1
78.45.429,81.44.442,1
78.46.430,81.45.443,1
78.47.431,81.46.444,1
79.1.432,82.1.445,0.9159809
80.1.433,83.1.446,0.91504204
81.1.434,84.1.447,1
82.1.435,85.1.448,0.92915565
82.1.435,83.1.446,0.81226844
83.1.436,86.1.449,1
83.2.437,86.2.450,1
83.3.438,86.3.451,1
84.1.439,87.1.452,1
84.2.440,87.2.453,1
84.3.441,87.3.454,1
84.4.442,87.4.455,1
84.5.443,87.5.456,1
84.6.444,87.6.457,1
84.7.445,87.7.458,0.90522796
84.8.446,87.9.460,1
85.1.447,88.1.461,1
86.1.448,89.1.462,1
87.1.449,90.1.463,1
87.2.450,90.2.464,1
87.3.451,90.3.465,1
88.1.452,91.1.466,1
88.2.453,91.2.467,1
89.1.454,92.1.468,1
89.2.455,92.2.469,1
89.3.456,92.3.470,1
90.1.457,93.1.471,1
90.2.458,93.2.472,1
90.3.459,93.3.473,1
90.4.460,93.4.474,1
90.5.461,93.5.475,0.9
90.6.462,93.6.476,1
90.7.463,93.7.477,1
