repo,id,filename,old_cell,new_cell,type,evaluation,correct_old_cell,correct_new_cell
recommenders,62bde140f7444be4474618cc710399164912f888#1,notebooks/04_model_select_and_optimize/aml_hyperparameter_tuning.ipynb,14,11,split,n,14,14
recommenders,62bde140f7444be4474618cc710399164912f888#1,notebooks/04_model_select_and_optimize/aml_hyperparameter_tuning.ipynb,14,13,split,n,14,14
fastai,edab9efd388659eb52d313f85c76a22bd0767954#1,courses/dl1/test_transforms.ipynb,28,26,split,n,28,28
fastai,edab9efd388659eb52d313f85c76a22bd0767954#1,courses/dl1/test_transforms.ipynb,28,22,split,n,28,28
Data-Analysis,13368040a9d198b11608f3ecaa627a1956fa58b6#0,statistics/Investigating Data.ipynb,12,27,split,n,12,12
Data-Analysis,13368040a9d198b11608f3ecaa627a1956fa58b6#0,statistics/Investigating Data.ipynb,12,14,split,n,12,12
Data-Analysis,13368040a9d198b11608f3ecaa627a1956fa58b6#0,statistics/Investigating Data.ipynb,12,30,split,n,12,12
ThinkDSP,cc9b668fd3721c75561065c5a107870bb73ff2b5#0,code/chap09.ipynb,6,12,split,n,6,6
ThinkDSP,cc9b668fd3721c75561065c5a107870bb73ff2b5#0,code/chap09.ipynb,6,6,split,n,6,6
Data-Analysis,32730e4d9f10401db0f77886fc93d417174dcefb#0,plotly/Plotly Intro.ipynb,2,4,split,y,2,2
Data-Analysis,32730e4d9f10401db0f77886fc93d417174dcefb#0,plotly/Plotly Intro.ipynb,2,4,split,y,2,2
Data-Analysis,32730e4d9f10401db0f77886fc93d417174dcefb#0,plotly/Plotly Intro.ipynb,2,6,split,y,2,2
Data-Analysis,32730e4d9f10401db0f77886fc93d417174dcefb#0,plotly/Plotly Intro.ipynb,2,6,split,y,2,2
ThinkDSP,d600709e0d617efaa5a0a19970547b08528c3cd5#0,code/chap08.ipynb,18,18,split,n,18,18
ThinkDSP,d600709e0d617efaa5a0a19970547b08528c3cd5#0,code/chap08.ipynb,18,61,split,n,18,18
