id,filename,current_commit,parent_commit,old_status,new_status,status
412cc8de5b7372b55e703ecac85524be163b4221#0,notebooks/04_model_select_and_optimize/nni_surprise_svd.ipynb,412cc8de5b7372b55e703ecac85524be163b4221,3b26c8046a15a12d8623ca6348c825ba97b9dc90,success,ss,success
a0566017b69395b98add3eb37be885a60f6186b7#0,notebooks/04_model_select_and_optimize/azureml_hyperdrive_tuning_svd.ipynb,a0566017b69395b98add3eb37be885a60f6186b7,52cd23ce5f7c0f6d3e435bcf9ac392593d90651a,success,ss,success
58ae95116f248763891278135f1ea1f0dbddd1aa#0,notebooks/02_model/lightgbm_estimate_criteo_dac.ipynb,58ae95116f248763891278135f1ea1f0dbddd1aa,bb986bc0c9773976eacd982e20820a22edb0ddaa,success,ss,success
7e22731cb5706563bdc87c80e03e25374deb7d6d#0,notebooks/02_model/lightgbm_estimate_criteo_dac.ipynb,7e22731cb5706563bdc87c80e03e25374deb7d6d,e59d1fdc7b2718da75a35179da8201ece2706db3,success,ss,success
d91ab96fb9acb4e3e053c07e879891c808dfc4cf#0,notebooks/04_model_select_and_optimize/hypertune_spark_deep_dive.ipynb,d91ab96fb9acb4e3e053c07e879891c808dfc4cf,fa4b930310c07be19f13564f7edca70eab96f253,success,ss,success
8e69c8cd363512b38edbc30617eabb6fdc760095#0,notebooks/02_model/lightgbm_estimate_criteo_dac.ipynb,8e69c8cd363512b38edbc30617eabb6fdc760095,e2d17a80e5909114419ff9175023ec952131176f,success,ss,success
1328068be4ff0fdeca09e43b8bd0320375404936#0,notebooks/02_model/vowpal_wabbit_deep_dive.ipynb,1328068be4ff0fdeca09e43b8bd0320375404936,21e66d4267735c6e08c7d0ff68ed278088148e45,success,ss,success
a74a80413b5ae51eb3add336514352219b76e1e2#0,notebooks/00_quick_start/wide_deep_movielens.ipynb,a74a80413b5ae51eb3add336514352219b76e1e2,dd42db84fbb3b2a041643567125a46bbde2ffd1f,success,ss,success
ffcf4c7384c1a38971a1439dfbac20d95a73ce00#1,notebooks/04_model_select_and_optimize/hypertune_aml_wide_and_deep_quickstart.ipynb,ffcf4c7384c1a38971a1439dfbac20d95a73ce00,72c9216f691c731e24e1e5567787c4a0b53bc5fc,success,ss,success
a02a089a5c413a7313f369f484537b613dd8dad0#0,notebooks/00_quick_start/wide_deep_model_movielens.ipynb,a02a089a5c413a7313f369f484537b613dd8dad0,d19d71145ee5ad3682be7136f03700def9ffc93a,success,ss,success
a02a089a5c413a7313f369f484537b613dd8dad0#1,notebooks/04_model_select_and_optimize/aml_hyperparameter_tuning.ipynb,a02a089a5c413a7313f369f484537b613dd8dad0,d19d71145ee5ad3682be7136f03700def9ffc93a,success,ss,success
62bde140f7444be4474618cc710399164912f888#0,notebooks/00_quick_start/wide_deep_model_movielens.ipynb,62bde140f7444be4474618cc710399164912f888,4487855024ae60d0f37344411f6b2e789731d961,success,ss,success
62bde140f7444be4474618cc710399164912f888#1,notebooks/04_model_select_and_optimize/aml_hyperparameter_tuning.ipynb,62bde140f7444be4474618cc710399164912f888,4487855024ae60d0f37344411f6b2e789731d961,success,ss,success
94c09d712131991ffa20cd0e09eca0a5074fd6b4#2,notebooks/00_quick_start/rbm_movielens.ipynb,94c09d712131991ffa20cd0e09eca0a5074fd6b4,1d6edd66320191f95e35f92733d4dc8235b6be87,success,ss,success
dcb537c62ff080fe4c709c45a23b9b0f60a40b12#0,notebooks/02_model/vowpal_wabbit_deep_dive.ipynb,dcb537c62ff080fe4c709c45a23b9b0f60a40b12,5566cde43e7d4cdb63b14a558c534117eafdbbb6,success,ss,success
d08d8c6cb4a3d08922fef4d7f38d0f1ffc6c752b#0,notebooks/02_model/vowpal_wabbit_deep_dive.ipynb,d08d8c6cb4a3d08922fef4d7f38d0f1ffc6c752b,e7997645cebc0f10af1f912c39684998d7a97db0,success,ss,success
d79b6aee4c651015040cbe3f67ead936d26facbb#0,notebooks/02_model/ncf_deep_dive.ipynb,d79b6aee4c651015040cbe3f67ead936d26facbb,f84b8d49e5d4044565d00b4afc01e62db5eef70a,success,ss,success
42b2fe88a776587f5eac6a25befa5ebea74d09cc#0,notebooks/00_quick_start/wide_deep_model_movielens.ipynb,42b2fe88a776587f5eac6a25befa5ebea74d09cc,6fcf7239ea9cdf7f9c32630374a4688e70b881a0,success,ss,success
5ab9c55d6a76e8f7175420fd5bf59412e0f20b80#0,notebooks/00_quick_start/wide_deep_model_movielens.ipynb,5ab9c55d6a76e8f7175420fd5bf59412e0f20b80,8180dea99129d9c935fb4eb4997611bc6586dfda,success,ss,success
e83ecb4287d604a1b695b49e477f59c85c9c6d57#0,notebooks/05_operationalize/create_and_configure_cluster.ipynb,e83ecb4287d604a1b695b49e477f59c85c9c6d57,7cba799f18dcb1a46dc0531a953b3fdb131581df,success,ss,success
2a76cbc9bf02ef2257f67fd3861f8c5662331b59#2,notebooks/00_quick_start/sar_single_node_movielens.ipynb,2a76cbc9bf02ef2257f67fd3861f8c5662331b59,f18f156e14877a46d6643904d65bd994f91c1f6b,success,ss,success
2a76cbc9bf02ef2257f67fd3861f8c5662331b59#7,notebooks/02_model/ncf_deep_dive.ipynb,2a76cbc9bf02ef2257f67fd3861f8c5662331b59,f18f156e14877a46d6643904d65bd994f91c1f6b,success,ss,success
2a76cbc9bf02ef2257f67fd3861f8c5662331b59#14,notebooks/template.ipynb,2a76cbc9bf02ef2257f67fd3861f8c5662331b59,f18f156e14877a46d6643904d65bd994f91c1f6b,success,ss,success
caabe7c1f484d2eb93aafcfdf9491f7a2ac4cba0#11,notebooks/04_operationalize/als_movie_o16n.ipynb,caabe7c1f484d2eb93aafcfdf9491f7a2ac4cba0,ff208c61fc141ffa0e814af203aa4a3095c3171e,success,ss,success
870bc1dd81432ded97b3ddfa8c7de3a14069a705#0,notebooks/02_model/hyper_parameter_tuning.ipynb,870bc1dd81432ded97b3ddfa8c7de3a14069a705,7a03faa47124a0f9eb64c2b9f46bcb667c79c514,success,ss,success
163c12167ce15bc7a20e9fbbf2448733a6fc8553#0,notebooks/02_model/rbm_deep_dive.ipynb,163c12167ce15bc7a20e9fbbf2448733a6fc8553,3686719efc7124cf60bba760a96242f6a14480d2,success,ss,success
27617f8d0788ab204a2ba98f0cb265486f1aeaab#0,notebooks/01_prepare_data/data_transform.ipynb,27617f8d0788ab204a2ba98f0cb265486f1aeaab,d7de85bc55fa17ff0298d1ab244f6977839e6bbe,success,ss,success
f7716e6b09a1ccc73d0a080e73049a27a2a48dd9#0,notebooks/02_model/surprise_svd_deep_dive.ipynb,f7716e6b09a1ccc73d0a080e73049a27a2a48dd9,81929b76813a73be6da55d638fdc019655ab4ef6,success,ss,success
8631adb66b7aba266e0caacb7fe66715a2d4a57f#0,notebooks/02_model/surprise_svd_deep_dive.ipynb,8631adb66b7aba266e0caacb7fe66715a2d4a57f,35a8cfa5b6d82a4092c120955d75675200bb650a,success,ss,success
d9e1dfe673dae3348c075de9086199c5b1fd74ca#0,notebooks/00_quick_start/sar_single_node_movielens.ipynb,d9e1dfe673dae3348c075de9086199c5b1fd74ca,8808a084ea2b1095fe6f4489913976226c7232d9,success,ss,success
