repo,id,filename,old_cell,new_cell,type,evaluation,correct_old_cell,correct_new_cell
examples,105085fea9b425d8de46ca1e1e76de6ea20a81ec#0,courses/udacity_intro_to_tensorflow_for_deep_learning/l05c03_exercise_flowers_with_data_augmentation.ipynb,52,52,change,y,52,52
recommenders,53926bc31f6120c9d8ab9c567cb43ee3dd1a65db#0,notebooks/00_quick_start/wide_deep_movielens.ipynb,18,20,change,y,18,18
PmagPy,9ffd3eaf8f47a94fefa55c0d19712bf1f73ddee1#1,data_files/iodp_magic/.ipynb_checkpoints/U999A-checkpoint.ipynb,20,20,change,y,20,20
ThinkDSP,90e4b3195e527253e246dbbce3d9e5192048db44#3,code/chap02.ipynb,30,36,change,y,30,30
recommenders,28de14c8ad010d39dd5fe1207914e6e2467c6faa#0,notebooks/02_modeling/als_deep_dive.ipynb,38,38,change,y,38,38
recommenders,e658736a015bb19b94584a6c69025536ed666964#0,notebooks/02_modeling/als_deep_dive.ipynb,16,16,change,y,16,16
h2o-3,43c9b82ab463e712910d1353013d499684021858#1,h2o-py/demos/citi_bike_small.ipynb,7,7,change,y,7,7
fastai,6ae4f12cd91af27cb990893c48a5046acbdb181e#0,docs_src/utils.mem.ipynb,2,2,change,y,2,2
fastai,3d1b755322e913b5a3feb192beac9c34ff35bf4f#0,courses/dl1/keras_lesson1.ipynb,6,6,change,y,6,6
examples,729752738613a3642b5ddff0425f98a49f8924b4#6,courses/udacity_intro_to_tensorflow_for_deep_learning/l06c03_exercise_flowers_with_transfer_learning_solution.ipynb,43,43,change,b,43,43
fastai,742a9f62e67a484a7f44e0db9fbb9dd6c179ef0b#0,courses/dl2/enhance.ipynb,26,31,change,y,26,26
ThinkDSP,4ea1056cb058281d8a6d99cbc678ffbb19f1acb0#1,code/chap04soln.ipynb,-1,56,add,y,-1,-1
recommenders,314a5b2f4407c9dc26e8624ac9d279d1b524209b#0,notebooks/05_operationalize/lightgbm_criteo_o16n.ipynb,-1,33,add,y,-1,-1
fastai,950619788ab2b4d6903bc444a5815efe57cee1bf#0,tutorials/linalg_pytorch.ipynb,-1,169,add,i,-1,-1
fastai,ab95a91ee84f6214281661f3a4b74b8dd13311b4#26,docs_src/widgets.image_cleaner.ipynb,-1,44,add,i,-1,-1
fastai,68134bb77e580e428463f9cf579d978d51b5800c#10,docs_src/vision.models.ipynb,-1,4,add,n,4,4
