1.1.1,_,0
2.1.2,1.1.1,1
3.1.3,2.1.2,1
4.1.4,3.1.3,1
5.1.5,4.1.4,1
6.1.6,5.1.5,1
6.2.7,5.2.6,1
6.3.8,5.3.7,1
6.4.9,5.4.8,1
6.5.10,5.5.9,1
6.6.11,5.6.10,1
7.1.12,6.1.11,1
8.1.13,7.1.12,1
9.1.14,8.1.13,1
10.1.15,9.1.14,1
11.1.16,10.1.15,1
11.2.17,10.2.16,1
11.3.18,10.3.17,1
12.1.19,11.1.18,1
12.2.20,11.2.19,1
12.3.21,11.3.20,1
13.1.22,12.1.21,1
13.2.23,12.2.22,1
14.1.24,13.1.23,1
14.2.25,13.2.24,1
14.3.26,13.3.25,1
15.1.27,14.1.26,1
15.2.28,14.2.27,1
16.1.29,15.1.28,1
17.1.30,16.1.29,1
18.1.31,17.1.30,1
18.2.32,17.2.31,1
18.3.33,17.3.32,1
19.1.34,18.1.33,1
20.1.35,19.1.34,1
20.2.36,19.2.35,1
20.3.37,19.3.36,1
21.1.38,20.1.37,1
22.1.39,21.1.38,1
22.2.40,21.2.39,1
22.3.41,21.3.40,1
22.4.42,21.4.41,1
23.1.43,22.1.42,1
24.1.44,23.1.43,1
25.1.45,24.1.44,1
26.1.46,25.1.45,1
26.2.47,25.2.46,1
26.3.48,25.3.47,1
26.4.49,25.4.48,1
27.1.50,26.1.49,1
28.1.51,27.1.50,1
29.1.52,28.1.51,1
30.1.53,29.1.52,1
31.1.54,30.1.53,1
31.2.55,30.2.54,1
32.1.56,31.1.55,1
33.1.57,32.1.56,1
33.2.58,32.2.57,1
34.1.59,33.1.58,1
35.1.60,34.1.59,1
35.2.61,34.2.60,1
36.1.62,35.1.61,1
37.1.63,36.1.62,1
38.1.64,37.1.63,1
39.1.65,38.1.64,1
39.2.66,38.2.65,1
39.3.67,38.3.66,1
40.1.68,39.1.67,1
41.1.69,40.1.68,1
42.1.70,41.1.69,1
43.1.71,42.1.70,1
43.2.72,42.2.71,1
43.3.73,42.3.72,1
43.4.74,42.4.73,1
43.5.75,42.5.74,1
43.6.76,42.6.75,1
43.7.77,42.7.76,1
