1.1.1,1.1.1,0.801848
2.1.2,_,0
3.1.3,2.1.2,1
4.1.4,_,0
5.1.5,_,0
6.1.6,_,0
7.1.7,_,0
7.2.8,_,0
7.3.9,_,0
7.4.10,_,0
7.5.11,_,0
7.6.12,_,0
7.7.13,_,0
7.8.14,_,0
7.9.15,_,0
7.10.16,_,0
8.1.17,_,0
8.2.18,_,0
8.3.19,_,0
8.4.20,_,0
8.5.21,_,0
8.6.22,_,0
8.7.23,_,0
9.1.24,_,0
10.1.25,_,0
11.1.26,_,0
12.1.27,_,0
12.2.28,_,0
12.3.29,_,0
12.4.30,_,0
12.5.31,_,0
12.6.32,_,0
12.7.33,_,0
12.8.34,_,0
12.9.35,_,0
13.1.36,_,0
13.2.37,_,0
13.3.38,_,0
14.1.39,_,0
15.1.40,_,0
16.1.41,_,0
17.1.42,_,0
17.2.43,_,0
17.3.44,_,0
17.4.45,_,0
17.5.46,_,0
17.6.47,_,0
17.7.48,_,0
17.8.49,_,0
18.1.50,_,0
18.2.51,_,0
18.3.52,_,0
18.4.53,_,0
18.5.54,_,0
18.6.55,_,0
19.1.56,_,0
20.1.57,_,0
21.1.58,_,0
22.1.59,_,0
23.1.60,_,0
23.2.61,_,0
23.3.62,_,0
24.1.63,_,0
25.1.64,_,0
25.2.65,_,0
26.1.66,_,0
27.1.67,_,0
28.1.68,_,0
29.1.69,_,0
30.1.70,_,0
31.1.71,_,0
31.2.72,_,0
31.3.73,_,0
32.1.74,_,0
32.2.75,_,0
32.3.76,_,0
33.1.77,_,0
33.2.78,_,0
34.1.79,_,0
35.1.80,_,0
36.1.81,_,0
37.1.82,_,0
38.1.83,_,0
39.1.84,_,0
40.1.85,_,0
41.1.86,_,0
42.1.87,_,0
43.1.88,_,0
44.1.89,_,0
44.2.90,_,0
44.3.91,_,0
45.1.92,_,0
46.1.93,_,0
47.1.94,_,0
