_,24.13.42,0
_,32.10.66,0
_,32.12.68,0
1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,0.9296742
6.1.6,6.1.6,1
6.2.7,6.2.7,0.9456469
7.1.8,7.1.8,1
8.1.9,8.1.9,1
9.1.10,9.1.10,1
10.1.11,10.1.11,0.92657065
11.1.12,11.1.12,1
12.1.13,12.1.13,0.9172445
13.1.14,13.1.14,1
14.1.15,14.1.15,0.8143858
15.1.16,15.1.16,1
15.2.17,15.2.17,1
15.3.18,15.3.18,1
15.4.19,15.4.19,1
15.5.20,15.5.20,0.94289696
16.1.21,16.1.21,0.90606934
17.1.22,17.1.22,1
18.1.23,18.1.23,1
19.1.24,19.1.24,1
20.1.25,_,0
20.2.26,20.1.25,1
20.3.27,_,0
20.4.28,20.2.26,0.89897776
21.1.29,21.1.27,1
22.1.30,22.1.28,1
23.1.31,23.1.29,0.9475817
24.1.32,24.1.30,1
24.2.33,_,0
24.3.34,24.2.31,0.85856986
24.4.35,24.3.32,0.89832896
24.5.36,_,0
24.6.37,24.4.33,1
24.7.38,24.5.34,1
24.8.39,24.6.35,1
24.9.40,24.7.36,1
24.10.41,24.8.37,1
24.11.42,24.9.38,1
24.12.43,24.10.39,1
24.13.44,24.11.40,1
24.14.45,24.12.41,0.82285714
24.15.46,_,0
24.16.47,24.14.43,0.72725177
24.17.48,_,0
24.18.49,24.15.44,1
24.19.50,24.16.45,0.80676484
24.20.51,24.17.46,1
25.1.52,25.1.47,0.90898836
26.1.53,26.1.48,1
26.2.54,26.2.49,0.8450311
27.1.55,27.1.50,1
28.1.56,28.1.51,1
28.2.57,28.2.52,1
28.3.58,28.3.53,0.9780816
29.1.59,29.1.54,1
30.1.60,30.1.55,1
31.1.61,31.1.56,0.97741073
32.1.62,32.1.57,0.79086405
32.2.63,_,0
32.3.64,32.2.58,0.93805873
32.4.65,32.3.59,0.8186786
32.5.66,_,0
32.6.67,32.4.60,1
32.7.68,32.5.61,1
32.8.69,32.6.62,1
32.9.70,32.7.63,1
32.10.71,32.8.64,1
32.11.72,32.9.65,1
32.12.73,_,0
32.13.74,_,0
32.14.75,32.11.67,1
32.15.76,_,0
32.16.77,32.13.69,1
32.17.78,32.14.70,1
32.18.79,32.15.71,1
32.19.80,32.16.72,1
33.1.81,33.1.73,0.9229455
34.1.82,34.1.74,1
34.2.83,34.2.75,0.7289863
