1.1.1,_,0
2.1.2,1.1.1,1
3.1.3,2.1.2,1
4.1.4,3.1.3,1
5.1.5,4.1.4,1
6.1.6,5.1.5,1
6.2.7,5.2.6,1
6.3.8,5.3.7,1
7.1.9,6.1.8,1
8.1.10,7.1.9,1
9.1.11,8.1.10,1
9.2.12,8.2.11,1
10.1.13,9.1.12,1
11.1.14,10.1.13,1
12.1.15,11.1.14,1
13.1.16,12.1.15,1
14.1.17,13.1.16,1
15.1.18,14.1.17,1
15.2.19,14.2.18,1
15.3.20,14.3.19,1
15.4.21,14.4.20,1
15.5.22,14.5.21,1
15.6.23,14.6.22,1
16.1.24,15.1.23,1
17.1.25,16.1.24,1
17.2.26,16.2.25,1
17.3.27,16.3.26,1
17.4.28,16.4.27,1
17.5.29,16.5.28,1
17.6.30,16.6.29,1
17.7.31,16.7.30,1
18.1.32,17.1.31,1
19.1.33,18.1.32,1
20.1.34,19.1.33,1
21.1.35,20.1.34,1
22.1.36,21.1.35,1
23.1.37,22.1.36,1
24.1.38,23.1.37,1
25.1.39,24.1.38,1
26.1.40,25.1.39,1
27.1.41,26.1.40,1
27.2.42,26.2.41,1
27.3.43,26.3.42,1
27.4.44,26.4.43,1
28.1.45,27.1.44,1
29.1.46,28.1.45,1
29.2.47,28.2.46,1
30.1.48,29.1.47,1
31.1.49,30.1.48,1
32.1.50,31.1.49,1
33.1.51,32.1.50,1
34.1.52,33.1.51,1
35.1.53,34.1.52,1
36.1.54,35.1.53,1
37.1.55,36.1.54,1
