1.1.1,_,0
2.1.2,1.1.1,1
3.1.3,2.1.2,1
4.1.4,3.1.3,1
5.1.5,4.1.4,1
6.1.6,5.1.5,1
7.1.7,6.1.6,1
8.1.8,7.1.7,1
9.1.9,8.1.8,1
9.2.10,8.2.9,1
9.3.11,8.3.10,1
9.4.12,8.4.11,1
10.1.13,9.1.12,1
11.1.14,10.1.13,1
11.2.15,10.2.14,1
12.1.16,11.1.15,1
12.2.17,11.2.16,1
12.3.18,11.3.17,1
12.4.19,11.4.18,1
12.5.20,11.5.19,1
13.1.21,12.1.20,1
14.1.22,13.1.21,1
15.1.23,14.1.22,1
16.1.24,15.1.23,1
17.1.25,16.1.24,1
17.2.26,16.2.25,1
18.1.27,17.1.26,1
19.1.28,18.1.27,1
19.2.29,18.2.28,1
19.3.30,18.3.29,1
19.4.31,18.4.30,1
20.1.32,19.1.31,1
21.1.33,20.1.32,1
22.1.34,21.1.33,1
23.1.35,22.1.34,1
23.2.36,22.2.35,1
24.1.37,23.1.36,1
25.1.38,24.1.37,1
25.2.39,24.2.38,1
25.3.40,24.3.39,1
25.4.41,24.4.40,1
25.5.42,24.5.41,1
26.1.43,25.1.42,1
27.1.44,26.1.43,1
28.1.45,27.1.44,1
29.1.46,28.1.45,1
30.1.47,29.1.46,1
31.1.48,30.1.47,1
31.2.49,30.2.48,1
31.3.50,30.3.49,1
31.4.51,30.4.50,1
32.1.52,31.1.51,1
33.1.53,32.1.52,1
34.1.54,33.1.53,1
34.2.55,33.2.54,1
34.3.56,33.3.55,1
34.4.57,33.4.56,1
34.5.58,33.5.57,1
35.1.59,34.1.58,1
36.1.60,35.1.59,1
36.2.61,35.2.60,1
36.3.62,35.3.61,1
36.4.63,35.4.62,1
36.5.64,35.5.63,1
36.6.65,35.6.64,1
36.7.66,35.7.65,1
36.8.67,35.8.66,1
36.9.68,35.9.67,1
36.10.69,35.10.68,1
36.11.70,35.11.69,1
36.12.71,35.12.70,1
37.1.72,36.1.71,1
38.1.73,37.1.72,1
39.1.74,38.1.73,1
39.2.75,38.2.74,1
39.3.76,38.3.75,1
39.4.77,38.4.76,1
40.1.78,39.1.77,1
41.1.79,40.1.78,1
41.2.80,40.2.79,1
41.3.81,40.3.80,1
41.4.82,40.4.81,1
41.5.83,40.5.82,1
41.6.84,40.6.83,1
41.7.85,40.7.84,1
41.8.86,40.8.85,1
41.9.87,40.9.86,1
42.1.88,41.1.87,1
43.1.89,42.1.88,1
43.2.90,42.2.89,1
43.3.91,42.3.90,1
43.4.92,42.4.91,1
43.5.93,42.5.92,1
