1.1.1,_,0
2.1.2,1.1.1,1
3.1.3,2.1.2,1
4.1.4,3.1.3,1
5.1.5,4.1.4,1
5.2.6,4.2.5,1
5.3.7,4.3.6,1
6.1.8,5.1.7,1
7.1.9,6.1.8,1
7.2.10,6.2.9,1
7.3.11,6.3.10,1
8.1.12,7.1.11,1
8.2.13,7.2.12,1
8.3.14,7.3.13,1
9.1.15,8.1.14,1
10.1.16,9.1.15,1
10.2.17,9.2.16,1
10.3.18,9.3.17,1
10.4.19,9.4.18,1
10.5.20,9.5.19,1
10.6.21,9.6.20,1
10.7.22,9.7.21,1
10.8.23,9.8.22,1
10.9.24,9.9.23,1
10.10.25,9.10.24,1
10.11.26,9.11.25,1
10.12.27,9.12.26,1
10.13.28,9.13.27,1
11.1.29,10.1.28,1
12.1.30,11.1.29,1
13.1.31,12.1.30,1
14.1.32,13.1.31,1
14.2.33,13.2.32,1
15.1.34,14.1.33,1
16.1.35,15.1.34,1
17.1.36,16.1.35,1
17.2.37,16.2.36,1
17.3.38,16.3.37,1
18.1.39,17.1.38,1
19.1.40,18.1.39,1
19.2.41,18.2.40,1
19.3.42,18.3.41,1
20.1.43,19.1.42,1
21.1.44,20.1.43,1
22.1.45,21.1.44,1
23.1.46,22.1.45,1
24.1.47,23.1.46,1
24.2.48,23.2.47,1
24.3.49,23.3.48,1
24.4.50,23.4.49,1
24.5.51,23.5.50,1
25.1.52,24.1.51,1
26.1.53,25.1.52,1
26.2.54,25.2.53,1
26.3.55,25.3.54,1
26.4.56,25.4.55,1
26.5.57,25.5.56,1
27.1.58,26.1.57,1
28.1.59,27.1.58,1
29.1.60,28.1.59,1
29.2.61,28.2.60,1
29.3.62,28.3.61,1
30.1.63,29.1.62,1
31.1.64,30.1.63,1
32.1.65,31.1.64,1
33.1.66,32.1.65,1
33.2.67,32.2.66,1
33.3.68,32.3.67,1
33.4.69,32.4.68,1
33.5.70,32.5.69,1
33.6.71,32.6.70,1
33.7.72,32.7.71,1
