1.1.1,1.1.1,0.9809524
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,1
7.1.7,7.1.7,1
7.2.8,7.2.8,1
7.3.9,7.3.9,1
8.1.10,8.1.10,1
9.1.11,9.1.11,1
9.2.12,9.2.12,1
9.3.13,9.3.13,1
9.4.14,9.4.14,1
9.5.15,9.5.15,1
9.6.16,9.6.16,1
9.7.17,9.7.17,1
9.8.18,9.8.18,1
9.9.19,9.9.19,1
9.10.20,9.10.20,1
9.11.21,9.11.21,1
9.12.22,9.12.22,1
9.13.23,9.13.23,1
9.14.24,9.14.24,1
9.15.25,9.15.25,1
9.16.26,9.16.26,1
9.17.27,9.17.27,1
9.18.28,9.18.28,1
9.19.29,9.19.29,1
10.1.30,10.1.30,1
10.2.31,10.2.31,1
10.3.32,10.3.32,1
11.1.33,11.1.33,1
11.2.34,11.2.34,1
11.3.35,11.3.35,1
11.4.36,11.4.36,1
11.5.37,11.5.37,1
11.6.38,11.6.38,1
11.7.39,11.7.39,1
11.8.40,11.8.40,1
11.9.41,11.9.41,1
11.10.42,11.10.42,1
11.11.43,11.11.43,1
11.12.44,11.12.44,1
11.13.45,11.13.45,1
11.14.46,11.14.46,1
11.15.47,11.15.47,1
11.16.48,11.16.48,1
11.17.49,11.17.49,1
11.18.50,11.18.50,1
11.19.51,11.19.51,1
11.20.52,11.20.52,1
11.21.53,11.21.53,1
11.22.54,11.22.54,1
11.23.55,11.23.55,1
11.24.56,11.24.56,1
11.25.57,11.25.57,1
11.26.58,11.26.58,1
11.27.59,11.27.59,1
11.28.60,11.28.60,1
11.29.61,11.29.61,1
11.30.62,11.30.62,1
11.31.63,11.31.63,1
11.32.64,11.32.64,1
11.33.65,11.33.65,1
11.34.66,11.34.66,1
11.35.67,11.35.67,1
11.36.68,11.36.68,1
11.37.69,11.37.69,1
11.38.70,11.38.70,1
11.39.71,11.39.71,1
11.40.72,11.40.72,1
11.41.73,11.41.73,1
11.42.74,11.42.74,1
12.1.75,12.1.75,1
13.1.76,13.1.76,1
14.1.77,14.1.77,1
15.1.78,15.1.78,1
15.2.79,15.2.79,1
15.3.80,15.3.80,1
15.4.81,15.4.81,1
15.5.82,15.5.82,1
15.6.83,15.6.83,1
15.7.84,15.7.84,1
15.8.85,15.8.85,1
15.9.86,15.9.86,1
15.10.87,15.10.87,1
15.11.88,15.11.88,1
15.12.89,15.12.89,1
15.13.90,15.13.90,1
15.14.91,15.14.91,1
15.15.92,15.15.92,1
15.16.93,15.16.93,1
15.17.94,15.17.94,1
15.18.95,15.18.95,1
15.19.96,15.19.96,1
15.20.97,15.20.97,1
15.21.98,15.21.98,1
15.22.99,15.22.99,1
15.23.100,15.23.100,1
15.24.101,15.24.101,1
15.25.102,15.25.102,1
15.26.103,15.26.103,1
15.27.104,15.27.104,1
15.28.105,15.28.105,1
15.29.106,15.29.106,1
15.30.107,15.30.107,1
15.31.108,15.31.108,1
15.32.109,15.32.109,1
15.33.110,15.33.110,1
15.34.111,15.34.111,1
15.35.112,15.35.112,1
15.36.113,15.36.113,1
15.37.114,15.37.114,1
15.38.115,15.38.115,1
15.39.116,15.39.116,1
15.40.117,15.40.117,1
15.41.118,15.41.118,1
15.42.119,15.42.119,1
15.43.120,15.43.120,1
15.44.121,15.44.121,1
15.45.122,15.45.122,1
15.46.123,15.46.123,1
15.47.124,15.47.124,1
15.48.125,15.48.125,1
15.49.126,15.49.126,1
15.50.127,15.50.127,1
15.51.128,15.51.128,1
15.52.129,15.52.129,1
15.53.130,15.53.130,1
15.54.131,15.54.131,1
15.55.132,15.55.132,1
15.56.133,15.56.133,1
15.57.134,15.57.134,1
15.58.135,15.58.135,1
15.59.136,15.59.136,1
15.60.137,15.60.137,1
15.61.138,15.61.138,1
15.62.139,15.62.139,1
15.63.140,15.63.140,1
15.64.141,15.64.141,1
16.1.142,16.1.142,1
17.1.143,17.1.143,1
17.2.144,17.2.144,1
17.3.145,17.3.145,1
17.4.146,17.4.146,1
17.5.147,17.5.147,1
17.6.148,17.6.148,1
17.7.149,17.7.149,1
17.8.150,17.8.150,1
17.9.151,17.9.151,1
17.10.152,17.10.152,1
17.11.153,17.11.153,1
17.12.154,17.12.154,1
17.13.155,17.13.155,1
17.14.156,17.14.156,1
17.15.157,17.15.157,1
17.16.158,17.16.158,1
17.17.159,17.17.159,1
17.18.160,17.18.160,1
17.19.161,17.19.161,1
17.20.162,17.20.162,1
17.21.163,17.21.163,1
17.22.164,17.22.164,1
17.23.165,17.23.165,1
17.24.166,17.24.166,1
17.25.167,17.25.167,1
17.26.168,17.26.168,1
17.27.169,17.27.169,1
17.28.170,17.28.170,1
17.29.171,17.29.171,1
17.30.172,17.30.172,1
17.31.173,17.31.173,1
17.32.174,17.32.174,1
17.33.175,17.33.175,1
17.34.176,17.34.176,1
17.35.177,17.35.177,1
17.36.178,17.36.178,1
17.37.179,17.37.179,1
17.38.180,17.38.180,1
17.39.181,17.39.181,1
17.40.182,17.40.182,1
17.41.183,17.41.183,1
17.42.184,17.42.184,1
17.43.185,17.43.185,1
17.44.186,17.44.186,1
17.45.187,17.45.187,1
17.46.188,17.46.188,1
17.47.189,17.47.189,1
17.48.190,17.48.190,1
17.49.191,17.49.191,1
17.50.192,17.50.192,1
17.51.193,17.51.193,1
17.52.194,17.52.194,1
17.53.195,17.53.195,1
17.54.196,17.54.196,1
18.1.197,18.1.197,1
19.1.198,19.1.198,1
20.1.199,20.1.199,1
20.2.200,20.2.200,1
20.3.201,20.3.201,1
20.4.202,20.4.202,1
20.5.203,20.5.203,1
20.6.204,20.6.204,1
20.7.205,20.7.205,1
20.8.206,20.8.206,1
21.1.207,21.1.207,1
21.2.208,21.2.208,1
21.3.209,21.3.209,1
21.4.210,21.4.210,1
21.5.211,21.5.211,1
21.6.212,21.6.212,1
21.7.213,21.7.213,1
21.8.214,21.8.214,1
21.9.215,21.9.215,1
22.1.216,22.1.216,1
