1.1.1,_,0
2.1.2,1.1.1,1
3.1.3,2.1.2,1
4.1.4,3.1.3,1
5.1.5,4.1.4,1
6.1.6,5.1.5,1
7.1.7,6.1.6,1
7.2.8,6.2.7,1
7.3.9,6.3.8,1
8.1.10,7.1.9,1
9.1.11,8.1.10,1
9.2.12,8.2.11,1
9.3.13,8.3.12,1
9.4.14,8.4.13,1
9.5.15,8.5.14,1
9.6.16,8.6.15,1
9.7.17,8.7.16,1
9.8.18,8.8.17,1
9.9.19,8.9.18,1
9.10.20,8.10.19,1
9.11.21,8.11.20,1
9.12.22,8.12.21,1
9.13.23,8.13.22,1
9.14.24,8.14.23,1
9.15.25,8.15.24,1
9.16.26,8.16.25,1
9.17.27,8.17.26,1
9.18.28,8.18.27,1
9.19.29,8.19.28,1
10.1.30,9.1.29,1
10.2.31,9.2.30,1
10.3.32,9.3.31,1
11.1.33,10.1.32,1
11.2.34,10.2.33,1
11.3.35,10.3.34,1
11.4.36,10.4.35,1
11.5.37,10.5.36,1
11.6.38,10.6.37,1
11.7.39,10.7.38,1
11.8.40,10.8.39,1
11.9.41,10.9.40,1
11.10.42,10.10.41,1
11.11.43,10.11.42,1
11.12.44,10.12.43,1
11.13.45,10.13.44,1
11.14.46,10.14.45,1
11.15.47,10.15.46,1
11.16.48,10.16.47,1
11.17.49,10.17.48,1
11.18.50,10.18.49,1
11.19.51,10.19.50,1
11.20.52,10.20.51,1
11.21.53,10.21.52,1
11.22.54,10.22.53,1
11.23.55,10.23.54,1
11.24.56,10.24.55,1
11.25.57,10.25.56,1
11.26.58,10.26.57,1
11.27.59,10.27.58,1
11.28.60,10.28.59,1
11.29.61,10.29.60,1
11.30.62,10.30.61,1
11.31.63,10.31.62,1
11.32.64,10.32.63,1
11.33.65,10.33.64,1
11.34.66,10.34.65,1
11.35.67,10.35.66,1
11.36.68,10.36.67,1
11.37.69,10.37.68,1
11.38.70,10.38.69,1
11.39.71,10.39.70,1
11.40.72,10.40.71,1
11.41.73,10.41.72,1
11.42.74,10.42.73,1
12.1.75,11.1.74,1
13.1.76,12.1.75,1
14.1.77,13.1.76,1
15.1.78,14.1.77,1
15.2.79,14.2.78,1
15.3.80,14.3.79,1
15.4.81,14.4.80,1
15.5.82,14.5.81,1
15.6.83,14.6.82,1
15.7.84,14.7.83,1
15.8.85,14.8.84,1
15.9.86,14.9.85,1
15.10.87,14.10.86,1
15.11.88,14.11.87,1
15.12.89,14.12.88,1
15.13.90,14.13.89,1
15.14.91,14.14.90,1
15.15.92,14.15.91,1
15.16.93,14.16.92,1
15.17.94,14.17.93,1
15.18.95,14.18.94,1
15.19.96,14.19.95,1
15.20.97,14.20.96,1
15.21.98,14.21.97,1
15.22.99,14.22.98,1
15.23.100,14.23.99,1
15.24.101,14.24.100,1
15.25.102,14.25.101,1
15.26.103,14.26.102,1
15.27.104,14.27.103,1
15.28.105,14.28.104,1
15.29.106,14.29.105,1
15.30.107,14.30.106,1
15.31.108,14.31.107,1
15.32.109,14.32.108,1
15.33.110,14.33.109,1
15.34.111,14.34.110,1
15.35.112,14.35.111,1
15.36.113,14.36.112,1
15.37.114,14.37.113,1
15.38.115,14.38.114,1
15.39.116,14.39.115,1
15.40.117,14.40.116,1
15.41.118,14.41.117,1
15.42.119,14.42.118,1
15.43.120,14.43.119,1
15.44.121,14.44.120,1
15.45.122,14.45.121,1
15.46.123,14.46.122,1
15.47.124,14.47.123,1
15.48.125,14.48.124,1
15.49.126,14.49.125,1
15.50.127,14.50.126,1
15.51.128,14.51.127,1
15.52.129,14.52.128,1
15.53.130,14.53.129,1
15.54.131,14.54.130,1
15.55.132,14.55.131,1
15.56.133,14.56.132,1
15.57.134,14.57.133,1
15.58.135,14.58.134,1
15.59.136,14.59.135,1
15.60.137,14.60.136,1
15.61.138,14.61.137,1
