1.1.1,_,0
2.1.2,1.1.1,1
3.1.3,2.1.2,1
4.1.4,3.1.3,1
4.2.5,3.2.4,1
4.3.6,3.3.5,1
4.4.7,3.4.6,1
4.5.8,3.5.7,1
4.6.9,3.6.8,1
5.1.10,4.1.9,1
5.2.11,4.2.10,1
5.3.12,4.3.11,1
5.4.13,4.4.12,1
6.1.14,5.1.13,1
7.1.15,6.1.14,1
7.2.16,6.2.15,1
7.3.17,6.3.16,1
7.4.18,6.4.17,1
8.1.19,7.1.18,1
9.1.20,8.1.19,1
9.2.21,8.2.20,1
9.3.22,8.3.21,1
9.4.23,8.4.22,1
9.5.24,8.5.23,1
9.6.25,8.6.24,1
9.7.26,8.7.25,1
9.8.27,8.8.26,1
9.9.28,8.9.27,1
9.10.29,8.10.28,1
9.11.30,8.11.29,1
9.12.31,8.12.30,1
9.13.32,8.13.31,1
9.14.33,8.14.32,1
9.15.34,8.15.33,1
9.16.35,8.16.34,1
9.17.36,8.17.35,1
9.18.37,8.18.36,1
10.1.38,9.1.37,1
10.2.39,9.2.38,1
10.3.40,9.3.39,1
11.1.41,10.1.40,1
11.2.42,10.2.41,1
11.3.43,10.3.42,1
11.4.44,10.4.43,1
12.1.45,11.1.44,1
13.1.46,12.1.45,1
14.1.47,13.1.46,1
15.1.48,14.1.47,1
15.2.49,14.2.48,1
15.3.50,14.3.49,1
16.1.51,15.1.50,1
17.1.52,16.1.51,1
18.1.53,17.1.52,1
18.2.54,17.2.53,1
18.3.55,17.3.54,1
18.4.56,17.4.55,1
18.5.57,17.5.56,1
19.1.58,18.1.57,1
19.2.59,18.2.58,1
19.3.60,18.3.59,1
20.1.61,19.1.60,1
20.2.62,19.2.61,1
20.3.63,19.3.62,1
21.1.64,20.1.63,1
22.1.65,21.1.64,1
22.2.66,21.2.65,1
22.3.67,21.3.66,1
23.1.68,22.1.67,1
23.2.69,22.2.68,1
23.3.70,22.3.69,1
23.4.71,22.4.70,1
23.5.72,22.5.71,1
23.6.73,22.6.72,1
23.7.74,22.7.73,1
23.8.75,22.8.74,1
23.9.76,22.9.75,1
23.10.77,22.10.76,1
23.11.78,22.11.77,1
23.12.79,22.12.78,1
23.13.80,22.13.79,1
23.14.81,22.14.80,1
23.15.82,22.15.81,1
23.16.83,22.16.82,1
23.17.84,22.17.83,1
23.18.85,22.18.84,1
23.19.86,22.19.85,1
23.20.87,22.20.86,1
23.21.88,22.21.87,1
23.22.89,22.22.88,1
23.23.90,22.23.89,1
23.24.91,22.24.90,1
23.25.92,22.25.91,1
23.26.93,22.26.92,1
23.27.94,22.27.93,1
23.28.95,22.28.94,1
23.29.96,22.29.95,1
23.30.97,22.30.96,1
23.31.98,22.31.97,1
24.1.99,23.1.98,1
24.2.100,23.2.99,1
24.3.101,23.3.100,1
24.4.102,23.4.101,1
24.5.103,23.5.102,1
24.6.104,23.6.103,1
25.1.105,24.1.104,1
26.1.106,25.1.105,1
26.2.107,25.2.106,1
26.3.108,25.3.107,1
26.4.109,25.4.108,1
27.1.110,26.1.109,1
28.1.111,27.1.110,1
29.1.112,28.1.111,1
30.1.113,29.1.112,1
31.1.114,30.1.113,1
31.2.115,30.2.114,1
31.3.116,30.3.115,1
31.4.117,30.4.116,1
31.5.118,30.5.117,1
31.6.119,30.6.118,1
31.7.120,30.7.119,1
31.8.121,30.8.120,1
31.9.122,30.9.121,1
31.10.123,30.10.122,1
31.11.124,30.11.123,1
31.12.125,30.12.124,1
31.13.126,30.13.125,1
31.14.127,30.14.126,1
32.1.128,31.1.127,1
33.1.129,32.1.128,1
33.2.130,32.2.129,1
33.3.131,32.3.130,1
34.1.132,33.1.131,1
34.2.133,33.2.132,1
34.3.134,33.3.133,1
34.4.135,33.4.134,1
34.5.136,33.5.135,1
34.6.137,33.6.136,1
34.7.138,33.7.137,1
34.8.139,33.8.138,1
34.9.140,33.9.139,1
34.10.141,33.10.140,1
34.11.142,33.11.141,1
34.12.143,33.12.142,1
34.13.144,33.13.143,1
35.1.145,34.1.144,1
35.2.146,34.2.145,1
35.3.147,34.3.146,1
35.4.148,34.4.147,1
35.5.149,34.5.148,1
35.6.150,34.6.149,1
