1.1.1,_,0
2.1.2,1.1.1,1
3.1.3,2.1.2,1
4.1.4,3.1.3,1
5.1.5,4.1.4,1
6.1.6,5.1.5,1
7.1.7,6.1.6,1
7.2.8,6.2.7,1
8.1.9,7.1.8,1
9.1.10,8.1.9,1
10.1.11,9.1.10,1
10.2.12,9.2.11,1
11.1.13,10.1.12,1
12.1.14,11.1.13,1
12.2.15,11.2.14,1
13.1.16,12.1.15,1
14.1.17,13.1.16,1
15.1.18,14.1.17,1
16.1.19,15.1.18,1
17.1.20,16.1.19,1
18.1.21,17.1.20,1
18.2.22,17.2.21,1
19.1.23,18.1.22,1
20.1.24,19.1.23,1
20.2.25,19.2.24,1
21.1.26,20.1.25,1
22.1.27,21.1.26,1
22.2.28,21.2.27,1
23.1.29,22.1.28,1
24.1.30,23.1.29,1
24.2.31,23.2.30,1
25.1.32,24.1.31,1
26.1.33,25.1.32,1
26.2.34,25.2.33,1
27.1.35,26.1.34,1
28.1.36,27.1.35,1
28.2.37,27.2.36,1
29.1.38,28.1.37,1
30.1.39,29.1.38,1
31.1.40,30.1.39,1
31.2.41,30.2.40,1
32.1.42,31.1.41,1
33.1.43,32.1.42,1
34.1.44,33.1.43,1
35.1.45,34.1.44,1
36.1.46,35.1.45,1
37.1.47,36.1.46,1
37.2.48,36.2.47,1
37.3.49,36.3.48,1
38.1.50,37.1.49,1
39.1.51,38.1.50,1
39.2.52,38.2.51,1
39.3.53,38.3.52,1
40.1.54,39.1.53,1
41.1.55,40.1.54,1
41.2.56,40.2.55,1
41.3.57,40.3.56,1
42.1.58,41.1.57,1
43.1.59,42.1.58,1
44.1.60,43.1.59,1
45.1.61,44.1.60,1
46.1.62,45.1.61,1
47.1.63,46.1.62,1
48.1.64,47.1.63,1
48.2.65,47.2.64,1
49.1.66,48.1.65,1
50.1.67,49.1.66,1
51.1.68,50.1.67,1
51.2.69,50.2.68,1
51.3.70,50.3.69,1
51.4.71,50.4.70,1
52.1.72,51.1.71,1
53.1.73,52.1.72,1
54.1.74,53.1.73,1
54.2.75,53.2.74,1
54.3.76,53.3.75,1
55.1.77,54.1.76,1
56.1.78,55.1.77,1
57.1.79,56.1.78,1
57.2.80,56.2.79,1
57.3.81,56.3.80,1
57.4.82,56.4.81,1
57.5.83,56.5.82,1
58.1.84,57.1.83,1
59.1.85,58.1.84,1
59.2.86,58.2.85,1
59.3.87,58.3.86,1
59.4.88,58.4.87,1
59.5.89,58.5.88,1
59.6.90,58.6.89,1
60.1.91,59.1.90,1
61.1.92,60.1.91,1
62.1.93,61.1.92,1
62.2.94,61.2.93,1
62.3.95,61.3.94,1
62.4.96,61.4.95,1
62.5.97,61.5.96,1
62.6.98,61.6.97,1
63.1.99,62.1.98,1
63.2.100,62.2.99,1
63.3.101,62.3.100,1
63.4.102,62.4.101,1
63.5.103,62.5.102,1
63.6.104,62.6.103,1
64.1.105,63.1.104,1
64.2.106,63.2.105,1
64.3.107,63.3.106,1
64.4.108,63.4.107,1
65.1.109,64.1.108,1
