1.1.1,_,0
2.1.2,1.1.1,1
3.1.3,2.1.2,1
4.1.4,3.1.3,1
5.1.5,4.1.4,1
6.1.6,5.1.5,1
6.2.7,5.2.6,1
6.3.8,5.3.7,1
7.1.9,6.1.8,1
8.1.10,7.1.9,1
9.1.11,8.1.10,1
10.1.12,9.1.11,1
10.2.13,9.2.12,1
10.3.14,9.3.13,1
10.4.15,9.4.14,1
10.5.16,9.5.15,1
11.1.17,10.1.16,1
11.2.18,10.2.17,1
11.3.19,10.3.18,1
11.4.20,10.4.19,1
11.5.21,10.5.20,1
11.6.22,10.6.21,1
12.1.23,11.1.22,1
13.1.24,12.1.23,1
14.1.25,13.1.24,1
15.1.26,14.1.25,1
16.1.27,15.1.26,1
16.2.28,15.2.27,1
16.3.29,15.3.28,1
17.1.30,16.1.29,1
17.2.31,16.2.30,1
17.3.32,16.3.31,1
17.4.33,16.4.32,1
17.5.34,16.5.33,1
17.6.35,16.6.34,1
18.1.36,17.1.35,1
19.1.37,18.1.36,1
20.1.38,19.1.37,1
20.2.39,19.2.38,1
20.3.40,19.3.39,1
20.4.41,19.4.40,1
20.5.42,19.5.41,1
21.1.43,20.1.42,1
22.1.44,21.1.43,1
23.1.45,22.1.44,1
24.1.46,23.1.45,1
25.1.47,24.1.46,1
25.2.48,24.2.47,1
25.3.49,24.3.48,1
25.4.50,24.4.49,1
25.5.51,24.5.50,1
26.1.52,25.1.51,1
26.2.53,25.2.52,1
26.3.54,25.3.53,1
26.4.55,25.4.54,1
26.5.56,25.5.55,1
26.6.57,25.6.56,1
26.7.58,25.7.57,1
26.8.59,25.8.58,1
27.1.60,26.1.59,1
28.1.61,27.1.60,1
29.1.62,28.1.61,1
29.2.63,28.2.62,1
29.3.64,28.3.63,1
29.4.65,28.4.64,1
29.5.66,28.5.65,1
29.6.67,28.6.66,1
29.7.68,28.7.67,1
29.8.69,28.8.68,1
29.9.70,28.9.69,1
29.10.71,28.10.70,1
30.1.72,29.1.71,1
31.1.73,30.1.72,1
32.1.74,31.1.73,1
32.2.75,31.2.74,1
32.3.76,31.3.75,1
33.1.77,32.1.76,1
33.2.78,32.2.77,1
33.3.79,32.3.78,1
33.4.80,32.4.79,1
33.5.81,32.5.80,1
34.1.82,33.1.81,1
35.1.83,34.1.82,1
35.2.84,34.2.83,1
35.3.85,34.3.84,1
35.4.86,34.4.85,1
35.5.87,34.5.86,1
