1.1.1,1.1.1,0.98153853
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
4.2.5,4.2.5,1
5.1.6,5.1.6,1
6.1.7,6.1.7,0.98526716
7.1.8,7.1.8,1
7.2.9,7.2.9,0.9220005
8.1.10,8.1.10,1
9.1.11,9.1.11,0.97334975
10.1.12,10.1.12,1
10.2.13,10.2.13,0.9241764
11.1.14,11.1.14,1
12.1.15,12.1.15,0.983467
13.1.16,13.1.16,1
14.1.17,14.1.17,1
15.1.18,15.1.18,1
16.1.19,16.1.19,1
16.2.20,16.2.20,0.94666755
17.1.21,17.1.21,1
18.1.22,18.1.22,1
18.2.23,18.2.23,0.9573535
19.1.24,19.1.24,1
20.1.25,20.1.25,1
21.1.26,21.1.26,1
21.2.27,21.2.27,1
21.3.28,21.3.28,1
21.4.29,21.4.29,1
21.5.30,21.5.30,1
22.1.31,22.1.31,0.99277115
23.1.32,23.1.32,1
23.2.33,23.2.33,1
23.3.34,23.3.34,1
23.4.35,23.4.35,1
24.1.36,24.1.36,1
25.1.37,25.1.37,1
26.1.38,26.1.38,1
27.1.39,27.1.39,1
27.2.40,27.2.40,1
27.3.41,27.3.41,1
28.1.42,28.1.42,1
29.1.43,_,0
29.2.44,_,0
30.1.45,29.1.43,1
31.1.46,30.1.44,1
32.1.47,31.1.45,1
33.1.48,32.1.46,1
34.1.49,33.1.47,1
35.1.50,34.1.48,1
35.2.51,34.2.49,1
36.1.52,35.1.50,1
36.2.53,35.2.51,1
36.3.54,35.3.52,1
37.1.55,36.1.53,1
37.2.56,36.2.54,1
37.3.57,36.3.55,1
38.1.58,37.1.56,1
38.2.59,37.2.57,1
38.3.60,37.3.58,1
39.1.61,38.1.59,1
39.2.62,38.2.60,1
39.3.63,38.3.61,1
40.1.64,39.1.62,1
40.2.65,39.2.63,1
40.3.66,39.3.64,1
41.1.67,40.1.65,1
41.2.68,40.2.66,1
41.3.69,40.3.67,1
42.1.70,41.1.68,1
42.2.71,41.2.69,1
42.3.72,41.3.70,1
42.4.73,41.4.71,1
42.5.74,41.5.72,1
42.6.75,41.6.73,0.9645936
43.1.76,42.1.74,0.956811
44.1.77,43.1.75,1
44.2.78,43.2.76,1
44.3.79,43.3.77,1
44.4.80,43.4.78,1
44.5.81,43.5.79,0.93140167
44.6.82,43.6.80,0.9159864
45.1.83,44.1.81,1
46.1.84,45.1.82,1
47.1.85,46.1.83,1
47.2.86,46.2.84,0.87007606
47.3.87,46.3.85,0.9124798
47.4.88,46.4.86,0.90363234
48.1.89,47.1.87,1
49.1.90,48.1.88,1
49.2.91,48.2.89,1
49.3.92,48.3.90,1
50.1.93,49.1.91,1
51.1.94,50.1.92,1
52.1.95,51.1.93,1
53.1.96,52.1.94,1
54.1.97,53.1.95,1
55.1.98,54.1.96,1
56.1.99,55.1.97,1
57.1.100,56.1.98,1
58.1.101,57.1.99,1
59.1.102,58.1.100,1
60.1.103,59.1.101,1
61.1.104,60.1.102,0.923118
62.1.105,61.1.103,1
62.2.106,61.2.104,0.8984841
62.3.107,61.3.105,1
62.4.108,61.4.106,0.8907547
63.1.109,62.1.107,1
64.1.110,63.1.108,1
65.1.111,64.1.109,1
66.1.112,65.1.110,1
67.1.113,66.1.111,1
68.1.114,67.1.112,1
69.1.115,68.1.113,1
70.1.116,69.1.114,1
71.1.117,70.1.115,1
72.1.118,71.1.116,0.9959732
