1.1.1,1.1.1,0.9828572
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
4.2.5,4.2.5,1
5.1.6,5.1.6,1
6.1.7,6.1.7,1
7.1.8,7.1.8,1
8.1.9,8.1.9,1
9.1.10,9.1.10,1
10.1.11,10.1.11,1
11.1.12,11.1.12,1
12.1.13,12.1.13,1
13.1.14,13.1.14,1
14.1.15,14.1.15,1
15.1.16,15.1.16,1
15.2.17,15.2.17,1
15.3.18,15.3.18,1
15.4.19,15.4.19,1
16.1.20,16.1.20,1
17.1.21,17.1.21,1
18.1.22,18.1.22,1
19.1.23,19.1.23,1
20.1.24,20.1.24,1
20.2.25,20.2.25,1
21.1.26,21.1.26,1
22.1.27,_,0
23.1.28,_,0
23.2.29,_,0
23.3.30,_,0
23.4.31,_,0
23.5.32,_,0
24.1.33,_,0
24.2.34,_,0
24.3.35,_,0
24.4.36,_,0
24.5.37,_,0
24.6.38,_,0
24.7.39,_,0
24.8.40,_,0
24.9.41,_,0
24.10.42,_,0
24.11.43,_,0
24.12.44,_,0
25.1.45,_,0
26.1.46,_,0
26.2.47,_,0
27.1.48,_,0
28.1.49,_,0
28.2.50,_,0
28.3.51,_,0
29.1.52,_,0
30.1.53,_,0
31.1.54,_,0
32.1.55,_,0
32.2.56,_,0
32.3.57,_,0
32.4.58,_,0
32.5.59,_,0
32.6.60,_,0
32.7.61,_,0
32.8.62,_,0
32.9.63,_,0
32.10.64,_,0
32.11.65,_,0
33.1.66,_,0
34.1.67,_,0
34.2.68,_,0
