_,5.1.15,0
36.20.288,_,0
36.21.289,_,0
36.22.290,_,0
36.23.291,_,0
36.24.292,_,0
36.25.293,_,0
36.26.294,_,0
36.27.295,_,0
36.28.296,_,0
36.29.297,_,0
36.30.298,_,0
36.31.299,_,0
36.32.300,_,0
36.33.301,_,0
36.34.302,_,0
36.35.303,_,0
36.36.304,_,0
36.37.305,_,0
36.38.306,_,0
36.39.307,_,0
36.40.308,_,0
36.41.309,_,0
36.42.310,_,0
36.43.311,_,0
36.44.312,_,0
36.45.313,_,0
36.46.314,_,0
36.47.315,_,0
36.48.316,_,0
36.49.317,_,0
36.50.318,_,0
36.51.319,_,0
36.52.320,_,0
36.53.321,_,0
36.54.322,_,0
36.55.323,_,0
36.56.324,_,0
36.57.325,_,0
36.58.326,_,0
36.59.327,_,0
36.60.328,_,0
36.61.329,_,0
37.1.330,_,0
38.1.331,12.1.75,1
39.1.332,_,0
40.1.333,_,0
40.2.334,_,0
40.3.335,_,0
41.1.336,_,0
41.2.337,_,0
41.3.338,_,0
41.4.339,_,0
41.5.340,_,0
41.6.341,_,0
41.7.342,_,0
42.1.343,_,0
43.1.344,_,0
43.2.345,_,0
43.3.346,_,0
44.1.347,_,0
44.2.348,_,0
44.3.349,_,0
44.4.350,_,0
44.5.351,_,0
44.6.352,_,0
44.7.353,_,0
45.1.354,_,0
46.1.355,_,0
46.2.356,_,0
46.3.357,_,0
47.1.358,_,0
47.2.359,_,0
47.3.360,_,0
47.4.361,_,0
47.5.362,_,0
47.6.363,_,0
47.7.364,_,0
47.8.365,_,0
47.9.366,_,0
47.10.367,_,0
47.11.368,_,0
47.12.369,_,0
47.13.370,_,0
47.14.371,_,0
47.15.372,_,0
47.16.373,_,0
48.1.374,_,0
49.1.375,13.1.76,1
50.1.376,_,0
51.1.377,_,0
51.2.378,_,0
51.3.379,_,0
52.1.380,_,0
52.2.381,_,0
52.3.382,_,0
52.4.383,_,0
52.5.384,_,0
52.6.385,_,0
52.7.386,_,0
53.1.387,_,0
54.1.388,_,0
54.2.389,_,0
54.3.390,_,0
54.4.391,_,0
54.5.392,_,0
54.6.393,_,0
54.7.394,_,0
54.8.395,_,0
55.1.396,_,0
55.2.397,_,0
55.3.398,_,0
55.4.399,_,0
55.5.400,_,0
55.6.401,_,0
55.7.402,_,0
55.8.403,_,0
55.9.404,_,0
55.10.405,_,0
55.11.406,_,0
55.12.407,_,0
55.13.408,_,0
55.14.409,_,0
55.15.410,_,0
55.16.411,_,0
56.1.412,_,0
57.1.413,14.1.77,1
58.1.414,_,0
58.2.415,_,0
58.3.416,_,0
58.4.417,_,0
58.5.418,_,0
58.6.419,_,0
58.7.420,_,0
58.8.421,_,0
58.9.422,_,0
58.10.423,_,0
58.11.424,_,0
58.12.425,_,0
58.13.426,_,0
58.14.427,_,0
58.15.428,_,0
59.1.429,_,0
59.2.430,_,0
59.3.431,_,0
59.4.432,_,0
59.5.433,_,0
59.6.434,_,0
59.7.435,_,0
59.8.436,_,0
59.9.437,_,0
59.10.438,_,0
59.11.439,_,0
59.12.440,_,0
59.13.441,_,0
59.14.442,_,0
59.15.443,_,0
59.16.444,_,0
59.17.445,_,0
59.18.446,_,0
59.19.447,_,0
59.20.448,_,0
59.21.449,_,0
59.22.450,_,0
59.23.451,_,0
59.24.452,_,0
59.25.453,_,0
59.26.454,_,0
59.27.455,_,0
59.28.456,_,0
60.1.457,_,0
61.1.458,15.1.78,1
62.1.459,_,0
63.1.460,_,0
63.2.461,_,0
63.3.462,_,0
63.4.463,_,0
63.5.464,_,0
63.6.465,_,0
63.7.466,_,0
63.8.467,_,0
63.9.468,_,0
63.10.469,_,0
63.11.470,_,0
63.12.471,_,0
64.1.472,_,0
64.2.473,_,0
64.3.474,_,0
64.4.475,_,0
64.5.476,_,0
64.6.477,_,0
64.7.478,_,0
64.8.479,_,0
64.9.480,_,0
64.10.481,_,0
64.11.482,_,0
64.12.483,_,0
64.13.484,_,0
64.14.485,_,0
64.15.486,_,0
64.16.487,_,0
64.17.488,_,0
65.1.489,_,0
66.1.490,16.1.79,1
67.1.491,_,0
68.1.492,_,0
68.2.493,_,0
68.3.494,_,0
68.4.495,_,0
68.5.496,_,0
68.6.497,_,0
68.7.498,_,0
68.8.499,_,0
68.9.500,_,0
68.10.501,_,0
68.11.502,_,0
69.1.503,_,0
69.2.504,_,0
69.3.505,_,0
69.4.506,_,0
69.5.507,_,0
69.6.508,_,0
69.7.509,_,0
69.8.510,_,0
69.9.511,_,0
69.10.512,_,0
69.11.513,_,0
69.12.514,_,0
69.13.515,_,0
69.14.516,_,0
69.15.517,_,0
69.16.518,_,0
69.17.519,_,0
