id,block,type
2eb1ee5a46529dba9d71a59c0785786bcde460fa#0,"[{19, 15}, 21]",merge
d69b50053d2e27b2769994ee3d7995ef3f7e249a#1,"[{12, 7}, 7]",merge
30dea08209f6d060bae63e7cea2e69ae4a16d88d#9,"[{32, 33}, 30]",merge
72ed6b5c2eb4202b92c21972a324a058117103d6#1,"[{9, 6}, 6]",merge
ebd7e6e43bca96bfb946469e7023b7ac5449eaea#0,"[{27, 12}, 5]",merge
5b8762a68d786ab9ea492edadb974c77d378d63a#0,"[{43, 44}, 42]",merge
b5f8cdc15eebaf5febf449598fe3431bfddb187c#1,13,delete
f7868a6b570cb4eb8c1e3721ad285c2da70179a7#1,51,delete
f7868a6b570cb4eb8c1e3721ad285c2da70179a7#1,16,delete
2591c33d33bc12842d4ee85d5a5bcde39ca33f7f#0,32,delete
b6b00c4156f45b23710d165b14597bdc8db1ac5d#1,15,delete
bc09ba6ad9c01b58d0f6f9ec97744a3c55c3084e#0,8,delete
fbe7c17c31527fffaee13e7d9da89e4d01804ee6#3,18,delete
fce1e63025aaec1fb284ecf9b223698e182579f1#0,15,delete
308acee908f7dc1897354a6200fbad8096b32081#2,47,delete
3723a4bc80ad52fb279e6c2fc55901f091de82fe#0,35,delete
e5013fd4e5aef2be41c3e4d0190f98285a6b2889#0,12,delete
f7aa0c487c20ef13c61361dc020a3444f77ceddb#5,14,delete
4d495ab5a121ddecef32fdc125105989ee7cc656#0,13,delete
c85b0a6de68cd5e395f7e0db289a86ee66da2d2f#0,10,delete
d7e67f4fcf691733aa57e27060304d814daeb0ed#0,58,delete
2b3ccba5b4d0db85901a0277f459f154785dd9da#1,16,delete
a02e91b0eb51de68112f8d5ae1ae41bce2f5cdc9#0,17,delete
abb12602de99b7f53489134b167908dfaf92ac96#0,50,delete
d8030061864cece1c30e0aabbc64540ab6febe64#0,3,delete
0afb920dd82a439d2b6abd61c86a5f951cab7144#0,43,delete
a30fdd449ed770d805777bad24a26f249d2bf117#0,4,add
edbdbb49cc5e3e9d41e1dff554a9789e8b928321#4,14,add
62a8bcb667fec369504d6e059df738e7a98916c7#40,57,add
d0cced8463437e6b812d3e1593cee2b3d8bdd40f#2,12,add
9831cfa0d99f4ece3791aa32d8136b1af5b6b83d#1,4,add
d8ffd5a9a4648e47503959386195779f03d3ffae#1,3,add
9a58ed3e21762592429be5ea5dc24ec738021ea9#1,66,add
703403cdc09a969f58db127c160be3c54aee9a07#0,2,add
30b11223e9da800669fa9e75af354a05e1f9273b#0,8,add
17daa043f9a928e5021e65cbe097c065ed1ae6d6#30,34,add
8452f3e06867ad088330d8e201acd37c5898c23a#2,7,add
5cb6314e90af1c3759e7f408a45e95588b572d2e#0,18,add
e40bdaa03da58bd8c86468d81bf0f1bada22a3bf#0,12,add
137ebdb603e6179861394e60725371026a03105b#0,38,add
04c6035f43f96ae4f67e4ce76fbbb030463f9e5d#0,39,add
241ab6be1f01250354b4c8ab76e4be04c7136c01#0,21,add
17daa043f9a928e5021e65cbe097c065ed1ae6d6#4,21,add
e0a6518d1c313d7a2de13cae428ab85882b7332b#1,14,add
794bae2be3def984ec9fb6667d61556d741ae351#1,5,add
edbdbb49cc5e3e9d41e1dff554a9789e8b928321#17,10,add
e83b38273d350d49d337cffcebe907e78b9b4650#0,"[3, 4]",move
edbdbb49cc5e3e9d41e1dff554a9789e8b928321#6,"[6, 8]",move
705d05c48db33e126934c84daded3fb1adbf7fe1#0,"[4, 8]",move
edbdbb49cc5e3e9d41e1dff554a9789e8b928321#6,"[6, 8]",move
7d3a0f47657e6378c6d98ba5d44a3a126b96bf85#0,"[9, 22]",move
b94c11e0995399ffc9834c50bcd6368a88e83a2f#0,"[2, 3]",move
05882a4f6a7e6be7db9c0c703bc30d326668fce7#0,"[16, 18]",move
b6cb589aea74ba97d98de1c716eb7f523892ba43#0,"[10, 12]",move
71193ee0baaedd80ed10271f272eefd1ececfaad#0,"[27, 36]",move
f25a511057e04c72005dfbde5be65cc1c86c8983#0,"[10, 12]",move
8810beb08f92a3fe415f4c3bf9a5d3d0f5bd457e#0,"[9, 10]",move
8f0143d553d5cf7bdf990966eba267c54372968c#0,"[8, 11]",move
6395f23be66742782a49bc6654c9b6766ed9bca2#1,"[122, 139]",move
5e2d235c8e8f2efce87d5dae96e5d43e1fa3375b#4,"[26, 32]",move
cbfa510dd3f46cc8dbed4a15c3e2640740724315#11,"[12, 21]",move
48daa0012608fa9e3b47ab2c89693fcab4463fc9#4,"[11, 13]",move
b8820a6d773f4c0ffbced07fd779236cf9f497f6#0,"[9, 11]",move
51b79c63e748d41232b2d348b8ead949cebbdaa4#0,"[21, 31]",move
5d09f46b7a165a4e3bf9a944e281f2082d35a1af#0,"[10, 10]",move
b6cb589aea74ba97d98de1c716eb7f523892ba43#1,"[3, 4]",move
